metric,reported_label,year,value,reported_value,unit,scope,source,pdf_page,printed_page,evidence,dispatch_admitted
photovoltaic_capacity,－光伏,2023,55,55,兆瓦,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
photovoltaic_capacity,－光伏,2024,55,55,兆瓦,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
photovoltaic_capacity,－光伏,2025,55,55,兆瓦,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
renewable_consumption,可再生能源消耗量,2023,627590,"627,590",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
renewable_consumption,可再生能源消耗量,2024,643782,"643,782",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
renewable_consumption,可再生能源消耗量,2025,64761,"64,761",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
self_generated_green_consumption,－自发绿电,2023,27590,"27,590",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
self_generated_green_consumption,－自发绿电,2024,43782,"43,782",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
self_generated_green_consumption,－自发绿电,2025,40421,"40,421",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
purchased_green_consumption,－外购绿电,2023,600000,"600,000",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
purchased_green_consumption,－外购绿电,2024,600000,"600,000",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
purchased_green_consumption,－外购绿电,2025,24340,"24,340",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
direct_energy_consumption,直接能源消耗总量,2023,5601280,"5,601,280",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
direct_energy_consumption,直接能源消耗总量,2024,5745641.75,"5,745,641.75",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
direct_energy_consumption,直接能源消耗总量,2025,5859721.58,"5,859,721.58",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
indirect_energy_consumption,间接能源消耗总量,2023,281438.05,"281,438.05",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
indirect_energy_consumption,间接能源消耗总量,2024,282121.98,"282,121.98",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
indirect_energy_consumption,间接能源消耗总量,2025,235020.61,"235,020.61",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
electricity_consumption,电力消耗总量,2023,5027023.85,"5,027,023.85",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
electricity_consumption,电力消耗总量,2024,4849493.38,"4,849,493.38",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
electricity_consumption,电力消耗总量,2025,4984250.57,"4,984,250.57",兆瓦时,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
total_energy_consumption,能源消耗总量,2023,5882717.78,"5,882,717.78",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
total_energy_consumption,能源消耗总量,2024,6027763.73,"6,027,763.73",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
total_energy_consumption,能源消耗总量,2025,6094742.19,"6,094,742.19",吨标准煤,steel_business,sustainability_2025.pdf,66,126,issuer_annual_disclosure_not_meter_trace,False
