run,province,ai_share,policy,noai_cost_eur_per_week,rigid_incremental_eur_per_week,flex_incremental_eur_per_week,total_saving_eur_per_week,cost_reduction_pct,mode_first_share_pct,new_gas_S0_MW,new_gas_S2_MW
Gansu_ai0.01_legacy,Gansu,0.01,legacy,157271137.28225324,967450.9877021909,897143.264688611,70307.72301357985,7.267316267935072,99.79794174570344,0.0,0.0
Gansu_ai0.01_independent_reference,Gansu,0.01,independent_reference,157268790.23697272,969798.032982707,899490.3099691272,70307.72301357985,7.24972835811408,99.79794174570344,0.0,0.0
Gansu_ai0.01_dispatch_relaxation,Gansu,0.01,dispatch_relaxation,157259622.49602163,971564.9122633338,901306.7039349377,70258.20832839608,7.231447682144498,99.99999989993528,0.0,0.0
Gansu_ai0.1_legacy,Gansu,0.1,legacy,157312922.4333711,9663509.31826803,8959815.077261597,703694.241006434,7.281974051353794,99.88720807585659,0.0,0.0
Gansu_ai0.1_independent_reference,Gansu,0.1,independent_reference,157268790.23697272,9707641.514666408,9003947.273659974,703694.241006434,7.248869253600735,99.88720807585659,0.0,0.0
Gansu_ai0.1_dispatch_relaxation,Gansu,0.1,dispatch_relaxation,157259622.49602163,9715649.122633696,9013067.039349318,702582.083284378,7.231447682148526,99.99999989977833,0.0,0.0
Gansu_ai0.2_legacy,Gansu,0.2,legacy,157426886.07296064,19265377.95977813,17858870.501759708,1406507.4580184221,7.300700048319323,99.94574677293356,0.0,0.0
Gansu_ai0.2_independent_reference,Gansu,0.2,independent_reference,157268790.23697272,19423473.795766056,18016966.337747633,1406507.4580184221,7.241276574970919,99.94574677293356,0.0,0.0
Gansu_ai0.2_dispatch_relaxation,Gansu,0.2,dispatch_relaxation,157259622.49602163,19431298.245267123,18026134.078698754,1405164.1665683687,7.231447682146633,99.99999989978258,0.0,0.0
Guizhou_ai0.01_legacy,Guizhou,0.01,legacy,103754863.77075839,1385199.5850613862,1280010.8914224207,105188.69363896549,7.593757229887126,84.49763604681817,0.0,0.0
Guizhou_ai0.01_independent_reference,Guizhou,0.01,independent_reference,103614667.52354655,1525395.83227323,1420207.1386342645,105188.69363896549,6.895829358744702,84.49763604681817,0.0,0.0
Guizhou_ai0.01_dispatch_relaxation,Guizhou,0.01,dispatch_relaxation,102303062.08382058,1631133.3998106122,1513117.5214670748,118015.87834353745,7.23520702581653,99.99999989988524,0.0,0.0
Guizhou_ai0.1_legacy,Guizhou,0.1,legacy,105607694.06056553,13604233.053009063,12451815.953120634,1152417.099888429,8.47101850870991,89.91263040313194,0.0,0.0
Guizhou_ai0.1_independent_reference,Guizhou,0.1,independent_reference,103614667.52354655,15597259.590028048,14444842.490139619,1152417.099888429,7.388587035027713,89.91263040313194,0.0,0.0
Guizhou_ai0.1_dispatch_relaxation,Guizhou,0.1,dispatch_relaxation,102303062.08382058,16318965.65385671,15138806.870420203,1180158.783436507,7.231823440706835,99.99999989977918,0.0,0.0
Guizhou_ai0.2_legacy,Guizhou,0.2,legacy,108796690.61540821,26543521.92427534,24085601.68381214,2457920.240463197,9.2599627414752,93.26363916320784,0.0,0.0
Guizhou_ai0.2_independent_reference,Guizhou,0.2,independent_reference,103614667.52354655,31725545.016137004,29267624.775673807,2457920.240463197,7.747448433787319,93.26363916320784,0.0,0.0
Guizhou_ai0.2_dispatch_relaxation,Guizhou,0.2,dispatch_relaxation,102303062.08382058,32638779.269462377,30278461.702589437,2360317.5668729395,7.231635556545796,99.99999989978045,0.0,0.0
Jiangsu_ai0.01_legacy,Jiangsu,0.01,legacy,510781361.8074699,5756116.637375534,5291513.327596307,464603.3097792268,8.071471428540402,95.97886257426697,0.0,0.0
Jiangsu_ai0.01_independent_reference,Jiangsu,0.01,independent_reference,510781361.8074699,5756116.637375534,5291513.327596307,464603.3097792268,8.071471428540402,95.97886257426697,0.0,0.0
Jiangsu_ai0.01_dispatch_relaxation,Jiangsu,0.01,dispatch_relaxation,510781361.8074699,5756116.637375534,5291513.327596307,464603.3097792268,8.071471428540402,95.97886257426697,0.0,0.0
Jiangsu_ai0.1_legacy,Jiangsu,0.1,legacy,510781361.8074699,62376071.263992965,56740601.848772705,5635469.415220261,9.034665539240807,96.22234697957813,0.0,0.0
Jiangsu_ai0.1_independent_reference,Jiangsu,0.1,independent_reference,510781361.8074699,62376071.263992965,56740601.848772705,5635469.415220261,9.034665539240807,96.22234697957813,0.0,0.0
Jiangsu_ai0.1_dispatch_relaxation,Jiangsu,0.1,dispatch_relaxation,510781361.8074699,62376071.263993084,56740601.848772705,5635469.41522038,9.034665539240981,96.22234697957822,0.0,0.0
Jiangsu_ai0.2_legacy,Jiangsu,0.2,legacy,510781361.8074699,143692753.74287027,125998972.91278607,17693780.830084205,12.3136208119069,79.57237467581015,9379.635965061905,2434.67334363264
Jiangsu_ai0.2_independent_reference,Jiangsu,0.2,independent_reference,510781361.8074699,143692753.74287027,125998972.91278607,17693780.830084205,12.3136208119069,79.57237467581015,9379.635965061905,2434.67334363264
Jiangsu_ai0.2_dispatch_relaxation,Jiangsu,0.2,dispatch_relaxation,510781361.8074699,143692753.74287027,125998972.91278607,17693780.830084205,12.3136208119069,79.57237467581015,9379.635965061905,2434.6733436326385
