case,province,shape,replicas,policy,hours,background_energy_mwh,cohort_energy_mwh,total_energy_mwh,total_peak_mw,analytic_diagnostic_cost
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1,C00,192,12561130.011674004,64.0794543263889,12561194.091128329,65422.91492291321,63460199.604870774
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1,C10,192,12561130.011674004,61.78062244223025,12561191.792296445,65422.900055962265,63460187.96204185
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1,C01,192,12561130.011674004,64.0794543263889,12561194.091128329,65422.933096879875,63460199.78661044
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1,C11,192,12561130.011674004,61.71221059747319,12561191.7238846,65422.906733156924,63460187.68675456
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1,NO_COHORT,192,12561130.011674004,0.0,12561130.011674002,65422.55214413543,63459875.579811364
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1,C00,192,12561130.011674002,64.0794543263889,12561194.091128329,70086.7541218825,63506837.99686047
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1,C10,192,12561130.011674002,61.78062244223025,12561191.792296445,70086.7541218825,63506826.50270105
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1,C01,192,12561130.011674002,64.0794543263889,12561194.091128329,70086.7541218825,63506837.99686047
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1,C11,192,12561130.011674002,61.71221059747319,12561191.723884601,70086.7541218825,63506826.16064183
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1,NO_COHORT,192,12561130.011674002,0.0,12561130.011674004,70086.42637582973,63506514.32212831
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1,C00,192,12561130.011674002,64.0794543263889,12561194.09112833,74750.62835357682,63553476.73917743
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1,C10,192,12561130.011674002,61.78062244223025,12561191.792296447,74750.62835357682,63553465.245018005
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1,C01,192,12561130.011674002,64.0794543263889,12561194.09112833,74750.62835357682,63553476.73917743
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1,C11,192,12561130.011674002,61.71221059747319,12561191.723884601,74750.62835357682,63553464.90295877
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1,NO_COHORT,192,12561130.011674002,0.0,12561130.011674004,74750.30060752404,63553153.06444526
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1000,C00,192,12561130.011674004,64079.45432638889,12625209.466000391,65785.3309219132,63783900.63922109
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1000,C10,192,12561130.011674004,61780.62244223025,12622910.634116232,65770.46397097132,63772257.81029087
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1000,C01,192,12561130.011674004,64079.4543263889,12625209.466000391,65803.50488857988,63784082.37888776
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1000,C11,192,12561130.011674004,61712.21059747318,12622842.222271476,65777.14116563006,63771982.52301367
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.0,1000,NO_COHORT,192,12561130.011674004,0.0,12561130.011674002,65422.55214413543,63459875.579811364
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1000,C00,192,12561130.011674002,64079.45432638889,12625209.466000391,70414.1724286075,63830189.05428803
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1000,C10,192,12561130.011674002,61780.62244223025,12622910.634116232,70414.1724286075,63818694.894867234
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1000,C01,192,12561130.011674002,64079.4543263889,12625209.466000391,70414.1724286075,63830189.05428803
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1000,C11,192,12561130.011674002,61712.21059747318,12622842.222271476,70414.1724286075,63818352.83564345
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,0.5,1000,NO_COHORT,192,12561130.011674002,0.0,12561130.011674004,70086.42637582973,63506514.32212831
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1000,C00,192,12561130.011674002,64079.45432638889,12625209.466000393,75078.04666030181,63876827.79660498
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1000,C10,192,12561130.011674002,61780.62244223025,12622910.634116234,75078.04666030181,63865333.63718419
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1000,C01,192,12561130.011674002,64079.4543263889,12625209.466000393,75078.04666030181,63876827.79660498
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1000,C11,192,12561130.011674002,61712.21059747318,12622842.222271478,75078.04666030181,63864991.57796041
Earth_ft_llama_8b_dolly_6_Jiangsu,Jiangsu,1.0,1000,NO_COHORT,192,12561130.011674002,0.0,12561130.011674004,74750.30060752404,63553153.06444526
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1,C00,192,2798557.224374939,64.0794543263889,2798621.3038292653,14576.181655730586,14138868.335703634
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1,C10,192,2798557.224374939,61.7544740935385,2798618.9788490324,14576.167407906443,14138856.568324227
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1,C01,192,2798557.224374939,64.0794543263889,2798621.3038292653,14576.199151934752,14138868.510665674
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1,C11,192,2798557.224374939,61.682380374683106,2798618.9067553137,14576.171714049982,14138856.250917068
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1,NO_COHORT,192,2798557.224374939,0.0,2798557.224374939,14575.818876952808,14138544.310644224
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1,C00,192,2798557.224374939,64.0794543263889,2798621.3038292658,15268.105023327566,14145787.569379605
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1,C10,192,2798557.224374939,61.7544740935385,2798618.978849033,15268.10437993816,14145775.938044546
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1,C01,192,2798557.224374939,64.0794543263889,2798621.3038292658,15268.101050660898,14145787.529652938
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1,C11,192,2798557.224374939,61.682380374683106,2798618.9067553137,15268.102454972328,14145775.55832629
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1,NO_COHORT,192,2798557.224374939,0.0,2798557.224374939,15267.774707005343,14145463.86894475
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1,C00,192,2798557.224374939,64.0794543263889,2798621.3038292658,15960.0608533801,14152707.12768013
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1,C10,192,2798557.224374939,61.7544740935385,2798618.978849033,15960.060209990696,14152695.496345071
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1,C01,192,2798557.224374939,64.0794543263889,2798621.3038292658,15960.056880713433,14152707.087953463
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1,C11,192,2798557.224374939,61.682380374683106,2798618.906755314,15960.058285024863,14152695.11662682
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1,NO_COHORT,192,2798557.224374939,0.0,2798557.224374939,15959.730537057878,14152383.427245274
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1000,C00,192,2798557.224374939,64079.45432638889,2862636.678701328,14938.597654730585,14462569.370053947
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1000,C10,192,2798557.224374939,61754.4740935385,2860311.6984684775,14924.349830587847,14450801.990648264
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1000,C01,192,2798557.224374939,64079.45432638889,2862636.678701328,14956.093858897253,14462744.332095614
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1000,C11,192,2798557.224374939,61682.3803746831,2860239.6047496223,14928.655974126663,14450484.583489377
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.0,1000,NO_COHORT,192,2798557.224374939,0.0,2798557.224374939,14575.818876952808,14138544.310644224
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1000,C00,192,2798557.224374939,64079.45432638889,2862636.678701328,15598.091029227566,14469164.303798916
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1000,C10,192,2798557.224374939,61754.4740935385,2860311.698468478,15597.447639823267,14457532.968740623
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1000,C01,192,2798557.224374939,64079.45432638889,2862636.678701328,15594.1183625609,14469124.57713225
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1000,C11,192,2798557.224374939,61682.3803746831,2860239.6047496223,15595.522673989997,14457153.250488011
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,0.5,1000,NO_COHORT,192,2798557.224374939,0.0,2798557.224374939,15267.774707005343,14145463.86894475
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1000,C00,192,2798557.224374939,64079.45432638889,2862636.678701328,16290.0468592801,14476083.86209944
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1000,C10,192,2798557.224374939,61754.4740935385,2860311.698468478,16289.403469875802,14464452.527041148
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1000,C01,192,2798557.224374939,64079.45432638889,2862636.678701328,16286.074192613434,14476044.135432774
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1000,C11,192,2798557.224374939,61682.3803746831,2860239.6047496223,16287.478504042532,14464072.808788536
Earth_ft_llama_8b_dolly_6_Gansu,Gansu,1.0,1000,NO_COHORT,192,2798557.224374939,0.0,2798557.224374939,15959.730537057878,14152383.427245274
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.0,1,C00,192,3210324.658625766,64.0794543263889,3210388.7380800922,16720.803709120308,16219151.727491664
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.0,1,C10,192,3210324.658625766,61.76078595047325,3210386.4194117165,16720.78834686793,16219139.980527263
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.0,1,C01,192,3210324.658625766,64.07945432638888,3210388.7380800922,16720.821883086974,16219151.909231331
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.0,1,C11,192,3210324.658625766,61.69022304562697,3210386.3488488114,16720.794652804612,16219139.690772103
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.0,1,NO_COHORT,192,3210324.658625766,0.0,3210324.6586257657,16720.44093034253,16218827.702432254
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.5,1,C00,192,3210324.6586257657,64.0794543263889,3210388.7380800922,18825.96674491125,16240203.357849574
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.5,1,C10,192,3210324.6586257657,61.76078595047325,3210386.419411716,18825.952991723116,16240191.62697581
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.5,1,C01,192,3210324.6586257657,64.07945432638888,3210388.7380800922,18825.969984011248,16240203.390240572
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.5,1,C11,192,3210324.6586257657,61.69022304562697,3210386.3488488114,18825.95534746302,16240191.297718687
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,0.5,1,NO_COHORT,192,3210324.6586257657,0.0,3210324.6586257657,18825.63942677514,16239879.68739658
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,1.0,1,C00,192,3210324.6586257657,64.0794543263889,3210388.7380800922,20931.165241343857,16261255.3428139
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,1.0,1,C10,192,3210324.6586257657,61.76078595047325,3210386.419411716,20931.151488155723,16261243.611940136
Earth_ft_llama_8b_dolly_6_Guizhou,Guizhou,1.0,1,C01,192,3210324.6586257657,64.07945432638888,3210388.7380800922,20931.168480443856,16261255.375204898
