case,replicas,policy,peak_shape_interaction_mw,cost_shape_interaction
Earth_ft_llama_8b_dolly_6_Gansu,1,C01,0.02146887083290494,0.2146887071430683
Earth_ft_llama_8b_dolly_6_Gansu,1,C10,-0.0136044347382267,-0.1360443476587534
Earth_ft_llama_8b_dolly_6_Gansu,1,C11,-0.0073733253666432574,-0.07373325526714325
Earth_ft_llama_8b_dolly_6_Gansu,1000,C01,21.468870833334222,214.68870833329856
Earth_ft_llama_8b_dolly_6_Gansu,1000,C10,-13.604434738439522,-136.0443473905325
Earth_ft_llama_8b_dolly_6_Gansu,1000,C11,-7.373325366354038,-73.73325366526842
Earth_ft_llama_8b_dolly_6_Guizhou,1,C01,0.014934866667317692,0.1493486687541008
Earth_ft_llama_8b_dolly_6_Guizhou,1,C10,-0.0016090642457129434,-0.0160906370729208
Earth_ft_llama_8b_dolly_6_Guizhou,1,C11,0.0023411325346387457,0.023411324247717857
Earth_ft_llama_8b_dolly_6_Guizhou,1000,C01,14.934866666666494,149.3486666660756
Earth_ft_llama_8b_dolly_6_Guizhou,1000,C10,-1.60906424627683,-16.090642461553216
Earth_ft_llama_8b_dolly_6_Guizhou,1000,C11,2.341132533201744,23.41132532991469
Earth_ft_llama_8b_dolly_6_Jiangsu,1,C01,0.018173966665926855,0.1817396655678749
Earth_ft_llama_8b_dolly_6_Jiangsu,1,C10,-0.014866950943542179,-0.1486695036292076
Earth_ft_llama_8b_dolly_6_Jiangsu,1,C11,-0.008189756284991745,-0.0818975567817688
Earth_ft_llama_8b_dolly_6_Jiangsu,1000,C01,18.173966666669003,181.73966667056084
Earth_ft_llama_8b_dolly_6_Jiangsu,1000,C10,-14.86695094188326,-148.66950941830873
Earth_ft_llama_8b_dolly_6_Jiangsu,1000,C11,-8.189756283143652,-81.89756283909082
