province,technology,capacity_mw,records
Anhui,conventional storage,341.0,4
Anhui,pumped storage,7160.0,7
Anhui,run-of-river,50.0,1
Beijing,conventional and pumped storage,92.0,1
Beijing,pumped storage,800.0,1
Chongqing,conventional and run-of-river,130.0,2
Chongqing,conventional storage,4504.0,16
Chongqing,pumped storage,5000.0,4
Fujian,conventional storage,4175.0,18
Fujian,pumped storage,9400.0,7
Fujian,run-of-river,1081.0,12
Gansu,conventional and run-of-river,157.0,3
Gansu,conventional storage,3625.0,13
Gansu,pumped storage,2580.0,2
Gansu,run-of-river,1732.0,18
Guangdong,conventional and run-of-river,102.0,2
Guangdong,conventional storage,1411.0,12
Guangdong,pumped storage,19480.0,13
Guangdong,run-of-river,221.0,3
Guangxi,conventional and run-of-river,51.0,1
Guangxi,conventional storage,14681.0,30
Guangxi,pumped storage,6000.0,5
Guangxi,run-of-river,598.0,6
Guizhou,conventional and run-of-river,60.0,1
Guizhou,conventional storage,16417.0,34
Guizhou,pumped storage,1500.0,1
Guizhou,run-of-river,258.0,4
Hainan,conventional storage,320.0,2
Hainan,pumped storage,600.0,1
Hainan,run-of-river,82.0,1
Hebei,conventional storage,700.0,2
Hebei,pumped storage,14870.0,10
Heilongjiang,pumped storage,3600.0,3
Heilongjiang,run-of-river,96.0,1
Henan,conventional storage,2400.0,4
Henan,pumped storage,11320.0,10
Hubei,conventional storage,32395.0,24
Hubei,pumped storage,10298.0,10
Hubei,run-of-river,382.0,6
Hunan,conventional and run-of-river,63.0,1
Hunan,conventional storage,8440.0,30
Hunan,pumped storage,7400.0,5
Hunan,run-of-river,920.0,10
InnerMongolia,conventional storage,760.0,3
InnerMongolia,pumped storage,3600.0,3
Jiangsu,pumped storage,3950.0,5
Jiangxi,conventional storage,2007.0,10
Jiangxi,pumped storage,2400.0,2
Jiangxi,run-of-river,120.0,1
Jilin,conventional and run-of-river,70.0,1
Jilin,conventional storage,4470.0,8
Jilin,pumped storage,2900.0,3
Liaoning,conventional storage,1245.0,5
Liaoning,pumped storage,4600.0,3
Liaoning,run-of-river,161.0,1
Ningxia,conventional storage,272.0,1
Ningxia,pumped storage,1000.0,1
Ningxia,run-of-river,153.0,1
Qinghai,conventional and run-of-river,96.0,2
Qinghai,conventional storage,15194.0,15
Qinghai,pumped storage,7600.0,3
Qinghai,run-of-river,70.0,1
Shaanxi,conventional storage,3069.0,7
Shaanxi,pumped storage,2800.0,2
Shaanxi,run-of-river,477.0,5
Shandong,pumped storage,7000.0,5
Shanxi,pumped storage,5100.0,4
Sichuan,conventional and run-of-river,4968.0,4
Sichuan,conventional storage,75949.0,128
Sichuan,pumped storage,1200.0,1
Sichuan,run-of-river,8272.0,56
Tibet,conventional storage,1892.0,9
Tibet,pumped storage,113.0,1
Tibet,run-of-river,66.0,1
Xinjiang,conventional storage,5175.0,30
Xinjiang,pumped storage,5900.0,4
Xinjiang,run-of-river,1361.0,13
Xinjiang,unknown,80.0,1
Yunnan,conventional and run-of-river,238.0,4
Yunnan,conventional storage,78030.0,69
Yunnan,run-of-river,2747.0,27
Yunnan,unknown,45.0,1
Zhejiang,conventional storage,2563.0,9
Zhejiang,pumped storage,24375.0,21
Zhejiang,run-of-river,138.0,2
