GEM unit/phase ID,Plant / Project name,province,technology,capacity_mw,Status,start,retired,included_2030,selection_reason
G100000600580,A’letai Hua’ning hydroelectric plant,Xinjiang,conventional storage,100.0,operating,2017.0,,True,operating_or_construction_start_by_2030
G100000600581,Ahai hydroelectric plant,Yunnan,conventional storage,2000.0,operating,2014.0,,True,operating_or_construction_start_by_2030
G100000600582,Ajiutian hydroelectric plant,Yunnan,run-of-river,105.0,operating,2004.0,,True,operating_or_construction_start_by_2030
G100000600583,Altash hydroelectric plant,Xinjiang,conventional storage,755.0,operating,2021.0,,True,operating_or_construction_start_by_2030
G100000600584,Amojiang Sanjiangkou hydroelectric plant,Yunnan,conventional storage,99.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600585,Anfeng hydroelectric plant,Fujian,run-of-river,81.0,shelved,,,False,unknown_start_year_not_imputed
G100000600586,Angu hydroelectric plant,Sichuan,conventional storage,772.0,operating,2015.0,,True,operating_or_construction_start_by_2030
G100000600587,Anhua hydroelectric plant,Hunan,pumped storage,2400.0,construction,2028.0,,True,operating_or_construction_start_by_2030
G100000600588,Anjiang hydroelectric plant,Hunan,conventional storage,140.0,operating,2012.0,,True,operating_or_construction_start_by_2030
G100001027825,Ankang Hanbin Pumped Storage hydroelectric plant,Shaanxi,pumped storage,1200.0,announced,,,False,unknown_start_year_not_imputed
G100000600590,Ankang hydroelectric plant,Shaanxi,pumped storage,600.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600589,Ankang hydroelectric plant,Shaanxi,conventional storage,853.0,operating,1992.0,,True,operating_or_construction_start_by_2030
G100000600591,Anning hydroelectric plant,Sichuan,conventional storage,400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600592,Anren hydroelectric plant,Hunan,pumped storage,1200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600593,Ansha hydroelectric plant,Fujian,conventional storage,128.0,operating,1975.0,,True,operating_or_construction_start_by_2030
G100000600594,Anyuan hydroelectric plant,Jiangxi,pumped storage,1400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600595,Badi hydroelectric plant,Sichuan,conventional storage,720.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000604185,Baihe Pumped Storage hydroelectric plant,Hebei,pumped storage,1400.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600596,Baihetan hydroelectric plant,Sichuan,conventional storage,16000.0,operating,2022.0,,True,operating_or_construction_start_by_2030
G100000600597,Baihuatan hydroelectric plant,Sichuan,conventional storage,120.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100001048085,Bailianhe hydroelectric plant,Hubei,conventional storage,45.0,operating,1964.0,,True,operating_or_construction_start_by_2030
G100000600598,Bailianhe Pumped Storage hydroelectric plant,Hubei,pumped storage,1200.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100001031116,Bailianya hydroelectric plant,Anhui,run-of-river,50.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100001051044,Bailong River Zhaohua hydroelectric plant,Sichuan,conventional storage,60.0,operating,2013.0,,True,operating_or_construction_start_by_2030
G100000600599,Bailongtan hydroelectric plant,Guangxi,conventional storage,192.0,operating,1999.0,,True,operating_or_construction_start_by_2030
G100000600600,Baise hydroelectric plant,Guangxi,conventional storage,540.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100000600601,Baise Tiandong hydroelectric plant,Guangxi,pumped storage,1200.0,construction,2030.0,,True,operating_or_construction_start_by_2030
G100000600602,Baishan hydroelectric plant,Jilin,conventional storage,1500.0,operating,1994.0,,True,operating_or_construction_start_by_2030
G100000604990,Baishan hydroelectric plant,Jilin,pumped storage,300.0,operating,2006.0,,True,operating_or_construction_start_by_2030
G100000600603,Baishi hydroelectric plant,Guizhou,conventional storage,420.0,operating,2013.0,,True,operating_or_construction_start_by_2030
G100001031313,Baishiyao hydroelectric plant,Guangdong,conventional storage,92.0,operating,1997.0,,True,operating_or_construction_start_by_2030
G100001051166,Baishuijiang Stage 3 hydroelectric plant,Yunnan,run-of-river,48.0,operating,2017.0,,True,operating_or_construction_start_by_2030
G100001048083,Baishuiyu hydroelectric plant,Hubei,conventional storage,45.0,operating,1997.0,,True,operating_or_construction_start_by_2030
G100000600604,Baiyantan Dam hydroelectric plant,Sichuan,pumped storage,1200.0,announced,,,False,unknown_start_year_not_imputed
G100000604160,Baiyenzhai Pumped Storage hydroelectric plant,Sichuan,pumped storage,1400.0,announced,,,False,unknown_start_year_not_imputed
G100000600605,Baiyin District hydroelectric plant,Gansu,pumped storage,1000.0,pre-construction,,,False,unknown_start_year_not_imputed
G100001048091,Baiyun hydroelectric plant,Hunan,conventional storage,54.0,operating,1999.0,,True,operating_or_construction_start_by_2030
G100000600606,Bajiangkou hydroelectric plant,Guangxi,conventional storage,90.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600607,Bala hydroelectric plant,Sichuan,conventional storage,746.0,construction,2025.0,,True,operating_or_construction_start_by_2030
G100000600608,Balangkou hydroelectric plant,Sichuan,run-of-river,96.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000604186,Banchahe Pumped Storage hydroelectric plant,Jilin,pumped storage,1200.0,announced,,,False,unknown_start_year_not_imputed
G100000600609,Banda hydroelectric plant,Tibet,unknown,1500.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600610,Banduo hydroelectric plant,Qinghai,conventional storage,360.0,operating,2010.0,,True,operating_or_construction_start_by_2030
G100000600611,Bangduo hydroelectric plant,Tibet,unknown,720.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600612,Banqiaoyu hydroelectric plant,Beijing,pumped storage,1000.0,shelved,,,False,unknown_start_year_not_imputed
G100001031155,Banzhu hydroelectric plant,Fujian,run-of-river,45.0,operating,1997.0,,True,operating_or_construction_start_by_2030
G100000600613,Baoning hydroelectric plant,Sichuan,conventional storage,120.0,operating,2007.0,,True,operating_or_construction_start_by_2030
G100000600614,Baoqing County hydroelectric plant,Heilongjiang,pumped storage,1000.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600615,Baoquan hydroelectric plant,Henan,pumped storage,1200.0,operating,2011.0,,True,operating_or_construction_start_by_2030
G100000600616,Baoxing hydroelectric plant,Sichuan,conventional storage,195.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600617,Baozhusi hydroelectric plant,Sichuan,conventional storage,700.0,operating,1996.0,,True,operating_or_construction_start_by_2030
G100000600618,Bapanxia hydroelectric plant,Gansu,run-of-river,220.0,operating,1980.0,,True,operating_or_construction_start_by_2030
G100000600619,Bashan hydroelectric plant,Chongqing,conventional storage,140.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600620,Batang hydroelectric plant,Sichuan,conventional storage,750.0,construction,,,False,unknown_start_year_not_imputed
G100000600621,Bayu hydroelectric plant,Tibet,conventional storage,800.0,pre-construction,,,False,unknown_start_year_not_imputed
G100001031156,Beijin hydroelectric plant,Fujian,run-of-river,50.0,operating,,,False,unknown_start_year_not_imputed
G100000604249,Benzilan hydroelectric plant,Yunnan,conventional storage,2200.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600623,Biedieli hydroelectric plant,Xinjiang,conventional storage,248.0,operating,2012.0,,True,operating_or_construction_start_by_2030
G100000600624,Bikou hydroelectric plant,Gansu,conventional storage,300.0,operating,1977.0,,True,operating_or_construction_start_by_2030
G100000600625,Bindong hydroelectric plant,Sichuan,run-of-river,100.0,operating,2005.0,,True,operating_or_construction_start_by_2030
G100000600626,Binggou hydroelectric plant,Hebei,pumped storage,1000.0,pre-construction,,,False,unknown_start_year_not_imputed
G100000600627,Bingling hydroelectric plant,Gansu,conventional storage,240.0,operating,2009.0,,True,operating_or_construction_start_by_2030
G100000600628,Bobona hydroelectric plant,Xinjiang,conventional storage,150.0,operating,2011.0,,True,operating_or_construction_start_by_2030
