run,province,ai_share,exchange,treatment,assumed_duration_h,assumed_roundtrip_efficiency,incremental_cost_S0_eur_per_week,incremental_cost_S0e_eur_per_week,incremental_cost_S2_eur_per_week,cost_reduction_pct,conditional_mode_share_pct,residual_cost_gap_pct,new_gas_S0_MW,new_gas_S0e_MW,new_gas_S2_MW,max_simultaneous_storage_slots
Gansu_ai0.1_legacy_8h_eta0.75_islanded,Gansu,0.1,islanded (interconnection = 0),legacy,8.0,0.75,9391522.107318193,8113526.8676273525,8106915.970558047,13.67835929129248,99.4853755653092,0.08154638697766241,0.0,0.0,0.0,0
Gansu_ai0.1_remove_pumped_storage_8h_eta0.75_islanded,Gansu,0.1,islanded (interconnection = 0),remove_pumped_storage,8.0,0.75,9517124.480485618,8234424.089684814,8232221.966392368,13.500953115910983,99.8286155355529,0.02675004757447253,0.0,0.0,0.0,0
Gansu_ai0.1_split_pumped_storage_8h_eta0.75_islanded,Gansu,0.1,islanded (interconnection = 0),split_pumped_storage,8.0,0.75,9663509.31826803,8378056.935968578,8377630.155936956,13.306544444472474,99.96681025370629,0.00509428112339157,0.0,0.0,0.0,0
Guizhou_ai0.1_legacy_8h_eta0.75_islanded,Guizhou,0.1,islanded (interconnection = 0),legacy,8.0,0.75,12737350.804565042,10999515.500056505,10850799.536521569,14.81117460757489,92.11704627093604,1.3705530457399828,0.0,0.0,0.0,0
Guizhou_ai0.1_remove_pumped_storage_8h_eta0.75_islanded,Guizhou,0.1,islanded (interconnection = 0),remove_pumped_storage,8.0,0.75,13170127.226503104,11378882.446906552,11236694.900559843,14.680437726163266,92.64584829586211,1.265385841699991,0.0,0.0,0.0,0
Guizhou_ai0.1_split_pumped_storage_8h_eta0.75_islanded,Guizhou,0.1,islanded (interconnection = 0),split_pumped_storage,8.0,0.75,13604233.053009003,11745506.154481009,11654348.311453879,14.332926626274212,95.32496249217135,0.7821788107837824,0.0,0.0,0.0,0
Jiangsu_ai0.2_legacy_8h_eta0.75_islanded,Jiangsu,0.2,islanded (interconnection = 0),legacy,8.0,0.75,140005402.97533435,116358517.96124178,111481799.3878128,20.373216305478397,82.90286653835547,4.374452691119831,9498.09364586254,6262.020875405248,591.0605497209971,0
Jiangsu_ai0.2_legacy_8h_eta0.75_neighbours,Jiangsu,0.2,neighbour aggregate node,legacy,8.0,0.75,101894177.38168252,88322269.47046912,88302466.9369545,13.339045266360229,99.85430433060543,0.022425798736469424,0.0,0.0,0.0,0
Jiangsu_ai0.2_remove_pumped_storage_8h_eta0.75_islanded,Jiangsu,0.2,islanded (interconnection = 0),remove_pumped_storage,8.0,0.75,146581152.19741404,122690833.43254387,117574547.31420135,19.788768506981633,82.36165128962223,4.351525253735375,13295.350924525908,10159.640726175323,3857.9228549996296,0
Jiangsu_ai0.2_split_pumped_storage_12h_eta0.75_islanded,Jiangsu,0.2,islanded (interconnection = 0),split_pumped_storage,12.0,0.75,143689150.46748686,119480836.36868858,114822550.43392801,20.089617023722756,83.86271355357027,4.056943446349481,9379.635965061905,6168.8493426511595,0.0,0
Jiangsu_ai0.2_split_pumped_storage_4h_eta0.75_islanded,Jiangsu,0.2,islanded (interconnection = 0),split_pumped_storage,4.0,0.75,143579754.87009048,119577489.57328558,115840897.16314423,19.31947699175562,86.52939335275639,3.225624543358749,9626.500472866162,6328.038100237839,1647.5628850708354,0
Jiangsu_ai0.2_split_pumped_storage_8h_eta0.75_islanded,Jiangsu,0.2,islanded (interconnection = 0),split_pumped_storage,8.0,0.75,143692753.74287075,119507250.18582433,115139140.43015689,19.87129661653557,84.70207707925185,3.7937661679150128,9379.635965061905,6209.640726175347,477.9964693869705,0
Jiangsu_ai0.2_split_pumped_storage_8h_eta0.75_neighbours,Jiangsu,0.2,neighbour aggregate node,split_pumped_storage,8.0,0.75,102254612.8479408,88553013.30490994,88542341.24484193,13.409929607273464,99.92217146526183,0.01205305836503729,0.0,0.0,0.0,0
