province,type,selected_units,selected_MW,selected_operating_MW,selected_construction_MW,selected_unknown_retirement_units,selected_unknown_retirement_MW,excluded_operating_unknown_start_MW,excluded_construction_unknown_start_MW,other_excluded_active_MW,admission
Gansu,coal,75,33650.0,25630.0,8020.0,75,33650.0,0.0,4700.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Gansu,oil/gas,1,180.0,180.0,0.0,1,180.0,0.0,0.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Gansu,nuclear,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Gansu,hydropower,36,8094.0,5514.0,2580.0,36,8094.0,0.0,6651.0,2100.0,NOT_ADMITTED_AS_REALIZED_2030
Gansu,wind,215,28451.6,27651.6,800.0,215,28451.6,1119.1000000000001,14907.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Gansu,solar,407,24919.9,24919.9,0.0,407,24919.9,631.2,13811.7,0.0,NOT_ADMITTED_AS_REALIZED_2030
Jiangsu,coal,221,92481.0,78939.0,13542.0,221,92481.0,320.0,6242.0,330.0,NOT_ADMITTED_AS_REALIZED_2030
Jiangsu,oil/gas,108,24779.0,22319.0,2460.0,108,24779.0,150.0,1178.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Jiangsu,nuclear,8,9138.0,6608.0,2530.0,8,9138.0,0.0,0.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Jiangsu,hydropower,5,3950.0,3275.0,675.0,5,3950.0,0.0,0.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Jiangsu,wind,179,21955.2,21305.2,650.0,179,21955.2,934.0,1973.6,0.0,NOT_ADMITTED_AS_REALIZED_2030
Jiangsu,solar,1301,11198.0,10748.0,450.0,1301,11198.0,3948.0,5170.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Guizhou,coal,95,41890.0,35150.0,6740.0,95,41890.0,0.0,350.0,1140.0,NOT_ADMITTED_AS_REALIZED_2030
Guizhou,oil/gas,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Guizhou,nuclear,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Guizhou,hydropower,40,18235.0,16735.0,1500.0,40,18235.0,0.0,1590.0,0.0,NOT_ADMITTED_AS_REALIZED_2030
Guizhou,wind,123,6626.1,6396.1,230.0,123,6626.1,290.0,3731.7,0.0,NOT_ADMITTED_AS_REALIZED_2030
Guizhou,solar,236,21149.5,19387.1,1762.4,236,21149.5,120.0,10766.6,0.0,NOT_ADMITTED_AS_REALIZED_2030
