run,cluster,start,workload,slack,jobs,fixed_work_gpu_h,week_allocation_gpu_h,cohort_share_of_week_gpu_h,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,upper_bound_on_cohort_saving_pct,exact_gang_capacity_excess_gpus,max_work_error_gpu_h,max_deadline_or_release_violation_s
Earth_2020-05-04_ft_llama_8b_dolly_0,Earth,2020-05-04,ft_llama_8b_dolly,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,3.615687509137437,0.697540572518635,3.776228190657983,0.0,1.714023367682671e-11,0.0
Earth_2020-05-04_ft_llama_8b_dolly_6,Earth,2020-05-04,ft_llama_8b_dolly,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,31.333210968324426,6.044821589934976,33.35702183764885,0.0,5.08030950641114e-10,0.0
Earth_2020-05-04_ft_llama_8b_dolly_24,Earth,2020-05-04,ft_llama_8b_dolly,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,35.6505068956039,6.877716873400808,35.65050689560191,0.0,5.08030950641114e-10,0.0
Earth_2020-05-04_ft_llama_8b_p3_0,Earth,2020-05-04,ft_llama_8b_p3,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,3.1388695138703766,0.605552562889695,3.4136662687422095,0.0,4.944453735333809e-10,0.0
Earth_2020-05-04_ft_llama_8b_p3_6,Earth,2020-05-04,ft_llama_8b_p3,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,27.223741880778487,5.25202038329578,30.241059603488644,0.0,4.6359005523299857e-10,0.0
Earth_2020-05-04_ft_llama_8b_p3_24,Earth,2020-05-04,ft_llama_8b_p3,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,33.538835054804764,6.470331893067177,33.53883505480573,0.0,4.6359005523299857e-10,0.0
Earth_2020-05-04_infer_llama_8b_48g_0,Earth,2020-05-04,infer_llama_8b_48g,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,3.692429803188687,0.7123457412710842,4.01919652486426,0.0,6.399432095349766e-10,0.0
Earth_2020-05-04_infer_llama_8b_48g_6,Earth,2020-05-04,infer_llama_8b_48g,6,19037,20703.073055555556,77774.56222222222,0.26619337305173735,32.01979488308842,6.177277764805247,35.097311902558125,0.0,5.186890916775155e-10,0.0
Earth_2020-05-04_infer_llama_8b_48g_24,Earth,2020-05-04,infer_llama_8b_48g,24,19037,20703.073055555556,77774.56222222222,0.26619337305173735,39.044791313200456,7.532544230565369,39.04479131319985,0.0,5.186890916775155e-10,0.0
Earth_2020-05-04_infer_llama_8b_32g_0,Earth,2020-05-04,infer_llama_8b_32g,0,19037,20703.073055555556,77774.56222222222,0.26619337305173735,3.692429803188687,0.7123457412710842,4.01919652486426,0.0,6.399432095349766e-10,0.0
