cluster,start,jobs,gpu_h,coverage
Earth,2020-05-04,19037,20703.073055555556,0.2661933730517373
Earth,2020-07-06,13815,47701.92555555556,0.3373139261488553
Earth,2020-09-07,4812,56088.45361111111,0.384301129450029
Saturn,2020-05-04,8126,81862.01527777777,0.301713767175418
Saturn,2020-07-06,19288,110830.31138888888,0.4059126744453213
Saturn,2020-09-07,14586,116611.55166666668,0.3842977253044947
Uranus,2020-05-04,5490,83121.835,0.2998733082482924
Uranus,2020-07-06,14129,98615.45555555556,0.358777104005532
Uranus,2020-09-07,9705,110580.7202777778,0.3697254979270424
Venus,2020-05-04,3781,34227.01166666667,0.3154901918235848
Venus,2020-07-06,2426,48721.69499999999,0.3651827325877739
Venus,2020-09-07,3508,44175.89000000001,0.2848479805660323
