run,cluster,start,workload,slack,tariff,cell,incremental_bill,lower_incremental_bill,all_gpu_bill,all_gpu_energy,peak_normalized_gpu_power,max_work_error_gpu_h,max_window_violation_s,capacity_excess_gpus
Earth_ft_llama_8b_dolly_0_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,C00,29021.14112288454,29021.14112288454,117449.8775481384,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,C10,29021.14112288454,29021.14112288454,117449.8775481384,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,C01,28749.779989939823,28749.77998993982,117178.51641519368,111865.99625,670.094,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,C11,27669.2221629989,27669.222162998958,116097.95858825275,110752.82685766529,663.7004900701643,1.6470380614919122e-11,0.0,0.0
Earth_ft_llama_8b_dolly_0_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,0,Gansu,C00,28317.544374999998,28317.544374999998,112052.640625,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,0,Gansu,C10,28317.544374999998,28317.544374999998,112052.640625,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,0,Gansu,C01,28193.278124999997,28193.278124999997,111928.374375,111865.99625,658.826,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,0,Gansu,C11,27131.212355586642,27131.212355586704,110866.30860558664,110752.82685766529,663.7004900701643,1.6470380614919122e-11,0.0,0.0
Earth_ft_llama_8b_dolly_0_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,0,Guizhou,C00,27991.3212,27991.3212,112078.95500000002,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,0,Guizhou,C10,27991.3212,27991.321200000002,112078.95500000002,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,0,Guizhou,C01,27761.7237,27761.723699999995,111849.35750000001,111865.99625,670.094,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_0_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,0,Guizhou,C11,26717.464666598193,26717.464666598247,110805.0984665982,110752.82685766529,663.7004900701643,1.6470380614919122e-11,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,C00,29021.14112288454,29021.14112288454,117449.8775481384,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,C10,21761.70426909581,21761.70426909605,110190.44069434966,104852.61084070244,618.6114305704431,3.518696445325986e-11,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,C01,26268.787155556598,26268.787155556573,114697.52358081045,111865.99625,712.4660000000001,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,C11,20377.2614818372,20377.261481837493,108805.99790709105,104643.89673805377,632.0343028649875,5.658185031620633e-11,0.0,0.0
Earth_ft_llama_8b_dolly_6_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,6,Gansu,C00,28317.544374999998,28317.544374999998,112052.640625,111865.99625,657.02,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,6,Gansu,C10,21003.858418685977,21003.858418686195,104738.95466868597,104772.83621757507,618.6114305704431,3.518696445325986e-11,0.0,0.0
Earth_ft_llama_8b_dolly_6_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,6,Gansu,C01,26538.317000000003,26538.317,110273.41324999998,111865.99625000001,710.39825,0.0,0.0,0.0
