run,cluster,start,workload,slack,tariff,status,jobs,runtime_s,total_saving,mode_shapley,start_shapley,interaction_saving,mode_share_pct,mode_first,mode_last,start_first,start_last,optimal_mode_share_lower_pct,optimal_mode_share_upper_pct
Earth_ft_llama_8b_dolly_0_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,0,Jiangsu,constructed_pending_independent_verification,774,1.09486985206604,1351.9189598855737,540.2789134704308,811.6400464151429,1080.5578269408652,39.96385356679663,0.0,1080.5578269408616,271.36113294471215,1351.9189598855737,39.96385356679628,39.963853566796814
Earth_ft_llama_8b_dolly_0_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,0,Gansu,constructed_pending_independent_verification,774,0.24901700019836426,1186.3320194132903,531.0328847066448,655.2991347066454,1062.0657694132897,44.76258551710265,0.0,1062.0657694132897,124.26625000000058,1186.3320194132903,44.76258551710259,44.76258551710295
Earth_ft_llama_8b_dolly_0_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,0,Guizhou,constructed_pending_independent_verification,774,0.24544906616210938,1273.8565334017549,522.1295167008793,751.7270167008755,1044.2590334017586,40.988094264160566,0.0,1044.2590334017586,229.59749999999622,1273.8565334017549,40.98809426416015,40.98809426416086
Earth_ft_llama_8b_dolly_6_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,6,Jiangsu,constructed_pending_independent_verification,774,0.6301860809326172,8643.879641047039,6575.481263753785,2068.3983772932534,-1367.9111800693863,76.07094888884053,7259.43685378848,5891.52567371909,2752.3539673279483,1384.4427872585584,76.07094888884052,76.07094888884053
Earth_ft_llama_8b_dolly_6_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,6,Gansu,constructed_pending_independent_verification,774,0.6570909023284912,8211.162116458621,6872.810348886216,1338.3517675724052,-881.7512148551796,83.70082396875608,7313.685956313802,6431.934741458626,1779.227374999995,897.476160144819,83.70082396875604,83.70082396875604
Earth_ft_llama_8b_dolly_6_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,6,Guizhou,constructed_pending_independent_verification,774,0.6537511348724365,8494.85882984864,6384.042321104631,2110.8165087440084,-1481.501082511957,75.15183535096347,7124.792862360609,5643.291779848652,2851.567049999987,1370.0659674880299,75.15183535096345,75.15183535096345
Earth_ft_llama_8b_dolly_24_Jiangsu,Earth,2020-04-06,ft_llama_8b_dolly,24,Jiangsu,constructed_pending_independent_verification,774,0.7864828109741211,12029.766606349243,8981.65548967353,3048.1111166757128,-2012.6617652383138,74.66192639957839,9987.986372292686,7975.324607054372,4054.4419992948715,2041.7802340565577,74.60436206963709,74.66192639957838
Earth_ft_llama_8b_dolly_24_Gansu,Earth,2020-04-06,ft_llama_8b_dolly,24,Gansu,constructed_pending_independent_verification,774,0.7155358791351318,11520.602106174985,9007.715418066462,2512.8866881085232,-1796.6658737829348,78.18788753444034,9906.04835495793,8109.382481174991,3411.2196249999943,1614.5537512170558,77.83472303061193,78.18788753444032
Earth_ft_llama_8b_dolly_24_Guizhou,Earth,2020-04-06,ft_llama_8b_dolly,24,Guizhou,constructed_pending_independent_verification,774,0.7726490497589111,11852.060697196426,8667.566019139995,3184.4946780564314,-2250.9277438870886,73.13129961602614,9793.029891083537,7542.102147196452,4309.958549999974,2059.030806112889,73.13075793807123,73.13129961602614
Earth_infer_llama_8b_32g_0_Jiangsu,Earth,2020-04-06,infer_llama_8b_32g,0,Jiangsu,constructed_pending_independent_verification,774,0.24512887001037598,1388.7144548444994,558.6766609498936,830.0377938946058,1117.353321899791,40.22977214653182,0.0,1117.3533218997873,271.36113294471215,1388.7144548444994,40.22977214653167,40.22977214653203
Earth_infer_llama_8b_32g_0_Gansu,Earth,2020-04-06,infer_llama_8b_32g,0,Gansu,constructed_pending_independent_verification,774,0.24656319618225098,1242.3778434547348,559.0557967273671,683.3220467273677,1118.1115934547342,44.99885438819289,0.0,1118.1115934547342,124.26625000000058,1242.3778434547348,44.99885438819273,44.99885438819309
