active_gpus,gpu_cap_w,relative_reference_time_allowance,rounding_only_additional_time_margin_s,rounding_only_additional_energy_margin_j,nominal_energy_reduction_pct,rounding_only_energy_reduction_lower_pct,mean_candidate_passes_rounding_and_zero_overhead_screen,is_reference
1,260,0,0.000,0,0,0,True,True
1,230,0.025,0.317375,4240.000,1.731513546547158280708902020,1.727474586974678644910265030,True,False
1,210,0.05,1.20475,6190.000,2.525972703198207374210633530,2.521949927682372833017580310,True,False
1,200,0.1,16.4195,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,200,0.2,58.7690,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,200,0.5,185.8175,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
1,200,1,397.565,6840.000,2.790792422081890405377877370,2.786775041251604229053352070,True,False
2,260,0,0.000,0,0,0,True,True
2,230,0.025,0.110625,4260.000,2.341779094000219370406932100,2.336358899827241067266295550,True,False
2,210,0.05,1.16125,7260.000,3.987057145991005813315783700,3.981682068719664354073545950,True,False
2,180,0.1,0.3825,9890.000,5.429417571569595261599210270,5.424082046782022102174568790,True,False
2,180,0.2,23.2250,9890.000,5.429417571569595261599210270,5.424082046782022102174568790,True,False
2,180,0.5,91.7525,9890.000,5.429417571569595261599210270,5.424082046782022102174568790,True,False
2,180,1,205.965,9890.000,5.429417571569595261599210270,5.424082046782022102174568790,True,False
4,260,0,0.000,0,0,0,True,True
4,240,0.025,0.947375,3370.000,2.157125534494862467292105430,2.150812139005010052015189710,True,False
4,210,0.05,0.60475,9710.000,6.203331418724870763928776570,6.197147142355681781919137120,True,False
4,190,0.1,3.2695,13780.000,8.800816899610696279277554410,8.794715512014551488655582860,True,False
4,160,0.2,4.7590,17240.000,11.00899865977407620141681026,11.00296773781791492484921977,True,False
4,150,0.5,38.1675,18100.000,11.55785308571063884102367732,11.55183967833551392922104860,True,False
4,150,1,102.315,18100.000,11.55785308571063884102367732,11.55183967833551392922104860,True,False
8,260,0,0.000,0,0,0,True,True
8,230,0.025,0.498875,11850.000,6.579385332297792078109397540,6.574020138137638345676957640,True,False
8,200,0.05,0.86775,26550.000,14.73427271718628647509153445,14.72913372721977198968128485,True,False
8,170,0.1,0.5255,43980.000,24.40363918783978697437035393,24.39876841141715902471498710,True,False
8,160,0.2,6.8410,45770.000,25.39664928436702540774436924,25.39180605253668414191007184,True,False
8,160,0.5,32.5075,45770.000,25.39664928436702540774436924,25.39180605253668414191007184,True,False
8,160,1,75.285,45770.000,25.39664928436702540774436924,25.39180605253668414191007184,True,False
