run,province,ai_share,workload,mapping,node_idle,gpu_idle,active_overhead,C00,C10,C01,C11,total_reduction_pct,mode_first_share_pct,symmetric_mode_share_pct,interaction_eur_per_week,grid_first_share_pct,new_gas_S0_MW,new_gas_S0e_MW,new_gas_S2_MW,ai_mwh_S0,ai_mwh_S0e,ai_mwh_S2,modes_kept
Jiangsu_ai0.2_ft_llama_8b_dolly_legacy_I0.41_g0.1_d0,Jiangsu,0.2,ft_llama_8b_dolly,legacy,0.41,0.1,0.0,143692753.7428711,119507250.20549613,139660352.74738568,115139140.43015689,19.87129661653577,84.7020770103578,85.28993392390704,335708.7798538208,14.1222091625437,9379.635965061905,6209.640726175347,477.9964693869705,3584058.717337718,3109499.591521763,3116005.644183489,5
Jiangsu_ai0.2_ft_llama_8b_dolly_component_I0.41_g0.1_d0,Jiangsu,0.2,ft_llama_8b_dolly,component,0.41,0.1,0.0,143692753.7428711,129613392.166439,139660352.74738568,125998972.91278607,12.313620811907409,79.57237467581112,78.39122027515924,-417981.74183249474,22.78993412549264,9379.635965061905,6793.809012132241,2434.67334363264,3584058.717337718,3324879.386555773,3330267.7427357207,6
Jiangsu_ai0.2_ft_llama_8b_p3_legacy_I0.41_g0.1_d0,Jiangsu,0.2,ft_llama_8b_p3,legacy,0.41,0.1,0.0,143692753.7428711,122676732.96160465,139660352.74738568,117335800.59859282,18.34257640537835,79.7361541230676,82.21848081759012,1308531.367526412,15.299192487887398,9379.635965061905,7479.543972415607,1069.4457841053709,3584058.717337718,3149138.6953448635,3151542.563152875,5
Jiangsu_ai0.2_ft_llama_8b_p3_component_I0.41_g0.1_d0,Jiangsu,0.2,ft_llama_8b_p3,component,0.41,0.1,0.0,143692753.7428711,131844978.48680395,139660352.74738568,127740007.61732072,11.101983718745343,74.26793583263643,74.49538843993886,72569.8739978075,25.27715895275869,9379.635965061905,7840.333921135264,2814.360278996395,3584058.717337718,3356675.6967523247,3358466.6855092985,6
Jiangsu_ai0.2_infer_llama_8b_legacy_I0.41_g0.1_d0,Jiangsu,0.2,infer_llama_8b,legacy,0.41,0.1,0.0,143692753.7428711,118174609.14302903,139660352.74738568,113922129.06179708,20.718250507152664,85.71585202934835,86.08547659736496,220079.08574652672,13.54489883461844,9379.635965061905,4814.920550125735,660.7205952474176,3584058.717337718,3068846.520115761,3083737.323793409,5
Jiangsu_ai0.2_infer_llama_8b_component_I0.41_g0.1_d0,Jiangsu,0.2,infer_llama_8b,component,0.41,0.1,0.0,143692753.7428711,128986165.39942306,139660352.74738568,125447778.67383319,12.697213042270814,80.60623973340154,79.25240321669972,-494014.2698955536,22.10143330000209,9379.635965061912,5676.389945995701,2411.9766677134776,3584058.717337718,3304824.23987815,3314843.2317949734,6
Jiangsu_ai0.2_infer_llama_8b_32g_legacy_I0.41_g0.1_d0,Jiangsu,0.2,infer_llama_8b_32g,legacy,0.41,0.1,0.0,143692753.7428711,118161015.83865076,139660352.74738568,113909721.47556347,20.726885310168424,85.725783980183,86.09326396952267,218893.3676018715,13.53925604113765,9379.635965061905,4812.759317020544,657.9560668291102,3584058.717337718,3068562.6693699234,3083487.6937876404,5
Jiangsu_ai0.2_infer_llama_8b_32g_component_I0.41_g0.1_d0,Jiangsu,0.2,infer_llama_8b_32g,component,0.41,0.1,0.0,143692753.7428711,128976970.57722765,139660352.74738568,125439165.15033025,12.703207445800974,80.61857585448654,79.26378590159439,-494595.5685880184,22.091004051297748,9379.635965061912,5674.973137626735,2410.9630045971676,3584058.717337718,3304638.159944768,3314678.1040645675,6
Jiangsu_ai0.2_infer_llama_8b_48g_legacy_I0.41_g0.1_d0,Jiangsu,0.2,infer_llama_8b_48g,legacy,0.41,0.1,0.0,143692753.7428711,118161015.83865076,139660352.74738568,113909721.47556335,20.726885310168505,85.72578398018264,86.09326396952251,218893.3676019907,13.539256041137595,9379.635965061905,4812.75931702054,657.9560668291236,3584058.717337718,3068562.669369924,3083487.6937876404,5
Jiangsu_ai0.2_infer_llama_8b_48g_component_I0.41_g0.1_d0,Jiangsu,0.2,infer_llama_8b_48g,component,0.41,0.1,0.0,143692753.7428711,128976970.57722765,139660352.74738568,125439165.15033025,12.703207445800974,80.61857585448654,79.26378590159439,-494595.5685880184,22.091004051297748,9379.635965061912,5674.9731376267355,2410.9630045971694,3584058.717337718,3304638.1599447676,3314678.104064567,6
Jiangsu_ai0.2_pt_mpt_13b_lg_legacy_I0.41_g0.1_d0,Jiangsu,0.2,pt_mpt_13b_lg,legacy,0.41,0.1,0.0,143692753.7428711,125843536.538984,139660352.74738568,120768316.39012104,15.953788034274757,77.86109176522876,80.13556231674359,1042819.153377533,17.589967131741577,9379.635965061905,7315.960731683671,2886.552979774964,3584058.717337718,3192862.2243188145,3193266.546545188,5
Jiangsu_ai0.2_pt_mpt_13b_lg_component_I0.41_g0.1_d0,Jiangsu,0.2,pt_mpt_13b_lg,component,0.41,0.1,0.0,143692753.7428711,136012327.9155782,139660352.74738568,131906922.65139765,8.202105384216829,65.16660359106432,65.47631560088573,73004.26869511604,34.21397238929288,9379.635965061905,7315.960731683673,3925.129648196517,3584058.717337718,3429894.113516097,3432191.348587078,6
Jiangsu_ai0.2_pt_mpt_13b_sm_legacy_I0.41_g0.1_d0,Jiangsu,0.2,pt_mpt_13b_sm,legacy,0.41,0.1,0.0,143692753.7428711,125595427.52457231,139660352.74738568,120401590.54510683,16.209003301197992,77.70039677552883,80.19369428522887,1161435.9839800596,17.31300820507108,9379.635965061905,7315.960731683673,2866.221881952218,3584058.717337718,3188285.5530603486,3189529.5001232545,5
Jiangsu_ai0.2_pt_mpt_13b_sm_component_I0.41_g0.1_d0,Jiangsu,0.2,pt_mpt_13b_sm,component,0.41,0.1,0.0,143692753.7428711,135667246.54575533,139660352.74738568,131567376.06368738,8.438405809162305,66.18768841232544,66.46590443316883,67469.48658251762,33.25587954598776,9379.635965061905,7315.960731683675,3935.545579417156,3584058.717337718,3422718.5882196375,3426521.522460771,6
Jiangsu_ai0.2_pt_mpt_7b_fast_legacy_I0.41_g0.1_d0,Jiangsu,0.2,pt_mpt_7b_fast,legacy,0.41,0.1,0.0,143692753.7428711,125041551.98049766,139660352.74738568,119707435.34014863,16.692086259020865,77.76090960817274,80.47447718106736,1301715.6448636055,16.811955246038025,9379.635965061905,7315.960731683676,2634.4976160760434,3584058.717337718,3175386.770611032,3177342.5685764975,5
Jiangsu_ai0.2_pt_mpt_7b_fast_component_I0.41_g0.1_d0,Jiangsu,0.2,pt_mpt_7b_fast,component,0.41,0.1,0.0,143692753.7428711,135443300.91602546,139660352.74738568,131207580.29570955,8.688798232305412,66.07399458051678,66.88823887472283,203319.6248304844,32.297516831071114,9379.635965061905,7315.960731683675,3722.5367041598024,3584058.717337718,3417861.826384578,3421367.0591772567,6
Jiangsu_ai0.2_ft_llama_8b_dolly_component_I0.41_g0_d0,Jiangsu,0.2,ft_llama_8b_dolly,component,0.41,0.0,0.0,143692753.7428711,131571598.23128384,139660352.74738568,128150346.37515885,10.816416947179112,77.98763231986639,76.02156256985448,-611149.1393604279,25.944507180157434,9379.635965061905,6846.024184087382,2813.8125171078964,3584058.717337718,3365871.0249654725,3371057.822696405,6
Jiangsu_ai0.2_ft_llama_8b_dolly_component_I0.41_g0.2_d0,Jiangsu,0.2,ft_llama_8b_dolly,component,0.41,0.2,0.0,143692753.7428711,126508924.26346081,139660352.74738568,122838594.38658792,14.513020881763014,82.40001040479699,81.5319075183974,-362071.11861252785,19.33619536800219,9379.635965061905,6728.540047188319,1956.1710580729575,3584058.717337718,3258257.7302155606,3266134.89533733,6
Jiangsu_ai0.2_ft_llama_8b_dolly_component_I0.41_g0.1_d0.1,Jiangsu,0.2,ft_llama_8b_dolly,component,0.41,0.1,0.1,143692753.7428711,132946439.0914672,139660352.74738568,129657256.82399839,9.76771378742475,76.56525959514808,73.9176200697628,-743218.7280166149,28.730019455622482,9379.635965061905,6882.309303581657,3123.5475947655623,3584058.717337718,3394356.7397925514,3399556.7669688636,6
Jiangsu_ai0.2_ft_llama_8b_dolly_component_I0.25_g0.1_d0,Jiangsu,0.2,ft_llama_8b_dolly,component,0.25,0.1,0.0,135820435.7702858,118239437.10305077,131137296.8544429,114166369.5277949,15.94315768439632,81.19028763630797,79.78161146954281,-610071.3405870199,21.62706469722236,9345.350924525932,6587.65579803279,1668.543528864322,3372597.9086767985,3043132.65761236,3048908.75874132,6
