run,cluster,start,slack_h,status,cohort_jobs,cohort_gpu_hours,coverage_of_observed_allocation,cohort_incremental_gpu_energy_saving_pct,all_gpu_energy_saving_pct,deadline_violation_h,max_job_excess_gpu_h,max_pool_excess_gpu_h,variables,runtime_s
Earth_2020-04-06_slack0_pilot,Earth,2020-04-06,0.0,optimal,774,31102.74833333333,0.29174265751079703,4.535985583842314,1.1350496174755875,0.0,0.0,0.0,139782,5.981560945510864
Earth_2020-04-06_slack6_pilot,Earth,2020-04-06,6.0,solver_unresolved,774,31102.74833333333,0.29174265751079703,,,,,,1615932,121.60661602020264
Earth_2020-04-06_slack24_pilot,Earth,2020-04-06,24.0,solver_unresolved,774,31102.74833333333,0.29174265751079703,,,,,,3953790,122.49006795883179
Venus_2020-04-06_slack0_pilot,Venus,2020-04-06,0.0,solver_unresolved,2332,45150.48222222223,0.3729650375582956,,,,,,1101030,121.05564284324646
Venus_2020-04-06_slack6_pilot,Venus,2020-04-06,6.0,resource_limit,2332,45150.48222222223,0.3729650375582956,,,,,,9621312,0.44986510276794434
Venus_2020-04-06_slack24_clockfixed,Venus,2020-04-06,24.0,resource_limit,2332,45150.48222222223,0.3729650375582956,,,,,,23081826,0.3142077922821045
Saturn_2020-04-06_slack0_pilot,Saturn,2020-04-06,0.0,resource_limit,14089,130376.4288888889,0.36297048753686295,,,,,,12330510,6.392251968383789
Saturn_2020-04-06_slack6_clockfixed,Saturn,2020-04-06,6.0,resource_limit,14089,130376.4288888889,0.36297048753686295,,,,,,228205698,2.0992820262908936
Saturn_2020-04-06_slack24_clockfixed,Saturn,2020-04-06,24.0,resource_limit,14089,130376.4288888889,0.36297048753686295,,,,,,711834318,2.2166566848754883
Uranus_2020-04-06_slack0_pilot,Uranus,2020-04-06,0.0,solver_unresolved,11521,104900.52944444444,0.31619734326528925,,,,,,4406124,124.0061309337616
Uranus_2020-04-06_slack6_clockfixed,Uranus,2020-04-06,6.0,resource_limit,11521,104900.52944444444,0.31619734326528925,,,,,,119785266,0.862048864364624
Uranus_2020-04-06_slack24_clockfixed,Uranus,2020-04-06,24.0,resource_limit,11521,104900.52944444444,0.31619734326528925,,,,,,353341392,0.9648818969726562
