case,shape,replicas,policy,cost,capacity_mw,balance_error_mw,capacity_error_mw,cost_error
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1,C00,63460199.60487077,65422.91492291321,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1,C10,63460187.96204184,65422.900055962265,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1,C01,63460199.78661044,65422.933096879875,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1,C11,63460187.686754555,65422.906733156924,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Jiangsu,0.5,1,C00,63506837.99686053,70086.7541218825,0.0,0.0,5.960464477539063e-08
Earth_ft_llama_8b_dolly_6_Jiangsu,0.5,1,C10,63506826.50270105,70086.7541218825,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,0.5,1,C01,63506837.99686045,70086.7541218825,0.0,0.0,1.4901161193847656e-08
Earth_ft_llama_8b_dolly_6_Jiangsu,0.5,1,C11,63506826.16064184,70086.7541218825,0.0,0.0,1.4901161193847656e-08
Earth_ft_llama_8b_dolly_6_Jiangsu,1.0,1,C00,63553476.739177436,74750.62835357682,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Jiangsu,1.0,1,C10,63553465.245018035,74750.62835357682,0.0,0.0,2.9802322387695312e-08
Earth_ft_llama_8b_dolly_6_Jiangsu,1.0,1,C01,63553476.73917742,74750.62835357682,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Jiangsu,1.0,1,C11,63553464.90295876,74750.62835357682,0.0,0.0,1.4901161193847656e-08
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1000,C00,63783900.63922108,65785.3309219132,0.0,0.0,7.450580596923828e-09
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1000,C10,63772257.81029087,65770.46397097132,0.0,0.0,0.0
Earth_ft_llama_8b_dolly_6_Jiangsu,0.0,1000,C01,63784082.378887765,65803.50488857988,0.0,0.0,7.450580596923828e-09
