year,cumulative_quarter,gross_mwh,export_mwh,rounding_halfwidth_mwh,source_file,source_page,source_header_page,disclosure_year
2023,1,207000.00,201000.00,500,2023q1.pdf,5,4,2023
2022,1,219000.00,214000.00,500,2023q1.pdf,5,4,2023
2023,2,424000.00,412000.00,500,2023h1.pdf,13,12,2023
2022,2,455000.00,444000.00,500,2023h1.pdf,13,12,2023
2023,3,601000.00,582000.00,500,2023q3.pdf,4,4,2023
2022,3,658000.00,641000.00,500,2023q3.pdf,4,4,2023
2024,1,334000.00,318000.00,500,2024q1.pdf,4,4,2024
2023,1,207000.00,201000.00,500,2024q1.pdf,4,4,2024
2024,2,520000.00,493000.00,500,2024h1.pdf,13,13,2024
2023,2,424000.00,412000.00,500,2024h1.pdf,13,13,2024
2024,3,750000.00,713000.00,500,2024q3.pdf,5,5,2024
2023,3,601000.00,582000.00,500,2024q3.pdf,5,5,2024
