time,hours,capacity_known_hours,reported_gpu_hours,all_gpu_hours,completed_gpu_hours,max_concurrent_gpus,full_week,capacity_coverage_complete,allocation_utilization,completed_allocation_utilization
2020-03-30,120,120,94080.0,69969.38194444444,36571.3325,635.0,False,True,0.7437221720285335,0.38872589817176867
2020-04-06,168,168,138624.0,94507.80472222222,52185.41611111111,643.0,True,True,0.6817564398821432,0.3764529670988509
2020-04-13,168,168,143040.0,91167.0725,62228.014444444445,640.0,True,True,0.6373536947706935,0.4350392508699975
2020-04-20,168,168,143808.0,103597.03027777778,56830.59305555555,764.0,True,True,0.7203843338185483,0.39518380796308655
2020-04-27,168,168,143808.0,96091.475,55639.55027777778,687.0,True,True,0.6681928335002225,0.3869016346641201
2020-05-04,168,168,143424.0,77774.56222222222,26349.220555555556,840.0,True,True,0.5422702073727006,0.18371556054464772
2020-05-11,168,168,143808.0,97562.69,51590.237222222226,832.0,True,True,0.678423244882065,0.3587438614139841
2020-05-18,168,168,143808.0,112950.45194444444,66474.81916666667,758.0,True,True,0.7854253723328636,0.4622470180147604
2020-05-25,168,168,143808.0,99696.99444444444,51162.52861111111,743.0,True,True,0.6932645919868466,0.3557696971733917
2020-06-01,168,168,143808.0,90237.05277777778,47582.81694444444,643.0,True,True,0.6274828436371953,0.33087739864572513
2020-06-08,168,168,143808.0,99289.93972222222,45263.13972222222,726.0,True,True,0.6904340490252435,0.314747021877936
2020-06-15,168,168,143808.0,103365.14916666667,43182.63555555556,718.0,True,True,0.7187718984108441,0.3002797866290857
2020-06-22,168,168,142464.0,100228.96555555555,50371.72666666667,703.0,True,True,0.7035388979360088,0.3535751254118
2020-06-29,168,168,181632.0,114290.61333333333,51718.28805555555,917.0,True,True,0.6292427178764388,0.2847421602776799
2020-07-06,168,168,188160.0,141417.0061111111,62733.02916666667,965.0,True,True,0.7515784763558201,0.3334025784793084
2020-07-13,168,168,188160.0,147129.82083333333,79718.89583333333,999.0,True,True,0.781939949156746,0.42367610455640586
2020-07-20,168,168,188160.0,142730.62972222222,82833.76333333334,1001.0,True,True,0.7585598943570484,0.44023045989229026
2020-07-27,168,168,188160.0,137789.58833333335,74659.60083333333,990.0,True,True,0.732300108064059,0.3967878445649093
2020-08-03,168,168,188160.0,132551.6277777778,66695.71138888889,975.0,True,True,0.7044623074924414,0.3544627518542139
2020-08-10,168,168,188160.0,149215.5327777778,54893.1275,1010.0,True,True,0.7930247277730537,0.291736434417517
2020-08-17,168,168,188160.0,149913.74777777778,70517.07,1038.0,True,True,0.796735479261149,0.37477184311224493
2020-08-24,168,168,190464.0,151046.59472222222,69980.83277777777,1009.0,True,True,0.7930453771958071,0.3674228871481108
2020-08-31,168,168,199680.0,158279.08222222223,76327.83305555556,1100.0,True,True,0.7926636729878918,0.3822507665041845
2020-09-07,168,168,200832.0,145949.22916666666,75849.40388888889,1051.0,True,True,0.7267229782438389,0.37767588775139865
2020-09-14,168,168,200064.0,155804.24583333332,86721.44916666667,1060.0,True,True,0.7787720221195883,0.43346853590184475
2020-09-21,168,168,202944.0,159204.11527777778,57175.20777777778,1089.0,True,True,0.7844731318875048,0.28172898818283754
2020-09-28,24,24,28992.0,15045.603888888889,7088.376666666667,1005.0,False,True,0.5189570877790042,0.2444942282928624
