time,hours,capacity_known_hours,reported_gpu_hours,all_gpu_hours,completed_gpu_hours,max_concurrent_gpus,full_week,capacity_coverage_complete,allocation_utilization,completed_allocation_utilization
2020-03-30,120,120,248640.0,222609.14027777777,134507.14194444445,1985.0,False,True,0.8953070313617189,0.540971452479265
2020-04-06,168,168,348096.0,314526.85583333333,178043.8175,2027.0,True,True,0.9035635452097506,0.5114790675560765
2020-04-13,168,168,348096.0,306760.3094444444,167873.80416666667,2031.0,True,True,0.8812520380712344,0.4822629509292456
2020-04-20,168,168,348096.0,311337.6411111111,172618.17027777777,2016.0,True,True,0.894401662504341,0.4958924270252395
2020-04-27,168,168,348096.0,305701.9947222222,175265.39138888888,2029.0,True,True,0.8782117425141979,0.5034972863488488
2020-05-04,168,168,348096.0,271323.43361111113,119891.9325,1955.0,True,True,0.7794500184176524,0.3444220344387755
2020-05-11,168,168,348096.0,297566.0158333333,113976.96722222223,1914.0,True,True,0.8548389405030029,0.32742969532032035
2020-05-18,168,168,348096.0,309197.82722222223,124453.39194444445,2000.0,True,True,0.8882544677968786,0.3575260616164634
2020-05-25,168,168,348096.0,302972.805,148580.69305555554,1968.0,True,True,0.8703714061638168,0.4268382660402749
2020-06-01,168,168,348096.0,295370.47805555555,109614.8111111111,1942.0,True,True,0.8485316638385835,0.31489822092500663
2020-06-08,168,168,348096.0,291084.30555555556,144995.2411111111,1936.0,True,True,0.836218472937223,0.4165380846407632
2020-06-15,168,168,346944.0,276001.61083333334,159486.44944444444,1865.0,True,True,0.7955220751283588,0.4596893142537252
2020-06-22,168,168,347712.0,274435.44833333336,168180.755,1856.0,True,True,0.7892607914979447,0.48367831711301307
2020-06-29,168,168,348096.0,277576.1819444444,149762.83111111113,1902.0,True,True,0.7974127308111683,0.43023427764499195
2020-07-06,168,168,348096.0,273039.79,148300.64027777777,1911.0,True,True,0.7843807168137524,0.4260337386174439
2020-07-13,168,168,348096.0,288331.45805555553,193251.83388888888,1934.0,True,True,0.8283101732153071,0.5551682118981226
2020-07-20,168,168,348096.0,270912.04277777777,150007.99027777778,1833.0,True,True,0.7782681868730975,0.4309385637231619
2020-07-27,168,168,353472.0,286822.1666666667,165825.83416666667,1920.0,True,True,0.8114423961916833,0.46913428550681996
2020-08-03,168,168,353472.0,294587.5544444444,91557.6375,1966.0,True,True,0.8334112870169191,0.2590237345532319
2020-08-10,168,168,352704.0,273717.85805555555,117700.31805555556,2072.0,True,True,0.7760554404133652,0.33370848659373176
2020-08-17,168,168,353472.0,295149.7263888889,167124.4388888889,1967.0,True,True,0.8350017155217072,0.4728081400758445
2020-08-24,168,168,353472.0,292026.33805555553,151711.71777777778,1920.0,True,True,0.8261654050548715,0.4292043437041061
2020-08-31,168,168,352128.0,301015.9763888889,168007.59444444443,2004.0,True,True,0.8548481699520881,0.47712080392483536
2020-09-07,168,168,352128.0,303440.65027777775,176165.52,1941.0,True,True,0.8617339441276404,0.5002883042529989
2020-09-14,168,168,350976.0,313246.4633333333,182319.29888888888,1979.0,True,True,0.8925010921924386,0.5194637208495421
2020-09-21,168,168,350784.0,308139.73916666664,161449.69083333333,2034.0,True,True,0.8784315680494739,0.4602538623008271
2020-09-28,24,24,50112.0,32828.759722222225,18223.32638888889,1811.0,False,True,0.6551077530775508,0.36365194741556695
