time,hours,capacity_known_hours,reported_gpu_hours,all_gpu_hours,completed_gpu_hours,max_concurrent_gpus,full_week,capacity_coverage_complete,allocation_utilization,completed_allocation_utilization
2020-03-30,120,120,256320.0,212947.4425,100105.04277777778,1953.0,False,True,0.8307874629369538,0.39054713942641145
2020-04-06,168,168,358848.0,292747.65805555554,146345.27416666667,1956.0,True,True,0.8157984942247289,0.40781967341790026
2020-04-13,168,168,358848.0,297395.25083333335,148153.87722222222,1972.0,True,True,0.82874991872139,0.41285969887590906
2020-04-20,168,168,358848.0,290192.8627777778,168175.82111111112,1991.0,True,True,0.8086790584809662,0.4686547538543091
2020-04-27,168,168,358848.0,277008.54277777777,154748.04444444444,1923.0,True,True,0.7719383771897231,0.4312356330380675
2020-05-04,168,168,358848.0,277189.84222222224,131670.41916666666,1903.0,True,True,0.772443603481759,0.3669253253931098
2020-05-11,168,168,358848.0,295111.01,149821.53861111111,1945.0,True,True,0.8223844357499555,0.4175069628675961
2020-05-18,168,168,358848.0,291360.00638888887,162338.04694444445,1929.0,True,True,0.8119315319825912,0.45238665659121535
2020-05-25,168,168,358848.0,291866.8886111111,140187.67,1973.0,True,True,0.8133440582394527,0.3906603074282148
2020-06-01,168,168,358848.0,260279.16944444444,134611.80833333332,1950.0,True,True,0.7253187127821374,0.3751220804723262
2020-06-08,168,168,358848.0,279720.5655555556,123264.90666666666,1952.0,True,True,0.7794959580534253,0.3435017240354319
2020-06-15,168,168,358848.0,279028.4038888889,137251.45666666667,1902.0,True,True,0.7775671144576224,0.38247797581891685
2020-06-22,168,168,354816.0,283278.265,143409.81666666668,1921.0,True,True,0.7983807522772367,0.40418080545033674
2020-06-29,168,168,354816.0,280705.7652777778,148028.11583333334,1980.0,True,True,0.7911305163176908,0.41719684521930617
2020-07-06,168,168,354816.0,274865.5208333333,142921.5725,1885.0,True,True,0.774670592175475,0.40280475654987374
2020-07-13,168,168,354816.0,268709.3622222222,166154.05166666667,1827.0,True,True,0.7573203074895782,0.46828229749128186
2020-07-20,168,168,354816.0,272750.84944444447,131064.49888888889,1852.0,True,True,0.7687106822816459,0.3693872285604056
2020-07-27,168,168,354816.0,170716.0288888889,75902.64472222222,1884.0,True,True,0.4811396016213725,0.21392114426131353
2020-08-03,168,168,354816.0,266716.22305555554,127229.46583333334,1982.0,True,True,0.7517029194161355,0.3585787163863336
2020-08-10,168,168,357120.0,292067.6719444444,146021.22833333333,2008.0,True,True,0.817841823321137,0.4088856080122461
2020-08-17,168,168,366528.0,304981.1747222222,173518.46972222222,2021.0,True,True,0.8320815182529635,0.47341122566958654
2020-08-24,168,168,351168.0,295797.25638888887,179372.80916666667,2038.0,True,True,0.8423240625253123,0.5107891640658223
2020-08-31,168,168,350400.0,266214.96222222224,132837.74083333334,1840.0,True,True,0.7597458967529174,0.3791031416476408
2020-09-07,168,168,348096.0,299088.70472222223,138384.55194444445,1937.0,True,True,0.8592132765737677,0.3975470902982064
2020-09-14,168,168,348096.0,297398.06166666665,168632.47722222222,1952.0,True,True,0.8543564466890359,0.4844424446768197
2020-09-21,168,168,348096.0,293849.56916666665,152123.95333333334,1940.0,True,True,0.8441624412997181,0.4370172404547405
2020-09-28,24,24,49728.0,24241.22638888889,12087.81,1750.0,False,True,0.4874763993904619,0.24307854729729728
