case,season,utilization,slack_base_h,boundary,service_horizon,strict_feasible,maximum_feasible_arrival_utilization,fixed_work,critical_density,critical_start,critical_end,edf_unfinished_work,edf_missed_batches,historical_guard_extended,historical_guard_final_work,boundary_raw_gpu_hour_clipping_share
winter_u0.3_slack6_historical_clip,winter,0.3,6.0,historical_clip,168,False,0.2837250131440463,50.4,1.0573618331200532,141,168,1.5487694942414367,10,0,49.93350417458747,0.0
winter_u0.5_slack6_historical_clip,winter,0.5,6.0,historical_clip,168,False,0.2837250131440463,84.0,1.7622697218667553,141,168,20.58128249040241,11,1,83.65821845189053,0.0
winter_u0.7_slack6_historical_clip,winter,0.7,6.0,historical_clip,168,False,0.2837250131440463,117.6,2.467177610613458,141,168,39.613795486563355,11,27,116.45479266576069,0.0
winter_u0.9_slack6_historical_clip,winter,0.9,6.0,historical_clip,168,False,0.2837250131440463,151.20000000000002,3.17208549936016,141,168,63.35821558627972,13,119,143.62839343021554,0.0
winter_u0.3_slack6_full_tail,winter,0.3,6.0,full_tail,175,True,0.318087582762899,50.4,0.9431364701325627,141,171,0.0,0,0,49.93350417458747,0.0
winter_u0.5_slack6_full_tail,winter,0.5,6.0,full_tail,175,False,0.318087582762899,84.0,1.5718941168876046,141,171,17.156823506628143,2,1,83.65821845189053,0.0
winter_u0.7_slack6_full_tail,winter,0.7,6.0,full_tail,175,False,0.318087582762899,117.6,2.2006517636426466,141,171,36.0195529092794,2,27,116.45479266576069,0.0
winter_u0.9_slack6_full_tail,winter,0.9,6.0,full_tail,175,False,0.318087582762899,151.20000000000002,2.8294094103976883,141,171,59.59418941548605,4,119,143.62839343021554,0.0
winter_u0.3_slack24_historical_clip,winter,0.3,24.0,historical_clip,168,False,0.2837250131440463,50.4,1.0573618331200532,141,168,1.5487694942414376,14,0,49.93350417458747,0.0
winter_u0.5_slack24_historical_clip,winter,0.5,24.0,historical_clip,168,False,0.2837250131440463,84.0,1.7622697218667553,141,168,20.5812824904024,21,0,83.65821845189058,0.0
winter_u0.7_slack24_historical_clip,winter,0.7,24.0,historical_clip,168,False,0.2837250131440463,117.6,2.467177610613458,141,168,39.613795486563355,21,0,116.45479266576072,0.0
