province,technology_group,grid_lat,grid_lon,capacity_mw,unit_count,near_boundary_review_mw,assumed_pv_mw,known_pre2020_survivor_mw,unit_ids
Gansu,solar_pv,33.75,106.25,100.0,1,0.0,0.0,0.0,G100000831503
Gansu,solar_pv,34.0,101.75,50.0,1,0.0,0.0,0.0,G100000802785
Gansu,solar_pv,34.0,102.0,40.0,1,0.0,0.0,40.0,G100000803385
Gansu,solar_pv,34.25,102.25,50.0,1,0.0,0.0,0.0,G100001008751
Gansu,solar_pv,34.75,103.5,20.0,1,0.0,0.0,20.0,G100000831486
Gansu,solar_pv,34.75,106.25,30.0,1,0.0,0.0,30.0,G100000803386
Gansu,solar_pv,35.0,103.0,140.0,2,0.0,0.0,0.0,G100000802775;G100000831448
Gansu,solar_pv,35.0,104.75,20.0,1,0.0,0.0,0.0,G100000802789
Gansu,solar_pv,35.0,105.0,50.0,1,0.0,0.0,50.0,G100000803397
Gansu,solar_pv,35.25,103.5,20.0,1,0.0,0.0,0.0,G100000831475
Gansu,solar_pv,35.25,104.25,11.7,6,0.0,0.0,11.7,G100001016356;G100001016357;G100001016358;G100001016359;G100001016360;G100001016361
Gansu,solar_pv,35.25,105.0,100.0,1,0.0,0.0,0.0,G100000802788
Gansu,solar_pv,35.25,105.25,20.0,1,0.0,0.0,0.0,G100000830172
Gansu,solar_pv,35.25,106.0,14.5,1,0.0,0.0,14.5,G100001017589
Gansu,solar_pv,35.25,106.5,5.8,2,0.0,5.8,0.0,G100001035785;G100001035967
Gansu,solar_pv,35.25,107.5,135.0,3,0.0,0.0,15.0,G100000830678;G100001014242;G100001028224
Gansu,solar_pv,35.5,104.0,18.0,1,0.0,0.0,18.0,G100001014614
Gansu,solar_pv,35.5,106.75,1.1,1,0.0,0.0,1.1,G100001015100
Gansu,solar_pv,35.75,103.5,250.0,2,0.0,0.0,0.0,G100000831446;G100001030685
Gansu,solar_pv,35.75,103.75,99.0,3,0.0,0.0,36.0,G100000831489;G100000831490;G100000831491
Gansu,solar_pv,35.75,104.5,20.0,1,0.0,0.0,20.0,G100000803065
Gansu,solar_pv,35.75,107.25,20.0,1,0.0,0.0,20.0,G100000803371
Gansu,solar_pv,36.0,103.0,130.0,1,0.0,0.0,0.0,G100001021039
Gansu,solar_pv,36.0,103.25,35.6,1,0.0,0.0,35.6,G100000830197
Gansu,solar_pv,36.25,103.5,180.0,3,0.0,0.0,0.0,G100000831518;G100000831519;G100001000622
Gansu,solar_pv,36.5,104.0,100.0,1,0.0,0.0,0.0,G100001008727
Gansu,solar_pv,36.5,106.5,445.4,3,105.6,0.0,0.0,G100000830185;G100000830186;G100000830187
Gansu,solar_pv,36.5,107.0,1.0,1,0.0,0.0,1.0,G100001017156
Gansu,solar_pv,36.5,107.25,168.0,1,0.0,0.0,0.0,G100000830190
Gansu,solar_pv,36.5,108.0,30.2,5,0.0,0.0,30.2,G100001012889;G100001013549;G100001013550;G100001015824;G100001016719
Gansu,solar_pv,36.75,103.25,1.1,1,0.0,1.1,0.0,G100001036129
Gansu,solar_pv,36.75,103.5,350.0,2,0.0,0.0,50.0,G100000803789;G100000831525
Gansu,solar_pv,36.75,103.75,20.0,1,0.0,0.0,20.0,G100000803387
Gansu,solar_pv,36.75,104.0,100.0,1,0.0,0.0,0.0,G100000831443
Gansu,solar_pv,36.75,106.75,347.0,2,0.0,0.0,0.0,G100000830188;G100000830189
Gansu,solar_pv,37.0,104.0,23.400000000000002,3,0.0,0.0,23.400000000000002,G100001012635;G100001012992;G100001013014
Gansu,solar_pv,37.0,104.75,50.0,1,0.0,0.0,0.0,G100000811651
Gansu,solar_pv,37.0,105.25,100.0,1,0.0,0.0,100.0,G100000802269
Gansu,solar_pv,37.25,104.0,130.0,3,0.0,0.0,30.0,G100000802842;G100000811645;G100001022516
Gansu,solar_pv,37.5,103.25,27.2,6,0.0,0.0,27.2,G100001013025;G100001013133;G100001015114;G100001015156;G100001016114;G100001016646
Gansu,solar_pv,37.5,104.0,91.4,3,0.0,0.0,91.4,G100000802841;G100000803373;G100000830180
Gansu,solar_pv,37.75,102.75,70.0,1,0.0,0.0,0.0,G100000811680
Gansu,solar_pv,37.75,103.0,600.0,3,0.0,0.0,0.0,G100000811677;G100000830193;G100000831457
Gansu,solar_pv,37.75,103.25,820.0,5,0.0,0.0,170.0,G100000802321;G100000802322;G100000802323;G100000803388;G100000811624
Gansu,solar_pv,38.0,101.75,200.0,1,0.0,0.0,0.0,G100000811683
