province,technology,unit_id,preference,variable,unit,compared_hours,changed_hours,maximum_absolute_difference,mean_signed_difference
Gansu,wind_onshore,G100001000856,land,wind_speed_100m,m/s,8808,0,0.0,0.0
Gansu,wind_onshore,G100001000856,land,wind_speed_10m,m/s,8808,0,0.0,0.0
Gansu,wind_onshore,G100001000856,land,shortwave_radiation,W/m²,8808,0,0.0,0.0
Gansu,wind_onshore,G100001000856,land,direct_radiation,W/m²,8808,0,0.0,0.0
Gansu,wind_onshore,G100001000856,land,diffuse_radiation,W/m²,8808,0,0.0,0.0
Gansu,wind_onshore,G100001000856,land,temperature_2m,°C,8808,0,0.0,0.0
Gansu,wind_onshore,G100001000856,land,surface_pressure,hPa,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,wind_speed_100m,m/s,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,wind_speed_10m,m/s,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,shortwave_radiation,W/m²,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,direct_radiation,W/m²,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,diffuse_radiation,W/m²,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,temperature_2m,°C,8808,0,0.0,0.0
Guizhou,wind_onshore,G100000904160,land,surface_pressure,hPa,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,wind_speed_100m,m/s,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,wind_speed_10m,m/s,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,shortwave_radiation,W/m²,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,direct_radiation,W/m²,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,diffuse_radiation,W/m²,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,temperature_2m,°C,8808,0,0.0,0.0
Jiangsu,wind_onshore,G100000903041,land,surface_pressure,hPa,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,wind_speed_100m,m/s,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,wind_speed_10m,m/s,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,shortwave_radiation,W/m²,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,direct_radiation,W/m²,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,diffuse_radiation,W/m²,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,temperature_2m,°C,8808,0,0.0,0.0
Jiangsu,wind_offshore,G100000903073,sea,surface_pressure,hPa,8808,0,0.0,0.0
