weather_year,season,start_hour,reference_start,source_start,source_end,source_weekday,reference_weekday,same_month_day,source_year_hours,legacy_padded_hours
2015,winter,288,2020-01-13 00:00:00,2015-01-13 00:00:00,2015-01-19 23:00:00,Tuesday,Monday,True,8760,24
2015,spring,2472,2020-04-13 00:00:00,2015-04-14 00:00:00,2015-04-20 23:00:00,Tuesday,Monday,False,8760,24
2015,summer,4656,2020-07-13 00:00:00,2015-07-14 00:00:00,2015-07-20 23:00:00,Tuesday,Monday,False,8760,24
2015,autumn,6840,2020-10-12 00:00:00,2015-10-13 00:00:00,2015-10-19 23:00:00,Tuesday,Monday,False,8760,24
2016,winter,288,2020-01-13 00:00:00,2016-01-13 00:00:00,2016-01-19 23:00:00,Wednesday,Monday,True,8784,0
2016,spring,2472,2020-04-13 00:00:00,2016-04-13 00:00:00,2016-04-19 23:00:00,Wednesday,Monday,True,8784,0
2016,summer,4656,2020-07-13 00:00:00,2016-07-13 00:00:00,2016-07-19 23:00:00,Wednesday,Monday,True,8784,0
2016,autumn,6840,2020-10-12 00:00:00,2016-10-12 00:00:00,2016-10-18 23:00:00,Wednesday,Monday,True,8784,0
2017,winter,288,2020-01-13 00:00:00,2017-01-13 00:00:00,2017-01-19 23:00:00,Friday,Monday,True,8760,24
2017,spring,2472,2020-04-13 00:00:00,2017-04-14 00:00:00,2017-04-20 23:00:00,Friday,Monday,False,8760,24
2017,summer,4656,2020-07-13 00:00:00,2017-07-14 00:00:00,2017-07-20 23:00:00,Friday,Monday,False,8760,24
2017,autumn,6840,2020-10-12 00:00:00,2017-10-13 00:00:00,2017-10-19 23:00:00,Friday,Monday,False,8760,24
2018,winter,288,2020-01-13 00:00:00,2018-01-13 00:00:00,2018-01-19 23:00:00,Saturday,Monday,True,8760,24
2018,spring,2472,2020-04-13 00:00:00,2018-04-14 00:00:00,2018-04-20 23:00:00,Saturday,Monday,False,8760,24
2018,summer,4656,2020-07-13 00:00:00,2018-07-14 00:00:00,2018-07-20 23:00:00,Saturday,Monday,False,8760,24
2018,autumn,6840,2020-10-12 00:00:00,2018-10-13 00:00:00,2018-10-19 23:00:00,Saturday,Monday,False,8760,24
2019,winter,288,2020-01-13 00:00:00,2019-01-13 00:00:00,2019-01-19 23:00:00,Sunday,Monday,True,8760,24
2019,spring,2472,2020-04-13 00:00:00,2019-04-14 00:00:00,2019-04-20 23:00:00,Sunday,Monday,False,8760,24
2019,summer,4656,2020-07-13 00:00:00,2019-07-14 00:00:00,2019-07-20 23:00:00,Sunday,Monday,False,8760,24
2019,autumn,6840,2020-10-12 00:00:00,2019-10-13 00:00:00,2019-10-19 23:00:00,Sunday,Monday,False,8760,24
2020,winter,288,2020-01-13 00:00:00,2020-01-13 00:00:00,2020-01-19 23:00:00,Monday,Monday,True,8784,0
2020,spring,2472,2020-04-13 00:00:00,2020-04-13 00:00:00,2020-04-19 23:00:00,Monday,Monday,True,8784,0
2020,summer,4656,2020-07-13 00:00:00,2020-07-13 00:00:00,2020-07-19 23:00:00,Monday,Monday,True,8784,0
2020,autumn,6840,2020-10-12 00:00:00,2020-10-12 00:00:00,2020-10-18 23:00:00,Monday,Monday,True,8784,0
2021,winter,288,2020-01-13 00:00:00,2021-01-13 00:00:00,2021-01-19 23:00:00,Wednesday,Monday,True,8760,24
2021,spring,2472,2020-04-13 00:00:00,2021-04-14 00:00:00,2021-04-20 23:00:00,Wednesday,Monday,False,8760,24
2021,summer,4656,2020-07-13 00:00:00,2021-07-14 00:00:00,2021-07-20 23:00:00,Wednesday,Monday,False,8760,24
2021,autumn,6840,2020-10-12 00:00:00,2021-10-13 00:00:00,2021-10-19 23:00:00,Wednesday,Monday,False,8760,24
2022,winter,288,2020-01-13 00:00:00,2022-01-13 00:00:00,2022-01-19 23:00:00,Thursday,Monday,True,8760,24
2022,spring,2472,2020-04-13 00:00:00,2022-04-14 00:00:00,2022-04-20 23:00:00,Thursday,Monday,False,8760,24
2022,summer,4656,2020-07-13 00:00:00,2022-07-14 00:00:00,2022-07-20 23:00:00,Thursday,Monday,False,8760,24
2022,autumn,6840,2020-10-12 00:00:00,2022-10-13 00:00:00,2022-10-19 23:00:00,Thursday,Monday,False,8760,24
2023,winter,288,2020-01-13 00:00:00,2023-01-13 00:00:00,2023-01-19 23:00:00,Friday,Monday,True,8760,24
2023,spring,2472,2020-04-13 00:00:00,2023-04-14 00:00:00,2023-04-20 23:00:00,Friday,Monday,False,8760,24
2023,summer,4656,2020-07-13 00:00:00,2023-07-14 00:00:00,2023-07-20 23:00:00,Friday,Monday,False,8760,24
2023,autumn,6840,2020-10-12 00:00:00,2023-10-13 00:00:00,2023-10-19 23:00:00,Friday,Monday,False,8760,24
2024,winter,288,2020-01-13 00:00:00,2024-01-13 00:00:00,2024-01-19 23:00:00,Saturday,Monday,True,8784,0
2024,spring,2472,2020-04-13 00:00:00,2024-04-13 00:00:00,2024-04-19 23:00:00,Saturday,Monday,True,8784,0
2024,summer,4656,2020-07-13 00:00:00,2024-07-13 00:00:00,2024-07-19 23:00:00,Saturday,Monday,True,8784,0
2024,autumn,6840,2020-10-12 00:00:00,2024-10-12 00:00:00,2024-10-18 23:00:00,Saturday,Monday,True,8784,0
