site_csv_row,source_excel_row,unit_id,province,source_type,technology,technology_group,name,phase,mw,lat,lon,start_year,reported_start_year,status_at_source_release,known_start_after_2020,by2020_vintage_candidate,coordinate_available
2,52848,G100000831440,Gansu,solar,PV,solar,Gansu Akesai (Huidong New Energy) solar farm,PV,640,38.927,94.623,2024,2024,operating,True,False,True
3,53017,G100000811657,Gansu,solar,PV,solar,Gansu Jinta Huisheng solar farm,2,500,39.9849,98.971,2024,2024,operating,True,False,True
4,53224,G100000830194,Gansu,solar,PV,solar,Gansu Wuwei (Yili) solar farm,--,500,37.9275,102.6386,2022,2022,operating,True,False,True
5,53268,G100000831529,Gansu,solar,PV,solar,Gansu Yumen (China Nuclear Xin'ao) solar and wind complex with storage,Photovoltaic,400,40.225,97.772,2023,2023,operating,True,False,True
6,53097,G100000802323,Gansu,solar,PV,solar,Gansu Province Gulang Malutan Grid-Connected solar farm,3,350,37.7575,103.1271,,,operating,False,False,True
7,53203,G100000811669,Gansu,solar,PV,solar,Gansu Shandan Dongletan Photovoltaic Base China Power Construction solar power plant,--,300,38.8249,100.829,2023,2023,operating,True,False,True
8,53007,G100000831472,Gansu,solar,PV,solar,Gansu Jinta (China Power Construction) solar farm,--,300,39.965,98.984,2023,2023,operating,True,False,True
9,53226,G100000811677,Gansu,solar,PV,solar,Gansu Wuwei Gulang Jiayu solar power plant,1,300,37.739,103.103,2023,2023,operating,True,False,True
10,52962,G100000831468,Gansu,solar,PV,solar,Gansu Jinchuan Dongdatan solar farm,--,300,38.4659,102.3421,2023,2023,operating,True,False,True
11,53248,G100000831521,Gansu,solar,PV,solar,Gansu Yongchang (China Nuclear) solar farm,--,300,38.411,102.053,2023,2023,operating,True,False,True
12,53254,G100000831522,Gansu,solar,PV,solar,Gansu Yongchang Heqingtan (China Academy of Sciences) solar farm,--,300,38.1694,102.2907,2023,2023,operating,True,False,True
13,53255,G100000831523,Gansu,solar,PV,solar,Gansu Yongchang Heqingtan (Gansu Power Investment) solar farm,--,300,38.406,102.064,2023,2023,operating,True,False,True
14,52918,G100000811624,Gansu,solar,PV,solar,"Gansu Gulang Wuwei ""Solid-State"" Desert Control Demonstration solar power plant",--,300,37.6394,103.2446,2023,2023,operating,True,False,True
15,52893,G100000811620,Gansu,solar,PV,solar,Gansu Ganzhou Nantan solar power plant,--,300,38.8442,100.6765,2023,2023,operating,True,False,True
16,53276,G100000831531,Gansu,solar,PV,solar,Gansu Yumen 300 MW (PetroChina) solar farm,--,300,39.766,97.906,2023,2023,operating,True,False,True
17,53259,G100000831525,Gansu,solar,PV,solar,Gansu Yongdeng (China Resources) Pastoral solar farm,1,300,36.653,103.539,2023,2023,operating,True,False,True
18,53009,G100000811653,Gansu,solar,PV,solar,Gansu Jinta Baishuiquan Jiuquan Steel solar power plant,1,200,39.9865,98.9029,2022,2022,operating,True,False,True
19,53233,G100000811683,Gansu,solar,PV,solar,Gansu Wuwei Liangzhou Jiuduntan (Three Gorges) Desert Control solar power plant,--,200,38.104,101.858,2023,2023,operating,True,False,True
20,53077,G100000831498,Gansu,solar,PV,solar,Gansu Minqin Hongshagang solar farm,--,200,38.949,102.441,2022,2022,operating,True,False,True
21,52946,G100000811634,Gansu,solar,PV,solar,Gansu Jinchang Heqingtan (China Nuclear) solar power plant,--,200,38.266,102.282,2023,2023,operating,True,False,True
22,43952,G100001000856,Gansu,wind,Onshore,wind_onshore,Gansu Guazhou Baofeng wind farm,--,1750,40.997,95.563,2024,2024,operating,True,False,True
23,20689,G100000904432,Gansu,wind,Onshore,wind_onshore,Gansu Guazhou Beidaqiao 6 Areas A And B wind farm,--,402,38.0001,102.0001,2015,2015,operating,False,True,True
24,20668,G100000904412,Gansu,wind,Onshore,wind_onshore,Gansu Guazhou Anbei 3 Area AB wind farm,--,401,38.0001,102.0001,2015,2015,operating,False,True,True
25,39472,G100000923556,Gansu,wind,Onshore,wind_onshore,Gansu Guazhou Solar Thermal/Photovoltaic/Wind complex wind farm,"Component of Jiuquan ""Solar Thermal Plus"" national wind/solar base",400,41.551,95.249,2023,2023,operating,True,False,True
26,20745,G100000904493,Gansu,wind,Onshore,wind_onshore,Gansu Huanxian Maojing wind farm,--,400,36.509,106.5757,2015,2015,operating,False,True,True
27,20736,G100000904477,Gansu,wind,Onshore,wind_onshore,Gansu Yumen Mahuangtan 1 Area AB wind farm,--,400,40.5136,97.2734,2014,2014,operating,False,True,True
28,20665,G100000904409,Gansu,wind,Onshore,wind_onshore,Gansu Guazhou Anbei 2 Area AB wind farm,--,400,40.8356,96.3062,2015,2015,operating,False,True,True
29,20750,G100000904498,Gansu,wind,Onshore,wind_onshore,Gansu Minqin Hongshagang 1 wind farm,--,400,39.0309,102.1608,2015,2015,operating,False,True,True
30,39468,G100000923552,Gansu,wind,Onshore,wind_onshore,Gansu Gaotai Beibutan 400 MW (Shanghai Electric) wind farm,--,400,39.844,99.394,,,operating,False,False,True
31,37536,G100000921545,Gansu,wind,Onshore,wind_onshore,Gansu Qingyang Huanxian (Huaneng) Wind/Solar Demonstration Project wind farm,Area B1,380,36.4635,106.6114,2023,2023,operating,True,False,True
32,37538,G100000921548,Gansu,wind,Onshore,wind_onshore,Gansu Qingyang Huanxian (Huaneng) Wind/Solar Demonstration Project wind farm,Area C1,380,36.6247,106.8226,2023,2023,operating,True,False,True
33,37539,G100000921547,Gansu,wind,Onshore,wind_onshore,Gansu Qingyang Huanxian (Huaneng) Wind/Solar Demonstration Project wind farm,Area C2,380,36.3749,106.5927,2023,2023,operating,True,False,True
