active_gpus,relative_runtime_allowance,hypothetical_idle_fraction_of_global_min_measured_active_power,hypothetical_idle_w,common_horizon_s,selected_cap_w,energy_reduction_pct
1,0,0,0.0,423.5,260,0.0
1,0,0.25,108.395,423.5,260,0.0
1,0,0.5,216.79,423.5,260,0.0
1,0,0.75,325.185,423.5,260,0.0
1,0,1.0,433.58,423.5,260,0.0
1,0.05,0,0.0,444.675,210,2.5259727031982027
1,0.05,0.25,108.395,444.675,210,3.3758724831890823
1,0.05,0.5,216.79,444.675,210,4.210168836899338
1,0.05,0.75,325.185,444.675,210,5.029287553919483
1,0.05,1.0,433.58,444.675,210,5.833639071438239
1,0.1,0,0.0,465.85,200,2.7907924220818883
1,0.1,0.25,108.395,465.85,190,4.185213042558022
1,0.1,0.5,216.79,465.85,190,5.533283250544882
1,0.1,0.75,325.185,465.85,190,6.833607786590764
1,0.1,1.0,433.58,465.85,190,8.088679081994986
1,0.2,0,0.0,508.2,200,2.7907924220818883
1,0.2,0.25,108.395,508.2,180,4.214902866728667
1,0.2,0.5,216.79,508.2,150,6.712768302644232
1,0.2,0.75,325.185,508.2,150,9.790957004145843
1,0.2,1.0,433.58,508.2,150,12.668836664054492
1,0.5,0,0.0,635.25,200,2.7907924220818883
1,0.5,0.25,108.395,635.25,180,3.998638631131575
1,0.5,0.5,216.79,635.25,150,6.078179104235045
1,0.5,0.75,325.185,635.25,130,9.270572819912879
1,0.5,1.0,433.58,635.25,120,14.505559521908525
1,1.0,0,0.0,847.0,200,2.7907924220818883
1,1.0,0.25,108.395,847.0,180,3.6836303800326644
1,1.0,0.5,216.79,847.0,150,5.250864683809085
1,1.0,0.75,325.185,847.0,130,7.604577793170879
1,1.0,1.0,433.58,847.0,100,14.41186532405478
1,0.9651239669421487,0,0.0,832.23,200,2.7907924220818883
1,0.9651239669421487,0.25,108.395,832.23,180,3.7039837308761587
1,0.9651239669421487,0.5,216.79,832.23,150,5.3011948009057015
1,0.9651239669421487,0.75,325.185,832.23,130,7.7011111928622915
1,0.9651239669421487,1.0,433.58,832.23,100,14.630224492859778
2,0,0,0.0,228.43,260,0.0
2,0,0.25,108.395,228.43,260,0.0
2,0,0.5,216.79,228.43,260,0.0
2,0,0.75,325.185,228.43,260,0.0
2,0,1.0,433.58,228.43,260,0.0
2,0.05,0,0.0,239.85150000000002,210,3.9870571459910114
2,0.05,0.25,108.395,239.85150000000002,210,4.565387585079679
2,0.05,0.5,216.79,239.85150000000002,210,5.135969861738485
2,0.05,0.75,325.185,239.85150000000002,210,5.698958648472398
2,0.05,1.0,433.58,239.85150000000002,210,6.254504528138038
2,0.1,0,0.0,251.27300000000002,180,5.429417571569599
2,0.1,0.25,108.395,251.27300000000002,180,6.67337420993869
2,0.1,0.5,216.79,251.27300000000002,180,7.884439771701962
2,0.1,0.75,325.185,251.27300000000002,180,9.06390173034246
2,0.1,1.0,433.58,251.27300000000002,180,10.212981229759103
2,0.2,0,0.0,274.116,180,5.429417571569599
2,0.2,0.25,108.395,274.116,180,6.585149887808715
2,0.2,0.5,216.79,274.116,160,8.3842743779651
2,0.2,0.75,325.185,274.116,160,10.158618593427864
2,0.2,1.0,433.58,274.116,160,11.846028810327487
2,0.5,0,0.0,342.645,180,5.429417571569599
2,0.5,0.25,108.395,342.645,180,6.333939264612737
2,0.5,0.5,216.79,342.645,150,8.000448290196593
2,0.5,0.75,325.185,342.645,130,10.373016345236476
2,0.5,1.0,433.58,342.645,120,13.935681835448316
2,1.0,0,0.0,456.86,180,5.429417571569599
2,1.0,0.25,108.395,456.86,180,5.955300752495371
2,1.0,0.5,216.79,456.86,150,7.146073606509062
2,1.0,0.75,325.185,456.86,130,8.871725593577402
2,1.0,1.0,433.58,456.86,110,11.883480344739374
2,1.1069474237184256,0,0.0,481.28999999999996,180,5.429417571569599
2,1.1069474237184256,0.25,108.395,481.28999999999996,180,5.880114746633233
2,1.1069474237184256,0.5,216.79,481.28999999999996,150,6.986488154336808
2,1.1069474237184256,0.75,325.185,481.28999999999996,130,8.605329665385916
2,1.1069474237184256,1.0,433.58,481.28999999999996,110,11.452367824807363
4,0,0,0.0,128.3,260,0.0
4,0,0.25,108.395,128.3,260,0.0
4,0,0.5,216.79,128.3,260,0.0
4,0,0.75,325.185,128.3,260,0.0
4,0,1.0,433.58,128.3,260,0.0
4,0.05,0,0.0,134.71500000000003,210,6.20333141872487
4,0.05,0.25,108.395,134.71500000000003,210,6.5753837583461126
4,0.05,0.5,216.79,134.71500000000003,210,6.944162984401765
4,0.05,0.75,325.185,134.71500000000003,210,7.309712100333389
4,0.05,1.0,433.58,134.71500000000003,210,7.672073359539374
4,0.1,0,0.0,141.13000000000002,190,8.800816899610691
4,0.1,0.25,108.395,141.13000000000002,190,9.37822992548043
4,0.1,0.5,216.79,141.13000000000002,190,9.945572020152316
4,0.1,0.75,325.185,141.13000000000002,190,10.50310438351787
4,0.1,1.0,433.58,141.13000000000002,190,11.051079260241485
4,0.2,0,0.0,153.96,160,11.008998659774077
4,0.2,0.25,108.395,153.96,160,12.236908705137933
4,0.2,0.5,216.79,153.96,160,13.422719907000648
