active_gpus,installed_gpus,gpu_power_cap_w,whole_node_power_w,runtime_s,reported_time_sd_unit_unresolved,energy_kj,reported_energy_sd_unit_unresolved,edp_mjs,eds_1_5,eds_2,relative_throughput,relative_whole_node_power,relative_active_energy,energy_vs_mean_power_time_relative_error,idle_break_even_w
1,8,100,433.58,832.23,2.56,360.83,1.12,300.3,1.8,1.72,0.5088737488434687,0.7481063547112513,1.470075371766144,2.2956516919432726e-05,282.28904166564723
1,8,110,444.7,706.99,2.32,314.4,1.17,222.28,1.54,1.48,0.5990183736686516,0.7672929930810772,1.2809126094927683,-4.920483460611948e-06,243.21845567744887
1,8,120,454.44,618.9,0.86,281.25,0.45,174.07,1.36,1.3,0.6842785587332364,0.7840985558258708,1.14585455286209,1.0367999999895498e-05,183.21392016376672
1,8,130,465.35,560.77,0.71,260.95,0.47,146.33,1.24,1.19,0.7552115840719011,0.8029228566005832,1.0631493175799551,1.6552979498019725e-05,112.91615065199973
1,8,140,475.23,531.09,0.25,252.39,0.16,134.04,1.18,1.14,0.797416633715566,0.8199699777421191,1.0282745976777348,-3.934387256215074e-07,64.50413607212563
1,8,150,485.04,506.71,0.68,245.78,0.29,124.54,1.13,1.1,0.8357837816502536,0.8368963196852839,1.0013444693420248,-2.1896004556890955e-05,3.9658694868406754
1,8,160,495.16,489.93,0.42,242.6,0.27,118.85,1.1,1.07,0.8644092013144735,0.8543575409355212,0.9883886738643308,-2.5808738664398562e-05,-42.902303176275694
1,8,170,504.5,476.98,0.43,240.64,0.17,114.78,1.08,1.05,0.8878778984443791,0.8704729368324792,0.9804033408026075,-1.4918550531807784e-05,-89.94016454749439
1,8,180,513.61,465.96,0.37,239.32,0.26,111.51,1.06,1.04,0.9088762983947121,0.8861914867919319,0.975025463434508,7.168644492776883e-06,-144.37117286858216
1,8,190,522.2,456.94,0.41,238.61,0.25,109.03,1.04,1.03,0.9268175252768416,0.9010128198491986,0.972132817274394,1.7048740622848775e-05,-204.5454545454538
1,8,200,530.91,449.42,0.47,238.6,0.24,107.23,1.03,1.02,0.9423256641893997,0.9160412029608156,0.9720920757791811,6.589270746011095e-06,-264.2746913580243
1,8,210,539.5,443.46,0.51,239.25,0.34,106.1,1.02,1.01,0.954990303522302,0.9308625360180823,0.974740272968018,-1.3918495297828147e-05,-310.6212424849697
