group,unit_id,curve,input_height_m,applied_hub_extrapolation,reference_hub_height_m,normalization_mw,common_assumed_multiplier,mean_pu,equivalent_hours,mean_difference_from_generic,relative_mean_difference_pct,max_hourly_difference_from_generic
Gansu|wind_onshore,G100001000856,legacy_generic,100,False,,,0.85,0.1362776928356614,1197.06325386845,0.0,0.0,0.0
Gansu|wind_onshore,G100001000856,Vestas_V112_3MW,100,False,80.0,3.06,0.85,0.23731998203804897,2084.618722222222,0.10104228920238754,74.14440845005753,0.31645786759259253
Gansu|wind_onshore,G100001000856,NREL_ReferenceTurbine_5MW_offshore,100,False,90.0,5.0,0.85,0.20741224863160293,1821.90919198,0.0711345557959415,52.198238989651344,0.1895044094513032
Guizhou|wind_onshore,G100000904160,legacy_generic,100,False,,,0.85,0.039986490170344946,351.24132965631003,0.0,0.0,0.0
Guizhou|wind_onshore,G100000904160,Vestas_V112_3MW,100,False,80.0,3.06,0.85,0.12063383392784861,1059.6475972222222,0.08064734375750367,201.68647814284512,0.3163128129286694
Guizhou|wind_onshore,G100000904160,NREL_ReferenceTurbine_5MW_offshore,100,False,90.0,5.0,0.85,0.0984325544803051,864.6315585550001,0.05844606430996014,146.16452722150973,0.18948019342935518
Jiangsu|wind_onshore,G100000903041,legacy_generic,100,False,,,0.85,0.05818387127611213,511.08712528936894,0.0,0.0,0.0
Jiangsu|wind_onshore,G100000903041,Vestas_V112_3MW,100,False,80.0,3.06,0.85,0.1535294142759563,1348.602375,0.09534554299984414,163.8693694810731,0.3162040101851852
Jiangsu|wind_onshore,G100000903041,NREL_ReferenceTurbine_5MW_offshore,100,False,90.0,5.0,0.85,0.12718831264458105,1117.22213827,0.06900444136846892,118.59719859651081,0.18953777212620027
Jiangsu|wind_offshore,G100000903073,legacy_generic,100,False,,,0.85,0.18622634269559818,1635.8121942381345,0.0,0.0,0.0
Jiangsu|wind_offshore,G100000903073,Vestas_V112_3MW,100,False,80.0,3.06,0.85,0.31645154068002423,2779.710333333333,0.13022519798442608,69.92845163548613,0.31665345240054876
Jiangsu|wind_offshore,G100000903073,NREL_ReferenceTurbine_5MW_offshore,100,False,90.0,5.0,0.85,0.2762512526662113,2426.59100342,0.0900249099706131,48.34166244555747,0.18953177268861454
