workload,jobs,gpu_hours,wait_h_median,run_h_median,run_h_p90,gpu_hours_share
untagged,627896,4077780.736,0.0,0.16,3.548,0.868
bert,45550,280143.719,0.0,0.254,4.376,0.06
ctr,25270,138187.038,0.0,0.348,2.602,0.029
nmt,8732,80596.714,0.0,2.514,4.413,0.017
graphlearn,1534,67078.145,0.001,1.037,8.649,0.014
inception,5220,39271.244,0.001,0.083,0.52,0.008
resnet,296,7033.4,0.001,0.334,7.96,0.001
xlnet,335,4134.25,0.001,3.565,10.278,0.001
rl,54,1784.667,0.0,0.061,3.92,0.0
vgg,16,1630.606,0.001,4.33,42.415,0.0
