province,technology,source_vintage_sum_MW,not_verified_as_2020_installed_capacity
Anhui,onwind,3531.0,True
Beijing,onwind,186.0,True
Chongqing,onwind,823.0,True
Fujian,onwind,3497.0,True
Gansu,onwind,12801.5,True
Guangdong,onwind,4707.3,True
Guangxi,onwind,4533.0,True
Guizhou,onwind,4520.0,True
Hainan,onwind,248.0,True
Hebei,onwind,18847.5,True
Heilongjiang,onwind,6124.0,True
Henan,onwind,10418.0,True
Hubei,onwind,4553.0,True
Hunan,onwind,6594.0,True
InnerMongolia,onwind,33552.0,True
Jiangsu,onwind,7688.0,True
Jiangxi,onwind,4054.0,True
Jilin,onwind,5226.0,True
Liaoning,onwind,8210.0,True
Ningxia,onwind,11394.0,True
Qinghai,onwind,6766.0,True
Shaanxi,onwind,6732.0,True
Shandong,onwind,16820.0,True
Shanghai,onwind,370.0,True
Shanxi,onwind,17048.4,True
Sichuan,onwind,3931.0,True
Tianjin,onwind,788.0,True
Tibet,onwind,49.5,True
Xinjiang,onwind,21404.0,True
Yunnan,onwind,8488.0,True
Zhejiang,onwind,1320.0,True
Fujian,offwind,627.0,True
Guangdong,offwind,600.0,True
Hebei,offwind,300.0,True
Jiangsu,offwind,5012.0,True
Liaoning,offwind,299.0,True
Shanghai,offwind,426.0,True
Zhejiang,offwind,486.0,True
Beijing,solar,620.0,True
Tianjin,solar,1640.0,True
Hebei,solar,21900.0,True
Shanxi,solar,13090.0,True
InnerMongolia,solar,12370.0,True
Liaoning,solar,4000.0,True
Jilin,solar,3380.0,True
Heilongjiang,solar,3180.0,True
Shanghai,solar,1370.0,True
Jiangsu,solar,16840.0,True
Zhejiang,solar,15170.0,True
Anhui,solar,13700.0,True
Fujian,solar,2020.0,True
Jiangxi,solar,7760.0,True
Shandong,solar,22720.0,True
Henan,solar,11750.0,True
Hubei,solar,6980.0,True
Hunan,solar,3910.0,True
Guangdong,solar,7970.0,True
Guangxi,solar,2050.0,True
Hainan,solar,1430.0,True
Chongqing,solar,670.0,True
Sichuan,solar,1910.0,True
Guizhou,solar,10570.0,True
Yunnan,solar,3880.0,True
Tibet,solar,1370.0,True
Shaanxi,solar,10890.0,True
Gansu,solar,9820.0,True
Qinghai,solar,16010.0,True
Ningxia,solar,11970.0,True
Xinjiang,solar,12660.0,True
