province,correlation_2020_source_vs_2018_row_order,max_mean_normalized_shape_difference,interpretation
Anhui,0.9999999971514274,0.0012809000160097783,similarity_check_not_proof_of_independent_validation
Beijing,0.9999999440267179,0.007987726186935218,similarity_check_not_proof_of_independent_validation
Chongqing,0.9999992857175799,0.028864806809185906,similarity_check_not_proof_of_independent_validation
Fujian,0.9999988201597388,0.024119148485832964,similarity_check_not_proof_of_independent_validation
Gansu,0.999999945054648,0.002475103957158664,similarity_check_not_proof_of_independent_validation
Guangdong,0.9999991987532152,0.02791129052613428,similarity_check_not_proof_of_independent_validation
Guangxi,0.9999999597480377,0.0047971924031570135,similarity_check_not_proof_of_independent_validation
Guizhou,0.9999996462880695,0.017275168396100327,similarity_check_not_proof_of_independent_validation
Hainan,0.9999999584793245,0.004669446841386926,similarity_check_not_proof_of_independent_validation
Hebei,0.9999995543452773,0.011958869254496296,similarity_check_not_proof_of_independent_validation
Heilongjiang,0.9999999994617889,0.0004590591869011451,similarity_check_not_proof_of_independent_validation
Henan,0.9999999958484085,0.0014518155430558455,similarity_check_not_proof_of_independent_validation
Hubei,0.9999998755234227,0.00914363158324194,similarity_check_not_proof_of_independent_validation
Hunan,0.9999998736845536,0.010794453612558041,similarity_check_not_proof_of_independent_validation
InnerMongolia,0.999999931620797,0.002271546925529333,similarity_check_not_proof_of_independent_validation
Jiangsu,0.9999979771013544,0.03025485684599294,similarity_check_not_proof_of_independent_validation
Jiangxi,0.9999998179884897,0.010720430971253192,similarity_check_not_proof_of_independent_validation
Jilin,0.9999998910648737,0.007304264627605361,similarity_check_not_proof_of_independent_validation
Liaoning,0.9999997247080509,0.0063241189293872235,similarity_check_not_proof_of_independent_validation
Ningxia,0.9999997738514577,0.004384220615445966,similarity_check_not_proof_of_independent_validation
Qinghai,0.9999985871181231,0.006378703723397883,similarity_check_not_proof_of_independent_validation
Shaanxi,0.9999999428029945,0.005635585679568678,similarity_check_not_proof_of_independent_validation
Shandong,0.9999989162506028,0.01663821495571549,similarity_check_not_proof_of_independent_validation
Shanghai,0.9999999715789577,0.0051595669333561744,similarity_check_not_proof_of_independent_validation
Shanxi,0.9999999556456098,0.0029874632349218277,similarity_check_not_proof_of_independent_validation
Sichuan,0.999999567269311,0.017439740689687455,similarity_check_not_proof_of_independent_validation
Tianjin,0.9999995523609213,0.015768919669538417,similarity_check_not_proof_of_independent_validation
Tibet,0.9999999625881302,0.005373145832698767,similarity_check_not_proof_of_independent_validation
Xinjiang,0.9999999514412782,0.0017330062997635842,similarity_check_not_proof_of_independent_validation
Yunnan,0.9999997827687004,0.009053402873302918,similarity_check_not_proof_of_independent_validation
Zhejiang,0.9999995976960704,0.01803362889633653,similarity_check_not_proof_of_independent_validation
