province,annual_energy_TWh,maximum_hourly_average_GW,minimum_hourly_average_GW,load_factor,source_year,measurement_type
AH,213.50000008306,41.27756408,13.15018083,0.5904453586691203,2018,reconstructed_from_daily_extrema_and_typical_profiles
BJ,114.199999970299,23.06754693,6.491774395999999,0.5651459046137409,2018,reconstructed_from_daily_extrema_and_typical_profiles
CQ,111.89999996124699,25.189561219999998,5.986397387,0.5071137399635843,2018,reconstructed_from_daily_extrema_and_typical_profiles
FJ,231.40000005957,37.10608842,11.56893005,0.7118919359529592,2018,reconstructed_from_daily_extrema_and_typical_profiles
GD,632.2999999137098,110.8342088,21.21748494,0.6512462719628598,2018,reconstructed_from_daily_extrema_and_typical_profiles
GS,128.99999995481002,18.497603589999997,11.91024564,0.7961046046020062,2018,reconstructed_from_daily_extrema_and_typical_profiles
GX,170.30000006171798,30.543347989999997,9.419772581,0.6364933956427029,2018,reconstructed_from_daily_extrema_and_typical_profiles
GZ,148.199999978812,29.27787939,9.028872827999999,0.5778358463536031,2018,reconstructed_from_daily_extrema_and_typical_profiles
HA,341.79999983650004,67.47888891,23.25483581,0.5782292128958867,2018,reconstructed_from_daily_extrema_and_typical_profiles
HB,207.10000002504003,39.27686032,12.79562443,0.6019206301537183,2018,reconstructed_from_daily_extrema_and_typical_profiles
HE,366.59999985431,57.88152364,26.85063872,0.7230168181499147,2018,reconstructed_from_daily_extrema_and_typical_profiles
HI,32.700000012466,5.452691554,1.9192895559999998,0.6845934116727092,2018,reconstructed_from_daily_extrema_and_typical_profiles
HL,97.400000024268,15.33698459,7.492204854,0.7249613767759242,2018,reconstructed_from_daily_extrema_and_typical_profiles
HN,174.499999956597,34.65108856,9.415054626,0.5748763501254414,2018,reconstructed_from_daily_extrema_and_typical_profiles
JL,75.09999999836099,11.954184300000001,5.383038825,0.7171597112270965,2018,reconstructed_from_daily_extrema_and_typical_profiles
JS,612.80000019739,105.83995949999999,33.435051249999994,0.6609444887597153,2018,reconstructed_from_daily_extrema_and_typical_profiles
JX,142.899999998649,25.740758369999998,8.012846917,0.6337336745674766,2018,reconstructed_from_daily_extrema_and_typical_profiles
LN,230.20000011110002,32.992946790000005,20.60011911,0.796489594964974,2018,reconstructed_from_daily_extrema_and_typical_profiles
NM,335.29999994478,45.35006842000001,33.05512925,0.8440175954525914,2018,reconstructed_from_daily_extrema_and_typical_profiles
NX,106.49999999883602,14.62459323,8.878291783,0.8313075143521422,2018,reconstructed_from_daily_extrema_and_typical_profiles
QH,73.79999997555,9.477693923,7.503591982,0.8888931843442354,2018,reconstructed_from_daily_extrema_and_typical_profiles
SC,245.90000008322,45.26601661,14.81808013,0.620129146928437,2018,reconstructed_from_daily_extrema_and_typical_profiles
SD,591.7000001535799,99.83519122999999,38.65087329,0.676571670628417,2018,reconstructed_from_daily_extrema_and_typical_profiles
SH,156.700000062957,30.481872749999997,9.693413605,0.5868447784615908,2018,reconstructed_from_daily_extrema_and_typical_profiles
SN,159.39999993918002,27.283348460000003,11.77929911,0.6669396555814304,2018,reconstructed_from_daily_extrema_and_typical_profiles
SX,216.09999992589,33.3333041,18.70331542,0.740069141937521,2018,reconstructed_from_daily_extrema_and_typical_profiles
TJ,86.099999974418,15.555188690000001,5.817661414,0.6318642169018491,2018,reconstructed_from_daily_extrema_and_typical_profiles
XJ,268.60000009177,34.884306859999995,26.38036473,0.8789654497121644,2018,reconstructed_from_daily_extrema_and_typical_profiles
XZ,6.899999998164801,1.457904993,0.45186459100000004,0.5402761060900041,2018,reconstructed_from_daily_extrema_and_typical_profiles
YN,167.90000005027,25.356493959999998,11.30733712,0.7558878882325278,2018,reconstructed_from_daily_extrema_and_typical_profiles
ZJ,453.29999980217997,80.26990161,16.84299768,0.6446572660734019,2018,reconstructed_from_daily_extrema_and_typical_profiles
