province_code,annual_sum_MWh_if_hourly_mean_MW,minimum_input_MW,maximum_input_MW,mean_input_MW,missing_count,load_factor
AH,213500000.08306,13150.18083,41277.56408,24372.146128203196,0,0.5904453586691203
BJ,114199999.970299,6491.774396,23067.54693,13036.529676974773,0,0.5651459046137409
CQ,111899999.961247,5986.397387,25189.56122,12773.972598315868,0,0.5071137399635843
FJ,231400000.05957,11568.93005,37106.08842,26415.52512095548,0,0.7118919359529592
GS,128999999.95481001,11910.24564,18497.60359,14726.0273921016,0,0.7961046046020062
GD,632299999.9137099,21217.48494,110834.2088,72180.36528695318,0,0.6512462719628598
GX,170300000.061718,9419.772581,30543.34799,19440.639276451824,0,0.6364933956427029
GZ,148199999.978812,9028.872828,29277.87939,16917.80821675936,0,0.5778358463536031
HI,32700000.012466,1919.289556,5452.691554,3732.876713751826,0,0.6845934116727092
HE,366599999.85431,26850.63872,57881.52364,41849.31505186187,0,0.7230168181499147
HL,97400000.024268,7492.204854,15336.98459,11118.721463957534,0,0.7249613767759242
HA,341799999.83650005,23254.83581,67478.88891,39018.26482151827,0,0.5782292128958867
HB,207100000.02504003,12795.62443,39276.86032,23641.552514273975,0,0.6019206301537183
HN,174499999.956597,9415.054626,34651.08856,19920.091319246232,0,0.5748763501254414
JS,612800000.19739,33435.05125,105839.9595,69954.33792207648,0,0.6609444887597153
JX,142899999.998649,8012.846917,25740.75837,16312.78538797363,0,0.6337336745674766
JL,75099999.99836099,5383.038825,11954.1843,8573.059360543491,0,0.7171597112270965
LN,230200000.11110002,20600.11911,32992.94679,26278.53882546804,0,0.796489594964974
NM,335299999.94478,33055.12925,45350.06842,38276.255701458904,0,0.8440175954525914
NX,106499999.99883601,8878.291783,14624.59323,12157.534246442467,0,0.8313075143521422
QH,73799999.97555,7503.591982,9477.693923,8424.65753145548,0,0.8888931843442354
SN,159399999.93918002,11779.29911,27283.34846,18196.34702502055,0,0.6669396555814304
SD,591700000.15358,38650.87329,99835.19123,67545.66211798858,0,0.676571670628417
SH,156700000.062957,9693.413605,30481.87275,17888.12786106815,0,0.5868447784615908
SX,216099999.92589,18703.31542,33333.3041,24668.94976322945,0,0.740069141937521
SC,245900000.08322,14818.08013,45266.01661,28070.77626520776,0,0.620129146928437
TJ,86099999.974418,5817.661414,15555.18869,9828.76712036735,0,0.6318642169018491
XJ,268600000.09177005,26380.36473,34884.30686,30662.10046709704,0,0.8789654497121644
XZ,6899999.998164801,451.864591,1457.904993,787.6712326672147,0,0.5402761060900041
YN,167900000.05027,11307.33712,25356.49396,19166.66667240525,0,0.7558878882325278
ZJ,453299999.80218,16842.99768,80269.90161,51746.57531988356,0,0.6446572660734019
