province,type,mw_2020,mw_2030,units_2030
Anhui,coal,50225.0,61365.0,122
Anhui,oil/gas,120.0,2190.0,10
Anhui,nuclear,0.0,0.0,0
Anhui,hydropower,3871.0,7551.0,12
Anhui,wind,3639.5,6511.9,112
Anhui,solar,8706.4,13796.8,546
Beijing,coal,770.0,0.0,0
Beijing,oil/gas,9282.0,9282.0,22
Beijing,nuclear,35.0,35.0,2
Beijing,hydropower,892.0,892.0,2
Beijing,wind,186.0,235.5,5
Beijing,solar,179.60000000000002,179.60000000000002,43
Chongqing,coal,13174.0,14054.0,46
Chongqing,oil/gas,940.0,7160.0,13
Chongqing,nuclear,0.0,0.0,0
Chongqing,hydropower,4634.0,9634.0,22
Chongqing,wind,823.0,1398.8,21
Chongqing,solar,449.0,907.2,23
Fujian,coal,27316.0,32391.0,81
Fujian,oil/gas,3980.0,4385.0,16
Fujian,nuclear,8712.0,15186.0,14
Fujian,hydropower,6396.0,14656.0,37
Fujian,wind,4344.6,7953.1,110
Fujian,solar,968.5,1822.6999999999998,170
Gansu,coal,21630.0,33650.0,75
Gansu,oil/gas,180.0,180.0,1
Gansu,nuclear,0.0,0.0,0
Gansu,hydropower,5514.0,8094.0,36
Gansu,wind,12798.4,28451.6,215
Gansu,solar,8632.099999999999,24919.9,407
Guangdong,coal,65780.2,90015.2,156
Guangdong,oil/gas,27215.9,62708.9,203
Guangdong,nuclear,16136.0,19736.0,17
Guangdong,hydropower,8914.0,21214.0,30
Guangdong,wind,5292.9,15136.6,131
Guangdong,solar,3255.6,16416.1,166
Guangxi,coal,19417.8,30617.8,80
Guangxi,oil/gas,900.0,2640.0,27
Guangxi,nuclear,2172.0,4532.0,4
Guangxi,hydropower,13730.0,21330.0,42
Guangxi,wind,4483.0,11743.1,151
Guangxi,solar,2130.0,13642.6,138
Guizhou,coal,31860.0,41890.0,95
Guizhou,oil/gas,0.0,0.0,0
Guizhou,nuclear,0.0,0.0,0
Guizhou,hydropower,16735.0,18235.0,40
Guizhou,wind,4807.5,6626.1,123
Guizhou,solar,9095.0,21149.5,236
Hainan,coal,3060.0,3060.0,10
Hainan,oil/gas,1642.0,4526.0,15
Hainan,nuclear,1300.0,3822.0,5
Hainan,hydropower,1002.0,1002.0,4
Hainan,wind,248.0,4568.0,11
Hainan,solar,699.4,2269.4,39
Hebei,coal,47896.0,53624.0,148
Hebei,oil/gas,3796.0,6479.0,53
Hebei,nuclear,0.0,0.0,0
Hebei,hydropower,1970.0,15570.0,12
Hebei,wind,20067.1,27413.4,330
Hebei,solar,12407.6,21635.299999999996,563
Heilongjiang,coal,19291.0,21031.0,89
Heilongjiang,oil/gas,0.0,160.0,2
Heilongjiang,nuclear,0.0,0.0,0
Heilongjiang,hydropower,96.0,3696.0,4
Heilongjiang,wind,6124.0,9540.0,156
Heilongjiang,solar,2289.1,4576.099999999999,96
Henan,coal,64000.0,68260.0,153
Henan,oil/gas,3440.0,3650.0,12
Henan,nuclear,0.0,0.0,0
Henan,hydropower,3720.0,13720.0,14
Henan,wind,11905.0,19702.9,377
Henan,solar,5447.1,6167.1,373
Hubei,coal,28988.0,39648.0,90
Hubei,oil/gas,996.5,2130.1,19
Hubei,nuclear,0.0,0.0,0
Hubei,hydropower,33857.0,43075.0,40
Hubei,wind,4549.2,8633.6,138
Hubei,solar,5964.9,21820.100000000002,416
Hunan,coal,18825.0,31885.0,56
Hunan,oil/gas,270.0,910.0,4
Hunan,nuclear,0.0,0.0,0
Hunan,hydropower,8423.0,16823.0,46
Hunan,wind,6942.1,10104.5,189
Hunan,solar,2460.5,5958.299999999999,234
Inner Mongolia,coal,92682.0,134962.0,363
Inner Mongolia,oil/gas,300.0,400.0,4
Inner Mongolia,nuclear,0.0,0.0,0
Inner Mongolia,hydropower,1960.0,4360.0,6
Inner Mongolia,wind,34088.3,78154.3,662
Inner Mongolia,solar,10746.6,42325.5,378
Jiangsu,coal,75804.0,92481.0,221
Jiangsu,oil/gas,17542.0,24779.0,108
Jiangsu,nuclear,5490.0,9138.0,8
Jiangsu,hydropower,2600.0,3950.0,5
Jiangsu,wind,13261.2,21955.2,179
Jiangsu,solar,9303.599999999999,11198.0,1301
Jiangxi,coal,20629.0,37463.0,58
Jiangxi,oil/gas,334.0,464.0,6
