province,type,mw_2020,units_2020,mw_2030_operating_plus_construction,units_2030,mw_2030_preconstruction_announced,mw_operating_unknown_start,units_unknown_start,median_unit_mw_2030
Gansu,coal,21630.0,61,33650.0,75,2000.0,0.0,0,330.0
Gansu,oil/gas,180.0,1,180.0,1,0.0,0.0,0,180.0
Gansu,nuclear,0.0,0,0.0,0,0.0,0.0,0,
Gansu,hydropower,5514.0,34,8094.0,36,0.0,0.0,0,99.0
Gansu,wind,12798.4,111,28451.6,215,200.0,1119.1000000000001,9,100.0
Gansu,solar,8632.099999999999,286,24919.9,407,0.0,631.2,35,40.0
Jiangsu,coal,75804.0,199,92481.0,221,2700.0,320.0,3,330.0
Jiangsu,oil/gas,17542.0,73,24779.0,108,0.0,150.0,3,180.0
Jiangsu,nuclear,5490.0,5,9138.0,8,0.0,0.0,0,1122.0
Jiangsu,hydropower,2600.0,3,3950.0,5,1200.0,0.0,0,675.0
Jiangsu,wind,13261.2,136,21955.2,179,0.0,934.0,11,86.0
Jiangsu,solar,9303.599999999999,1283,11198.0,1301,0.0,3948.0,404,2.8
Guizhou,coal,31860.0,75,41890.0,95,2210.0,0.0,0,350.0
Guizhou,oil/gas,0.0,0,0.0,0,0.0,0.0,0,
Guizhou,nuclear,0.0,0,0.0,0,0.0,0.0,0,
Guizhou,hydropower,16735.0,39,18235.0,40,0.0,0.0,0,180.0
Guizhou,wind,4807.5,95,6626.1,123,100.0,290.0,5,50.0
Guizhou,solar,9095.0,128,21149.5,236,0.0,120.0,2,75.0
