hydrology_year,Sanxia,Xiluodu,Xiangjiaba,Nuozhadu,Jinping2,Gezhouba,Xiaowan,Jinping1,Pubugou,Ertan,Guandi,Laxiwa,Jinanqiao,Goupitan,Jinghong,Ahai,Tianshengqiao2,Manwan,Wuqiangxi,Lijiaxia,Longkaikou,Longyangxia,Gongboxia,Ludila,Shatuo,Gongzui,Gongguoqiao,Silin,Wujiangdu,Luding,Ruilijiang1,Dongjing,Jishixia,Changzhou,Shuibuya,Tongjiezi,Guangzhao,Dongfeng,Sanbanxi,Lubuge,Shenxigou,Baihetan,Wudongde
1979,228086481866.171,53433618058.62644,48423835197.93782,34763744580.97578,15700845161.354733,188818858269.8739,24159373943.238987,17892658261.959003,22113062920.45037,19491054907.055508,20399212561.3656,1170400954.2885234,19799045894.752068,8104851609.072726,32330642694.351555,15173218509.839602,12351236180.950695,19576814647.029305,35358881926.177,1257746498.3489082,17170634062.983774,1264444167.4426448,1540237443.8023958,14689269059.860836,11232988785.51843,23150236681.48862,14296607025.846272,13862916107.285484,7457175267.032644,14292309207.72004,2949448133.387425,7446652576.957157,1340804869.9109251,69211677612.43134,5545862838.154379,23648000307.52732,4385465791.504892,6384125821.577939,7806288202.632075,2608994859.6540265,20848251254.724686,53433618058.62644,53433618058.62644
1980,332331213931.3109,92489071259.76709,83429589351.65044,60296259372.31944,34930104601.33874,275116700773.0424,47592801483.52423,39806291843.73849,35002842303.74476,40671455017.78454,42603703520.008865,5844250659.421896,35213794987.35108,7424582252.149221,55573551175.51516,26986482517.594223,6702091237.079903,38565380682.66277,64519762169.827705,6284281282.686403,30457430339.276005,6318021923.537227,6978678133.776399,26009029863.519943,11683984736.037048,33536042925.269394,21807773438.289097,14419501638.18402,6159046758.493613,24375838698.126377,5605528365.887674,4622907627.059304,6061054377.831497,44219450255.950836,8911989795.585257,34257116431.304844,2861343793.8622336,4793318434.922439,5806203207.207873,1520796376.976442,30201326271.22224,92489071259.76709,92489071259.76709
1981,262911173462.95975,72781689648.84412,65820060224.996735,50691466043.49006,24791814299.58407,217648092046.05322,30542862678.029312,28252712283.810036,28733100884.348904,29583248770.159615,30808032696.345917,5343810386.837407,28475540494.116207,3657883257.861908,47025716865.76328,21822546419.65017,9171280456.109823,24749480795.41525,27054955676.715588,5746223242.221362,24593449807.983,5777079430.198767,2635132034.1493177,20912513111.838097,5417327246.526934,27547755331.314396,23324477996.37448,6685660831.5262985,3463222239.5432715,20208726398.5977,6061187608.496939,4045087244.609424,2288618321.3716846,86482197833.92801,4298313011.559363,28140071978.941,2598331041.516937,3157802482.5259647,3471152554.2798867,1675020407.7071223,24808494794.17683,72781689648.84412,72781689648.84412
1982,211504535551.5413,54003107183.392395,48703337060.99533,44015992401.07159,17750235256.90458,175091678362.48328,24339566077.71403,20228139966.814754,17332042649.701576,20436405215.348877,21615301537.9422,1993115456.4273832,22586053811.575294,7577452857.463958,40734607764.31499,17309072951.28117,13625712655.31761,19722827868.47115,47751801296.49871,2143055532.8855271,19187105267.456566,2154552628.7725973,1243817960.1892593,16239460857.036594,11855584224.519575,16339474769.711819,27916579574.53413,14631276915.299332,5975594914.371775,11974097330.247524,6362327735.994118,6152964872.830878,1080244468.065156,47008973803.79317,6486131086.255524,16690797148.002794,3589246789.709367,4650886233.923182,6122820055.972675,2402430461.763112,14714729632.196781,54003107183.392395,54003107183.392395
1983,240442326070.8403,51437696567.99884,46509838198.79922,45629991632.99703,13427233053.907299,199047506529.0679,22732154290.19367,15301653507.70925,14432382653.05993,16276410924.529865,16910722251.526999,2447338571.018945,17510146080.002205,8705176143.87283,42181324463.48981,13419094739.383743,15923364575.089544,18420310564.021606,43917782853.737755,2631390644.038529,14926471391.157328,2645503377.483152,2359933744.6232057,12755300710.94248,12659390678.442314,14706428826.634417,28983463897.061348,15623274828.765717,8083526357.962948,9746012397.909773,7782365849.772817,6937474630.041974,2049877945.1493342,52022211807.08265,9304602110.46736,15022638351.38105,4063614438.4908586,6684399933.111701,6290390708.805405,3073723273.5254736,13244068566.218313,51437696567.99884,51437696567.99884
1984,201734001426.1956,52065784464.420876,47190089559.96944,48239771670.15038,13368506564.202782,167003250310.36798,23522037392.63599,15234728893.116291,15540036521.966776,15998756746.19613,16699643510.47593,3059589510.277827,21089389812.947147,5707273201.822551,44658067189.10554,16162087889.086105,12370695313.073692,19060368337.276165,23770780856.06525,3289853905.467466,18022305057.039814,3307510490.2490797,3279385695.8381557,15343195843.95751,8372788453.81628,16476855883.09457,22452812008.459286,10333070399.655584,4373474940.54472,10432305029.413263,6333343000.35887,4098902109.656942,2848168055.7399173,22301026430.282494,3978547112.8423014,16831132154.34515,2404991494.2492013,3254562796.9161835,4604803721.725433,1877571497.169747,14838450002.376236,52065784464.420876,52065784464.420876
1985,189339026298.86832,59369361240.59914,53552263211.16598,46990253611.77373,18806494874.823387,156742207951.88818,25233493399.861275,21431851753.35261,17564147061.018547,22126531045.28062,22905174094.173016,1645247636.789794,20033727130.00407,5774315162.885139,43333254976.799576,15353069078.476423,15368307675.906887,20447194714.01556,19122376292.68288,1768654078.8273706,17352545566.91777,1778116630.3393023,1027522296.9952488,14844202622.961914,8318021335.103873,17751761297.11356,19429883527.114532,10265480910.638498,4865116388.531359,12249874174.937956,5453588458.683957,6371574309.944584,894686331.9906702,33583174982.720924,2935604501.9108734,18133449881.70113,3966858417.273518,3885007579.8699374,4383158518.011812,3036703787.913562,15986582890.801754,59369361240.59914,59369361240.59914
1986,182277850970.39957,51707463766.072876,46748269531.65005,39959107265.27632,13219578951.411348,150896692458.57117,18573509192.535706,15065011221.61124,14656916977.793833,16140342197.21161,16589063821.043104,1806802999.3891184,15583818501.431877,7113386677.355449,37029617624.94035,11942832225.192333,19701873770.973198,15050478860.149559,30181000461.037716,1942482477.1650496,13883156505.891151,1952886803.459924,856578308.954703,12028268035.82845,9802419627.810604,14819257630.491705,12879344338.089132,12097414458.735731,6340944665.043717,9834462237.806013,5671490751.172143,6368160631.426547,746669829.2914265,22736191873.658947,4522159536.749838,15137893137.974596,3883953335.7582154,5215764324.044102,4982943599.900432,3395563563.315972,13345678118.934076,51707463766.072876,51707463766.072876
1987,191527161384.4608,48260496131.5401,43537254259.816185,39734532947.61441,16677801636.753529,158553631255.98492,19933952441.74497,19005996312.966846,14770621511.399313,20229133319.05109,20993562667.92944,475425225.70069283,13437040709.340475,8325474515.478279,36750066640.000244,10297625243.77371,14818233164.289387,16152872713.158539,50629163399.12469,509338726.9950867,11862919667.016825,511939337.226151,449785174.7319835,10209362747.456217,12441183281.474627,14960621793.791903,26666422195.237408,15353979550.73143,6759319027.2056465,9532691493.177336,6645753175.176064,6486974959.36511,394473203.8178593,57364031613.9894,6468398360.32403,15282296835.577806,3572455456.37321,4892754715.151649,6568985289.330088,2623894137.5306015,13472985546.244009,48260496131.5401,48260496131.5401
1988,185451162196.44965,43471298433.204796,39557650318.765175,36844045068.455666,13927098167.028112,153523682877.8864,24542973366.041374,15871298998.396612,19980342079.686867,17398969517.771446,18025173639.23702,1318043009.8413436,13535540085.274082,5194111351.817925,33943265801.283867,10373111333.460466,8727548120.939014,19887652784.497322,38004286633.99601,1416583444.1424077,11764641629.311773,1424139514.335988,974848174.4216539,10002801646.466717,7475844904.025374,20794179367.308556,22697203901.740364,9226129636.05824,4089388801.886013,13499944245.386515,6348802746.793402,3661029899.810526,849418213.4303075,55780133846.65877,3364253824.255186,21241284347.90891,2191490972.372106,3169141931.518957,6454043665.812676,1624834752.4469426,18726472716.321747,43471298433.204796,43471298433.204796
