upstream,downstream,upstream_m3_per_MWh,downstream_m3_per_MWh,energy_equivalent_transfer_factor_for_equal_water,archived_efficiency2,status
Sanxia,Gezhouba,4300.0,20900.0,0.20574162679425836,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Longyangxia,Laxiwa,3295.0,1915.0,1.720626631853786,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Laxiwa,Lijiaxia,1915.0,3230.0,0.5928792569659442,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Lijiaxia,Gongboxia,3230.0,3760.0,0.8590425531914894,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Gongboxia,Jishixia,3760.0,6270.0,0.5996810207336523,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Luding,Pubugou,5970.0,2490.0,2.397590361445783,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Pubugou,Shenxigou,2490.0,12210.0,0.20393120393120392,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Shenxigou,Gongzui,12210.0,8605.0,1.4189424753050552,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Gongzui,Tongjiezi,8605.0,11570.0,0.743733794295592,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Xiluodu,Xiangjiaba,2055.0,3635.0,0.5653370013755158,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Jinping1,Jinping2,1965.0,1330.0,1.4774436090225564,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Jinping2,Guandi,1330.0,3410.0,0.39002932551319647,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Guandi,Ertan,3410.0,2455.0,1.3890020366598779,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Ahai,Jinanqiao,4025.0000000000005,3450.0,1.1666666666666667,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Jinanqiao,Longkaikou,3450.0,5730.0,0.6020942408376964,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Longkaikou,Ludila,5730.0,4825.0,1.1875647668393783,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Gongguoqiao,Xiaowan,7120.0,1850.0,3.848648648648649,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Xiaowan,Manwan,1850.0,4660.0,0.3969957081545064,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Nuozhadu,Jinghong,2095.0,6580.0,0.3183890577507599,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
Lubuge,Tianshengqiao2,1320.0,2170.0,0.6082949308755761,1.0,"constant specific-water dimensional check, not a generation-bias estimate"
