Dam_names,Lat,Lon,River,Province,Basin_level,installed_capacity_10MW,Annual_generation_100million_Kwh,Water_consumption_factor_m3_kwh,Annual_flow_consumption_100million_m3,Annual_generation_100million_Kwh.1,Water_consumption_factor_m3_kwh.1,Annual_flow_consumption_100million_m3.1,Annual_generation_100million_Kwh.2,Water_consumption_factor_m3_kwh.2,Annual_flow_consumption_100million_m3.2,Annual_generation_100million_Kwh.3,Water_consumption_factor_m3_kwh.3,Annual_flow_consumption_100million_m3.3,Annual_generation_100million_Kwh.4,Water_consumption_factor_m3_kwh.4,Annual_flow_consumption_100million_m3.4,Annual_generation_100million_Kwh.5,Water_consumption_factor_m3_kwh.5,Annual_flow_consumption_100million_m3.5,Annual_generation_100million_Kwh.6,Water_consumption_factor_m3_kwh.6,Annual_flow_consumption_100million_m3.6,Water_consumption_factor_avg,total_m3,initial_m3,effective_m3,capacity_MW,specific_water_m3_per_MWh,initial_exceeds_effective,dead_storage_subtraction_candidate_m3,dead_storage_subtraction_negative,status
Sanxia,30.8208,111.0037,yangtze,Hubei,4.0,2250.0,798.53,4.6,3667.1,843.7,4.45,3713.37,782.93,4.3,3374.29,981.07,4.27,4191.67,828.27,4.4,3643.92,988.19,4.31,4262.87,870.07,4.29,3721.25,4.3,39300000000.0,35781000000.0,22150000000.0,22500.0,4300.0,True,18631000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Xiluodu,28.2596,103.6493,jinsha,Sichuan,5.0,1386.0,,,,,,,,,,,,,111.8,2.44,270.86,494.94,2.08,1028.49,551.66,2.03,1220.44,2.055,12670000000.0,10023000000.0,6459999999.999999,13860.0,2055.0,True,3812999999.999999,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Xiangjiaba,28.6452,104.3924,jinsha,Sichuan,5.0,640.0,,,,,,,,,,15.72,4.89,73.26,183.78,4.14,734.55,287.65,3.66,1052.18,307.46,3.61,1110.07,3.635,5163000000.0,4909000000.0,900000000.0,6400.0,3635.0,True,646000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Nuozhadu,22.6344,100.433,lancang,Yunnan,4.0,585.0,,,,,,,,,,30.48,2.35,72.36,,,,223.17,2.04,454.93,205.66,2.15,442.6,2.095,23700000000.0,19809000000.0,11300000000.0,5850.0,2095.0,True,7409000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Jinping2,28.253,101.6439,yalong,Sichuan,5.0,480.0,,,,,,,,,,,,,103.91,1.33,139.26,199.75,1.33,265.39,232.45,1.33,308.8,1.33,14000000.000000002,12000000.0,5000000.0,4800.0,1330.0,True,2999999.999999998,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Gezhouba,30.7388,111.2713,yangtze,Hubei,4.0,273.5,161.71,20.6,3336.85,162.41,21.1,3426.17,162.64,19.8,3221.43,166.42,22.1,3671.06,158.6,20.6,3271.74,177.94,21.5,3821.13,179.72,20.3,3658.18,20.9,1580000000.0,683000000.0,1000000000.0,2735.0,20900.0,False,103000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Xiaowan,24.705,100.0914,lancang,Yunnan,4.0,420.0,,,,143.79,2.09,30.12,158.52,1.91,302.72,187.22,1.8,336.72,,,,173.17,1.8,312.57,145.06,1.9,275.45,1.85,15040000000.0,11885000000.0,10000000000.0,4200.0,1850.0,True,6845000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Jinping1,28.2256,101.6431,yalong,Sichuan,5.0,360.0,,,,,,,,,,,,,25.48,2.21,59.36,162.67,1.93,314.6,168.43,2.0,336.69,1.965,7759999999.999999,7744000000.0,4900000000.0,3600.0,1965.0,True,4884000000.000001,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Pubugou,29.2094,102.8364,dadu,Sichuan,5.0,360.0,,,,101.79,2.45,249.57,134.94,2.62,353.54,171.44,2.06,353.04,132.61,2.72,354.43,133.05,2.33,309.77,131.03,2.65,348.13,2.49,5390000000.0,4007000000.0,3800000000.0,3600.0,2490.0,True,2417000000.0,False,"source audit only; vintage, initial storage reference and site mapping need verification"
Ertan,26.8217,101.7803,yalong,Sichuan,5.0,330.0,150.52,2.33,350.45,157.86,2.29,361.52,143.92,2.38,341.83,137.04,2.36,323.37,152.22,2.36,359.77,129.33,2.43,313.89,135.54,2.48,336.8,2.455,5800000000.0,5743000000.0,3370000000.0000005,3300.0,2455.0,True,3313000000.0000005,False,"source audit only; vintage, initial storage reference and site mapping need verification"
