,implied_m3_per_kWh_min,implied_m3_per_kWh_max,average_factor_in_dam_csv,days_exactly_100000_m3,zero_energy_days,zero_energy_and_100000_m3_days,relative_factor_difference_vs_dam_average
Sanxia,4.289999999999999,4.290000000000001,4.3,0,0,0,-0.0023255813953487747
Xiluodu,2.0299999999999994,2.0300000000000002,2.055,0,0,0,-0.012165450121654708
Xiangjiaba,3.609999999999999,3.6100000000000003,3.635,0,0,0,-0.00687757909215958
Nuozhadu,2.1499999999999995,2.1500000000000004,2.095,0,0,0,0.026252983293555854
Jinping2,1.3299999999999998,1.3300000000000003,1.33,0,0,0,0.0
Gezhouba,20.299999999999997,20.300000000000004,20.9,0,0,0,-0.028708133971291794
Xiaowan,1.8999999999999995,1.9000000000000001,1.85,0,0,0,0.027027027027026973
Jinping1,1.9999999999999998,2.0000000000000004,1.965,0,0,0,0.01781170483460559
Pubugou,2.6499999999999995,2.6500000000000004,2.49,0,0,0,0.06425702811244971
Ertan,2.4799999999999995,2.4800000000000004,2.455,0,0,0,0.010183299389002087
Guandi,3.3699999999999997,3.370000000000001,3.41,0,0,0,-0.011730205278592365
Laxiwa,1.9099999999999995,78.37141179911987,1.915,2516,1477,1477,-0.0026109660574412663
Jinanqiao,3.4499999999999997,3.450000000000001,3.45,0,0,0,0.0
Goupitan,2.1699999999999995,2.1700000000000004,2.19,0,0,0,-0.0091324200913242
Jinghong,6.669999999999998,6.670000000000001,6.58,0,0,0,0.013677811550151908
Ahai,4.839999999999999,4.840000000000001,4.025,0,0,0,0.20248447204968922
Tianshengqiao2,2.1699999999999995,7.094463728782157,2.17,37,0,0,0.0
Manwan,4.679999999999999,4.680000000000001,4.66,0,0,0,0.0042918454935620964
Wuqiangxi,8.249999999999998,258.0763776217162,8.235,183,85,85,0.0018214936247724633
Lijiaxia,3.2399999999999993,123.62701019826207,3.23,2469,1477,1477,0.0030959752321984
Longkaikou,5.639999999999998,5.640000000000001,5.73,0,0,0,-0.015706806282722696
Longyangxia,3.299999999999999,125.24336124770993,3.295,2463,1477,1477,0.0015174506828528056
Gongboxia,3.759999999999999,86.46694675020173,3.76,3902,2750,2750,0.0
Ludila,4.749999999999999,4.750000000000001,4.825,0,0,0,-0.015544041450777257
Shatuo,5.509999999999999,5.510000000000001,5.75,0,0,0,-0.04173913043478261
Gongzui,8.439999999999998,8.440000000000001,8.605,0,0,0,-0.019174898314933242
Gongguoqiao,7.029999999999999,32.325840704591435,7.12,1014,765,765,-0.012640449438202195
Silin,5.889999999999998,5.890000000000001,5.87,0,0,0,0.0034071550255536653
Wujiangdu,3.399999999999999,3.845672465420709,3.425,2,0,0,-0.007299270072992692
Luding,6.009999999999998,6.010000000000001,5.97,0,0,0,0.00670016750418756
Ruilijiang1,1.2999999999999998,458.4026702887627,1.295,895,14,14,0.0038610038610038533
Dongjing,3.359999999999999,4.745397390116134,3.3,17,0,0,0.0181818181818183
Jishixia,6.229999999999999,164.99606454862413,6.27,4105,2750,2750,-0.006379585326953596
Changzhou,38.65999999999999,38.66000000000001,38.48,0,0,0,0.004677754677754775
Shuibuya,2.2499999999999996,2.4824165150678166,2.23,2,0,0,0.008968609865470878
Tongjiezi,11.429999999999998,11.430000000000001,11.57,0,0,0,-0.012100259291270565
Guangzhao,2.7699999999999996,7.009678777118257,2.695,182,0,0,0.02782931354359941
Dongfeng,3.3299999999999996,5.093974220121639,3.3,19,0,0,0.00909090909090926
Sanbanxi,2.8499999999999996,8.253250472716442,2.89,5,0,0,-0.01384083044982698
Lubuge,1.3199999999999998,36.47573693339726,1.32,1640,1,1,0.0
Shenxigou,12.039999999999996,12.040000000000003,12.21,0,0,0,-0.013923013923014094
Baihetan,1.8720748829999996,1.8720748830000005,1.872074883,0,0,0,0.0
Wudongde,3.3290521448999995,3.329052144900001,3.3290521449,0,0,0,0.0
