Province,archive_labeled_2020_MW,official_2021_first_loaded_MWe,official_2020_first_loaded_MWe,archive_minus_rounded_official_2021_MW,archive_minus_official_2020_MW
Anhui,0,0.0,0.0,0.0,0.0
Beijing,0,0.0,0.0,0.0,0.0
Chongqing,0,0.0,0.0,0.0,0.0
Fujian,11034,11034.0,9862.0,0.0,1172.0
Gansu,0,0.0,0.0,0.0,0.0
Guangdong,16136,16136.0,16136.0,0.0,0.0
Guangxi,2172,2172.0,2172.0,0.0,0.0
Guizhou,0,0.0,0.0,0.0,0.0
Hainan,1300,1300.0,1300.0,0.0,0.0
Hebei,0,0.0,0.0,0.0,0.0
Heilongjiang,0,0.0,0.0,0.0,0.0
Henan,0,0.0,0.0,0.0,0.0
Hubei,0,0.0,0.0,0.0,0.0
Hunan,0,0.0,0.0,0.0,0.0
InnerMongolia,0,0.0,0.0,0.0,0.0
Jiangsu,6608,6608.0,5490.0,0.0,1118.0
Jiangxi,0,0.0,0.0,0.0,0.0
Jilin,0,0.0,0.0,0.0,0.0
Liaoning,5594,5593.95,4475.16,0.0,1118.8400000000001
Ningxia,0,0.0,0.0,0.0,0.0
Qinghai,0,0.0,0.0,0.0,0.0
Shaanxi,0,0.0,0.0,0.0,0.0
Shandong,2717,2717.0,2506.0,0.0,211.0
Shanghai,0,0.0,0.0,0.0,0.0
Shanxi,0,0.0,0.0,0.0,0.0
Sichuan,0,0.0,0.0,0.0,0.0
Tianjin,0,0.0,0.0,0.0,0.0
Tibet,0,0.0,0.0,0.0,0.0
Xinjiang,0,0.0,0.0,0.0,0.0
Yunnan,0,0.0,0.0,0.0,0.0
Zhejiang,9086,9086.0,9086.0,0.0,0.0
