plant,unit,rated_MWe_2020,rated_MWe_2021,_merge
三门核电厂,1号机组,1251.0,1251.0,both
三门核电厂,2号机组,1251.0,1251.0,both
台山核电厂,1号机组,1750.0,1750.0,both
台山核电厂,2号机组,1750.0,1750.0,both
大亚湾核电厂,1号机组,984.0,984.0,both
大亚湾核电厂,2号机组,984.0,984.0,both
宁德核电厂,1号机组,1089.0,1089.0,both
宁德核电厂,2号机组,1089.0,1089.0,both
宁德核电厂,3号机组,1089.0,1089.0,both
宁德核电厂,4号机组,1089.0,1089.0,both
岭澳核电厂,1号机组,990.0,990.0,both
岭澳核电厂,2号机组,990.0,990.0,both
岭澳核电厂,3号机组,1086.0,1086.0,both
岭澳核电厂,4号机组,1086.0,1086.0,both
方家山核电厂,1号机组,1089.0,1089.0,both
方家山核电厂,2号机组,1089.0,1089.0,both
昌江核电厂,1号机组,650.0,650.0,both
昌江核电厂,2号机组,650.0,650.0,both
海阳核电厂,1号机组,1253.0,1253.0,both
海阳核电厂,2号机组,1253.0,1253.0,both
田湾核电站,1号机组,1060.0,1060.0,both
田湾核电站,2号机组,1060.0,1060.0,both
田湾核电站,3号机组,1126.0,1126.0,both
田湾核电站,4号机组,1126.0,1126.0,both
田湾核电站,5号机组,1118.0,1118.0,both
田湾核电站,6号机组,,1118.0,left_only
石岛湾核电厂,1号机组,,211.0,left_only
福清核电厂,1号机组,1089.0,1089.0,both
福清核电厂,2号机组,1089.0,1089.0,both
福清核电厂,3号机组,1089.0,1089.0,both
福清核电厂,4号机组,1089.0,1089.0,both
福清核电厂,5号机组,1150.0,1161.0,both
福清核电厂,6号机组,,1161.0,left_only
秦山核电厂,1号机组,330.0,330.0,both
秦山第三核电厂,1号机组,728.0,728.0,both
秦山第三核电厂,2号机组,728.0,728.0,both
秦山第二核电厂,1号机组,650.0,650.0,both
秦山第二核电厂,2号机组,650.0,650.0,both
秦山第二核电厂,3号机组,660.0,660.0,both
秦山第二核电厂,4号机组,660.0,660.0,both
红沿河核电厂,1号机组,1118.79,1118.79,both
红沿河核电厂,2号机组,1118.79,1118.79,both
红沿河核电厂,3号机组,1118.79,1118.79,both
红沿河核电厂,4号机组,1118.79,1118.79,both
红沿河核电厂,5号机组,,1118.79,left_only
防城港核电厂,1号机组,1086.0,1086.0,both
防城港核电厂,2号机组,1086.0,1086.0,both
阳江核电厂,1号机组,1086.0,1086.0,both
阳江核电厂,2号机组,1086.0,1086.0,both
阳江核电厂,3号机组,1086.0,1086.0,both
阳江核电厂,4号机组,1086.0,1086.0,both
阳江核电厂,5号机组,1086.0,1086.0,both
阳江核电厂,6号机组,1086.0,1086.0,both
