plant,unit,province,rated_MWe,gross_generation_100million_kWh,net_generation_100million_kWh,year,first_grid_connection_in_2020,scope,method
秦山核电厂,1号机组,Zhejiang,330.0,26.82,24.97,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
大亚湾核电厂,1号机组,Guangdong,984.0,87.86,83.98,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
大亚湾核电厂,2号机组,Guangdong,984.0,78.15,74.75,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
秦山第二核电厂,1号机组,Zhejiang,650.0,55.66,52.28,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
秦山第二核电厂,2号机组,Zhejiang,650.0,52.02,48.68,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
秦山第二核电厂,3号机组,Zhejiang,660.0,50.63,47.46,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
秦山第二核电厂,4号机组,Zhejiang,660.0,56.24,52.66,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
岭澳核电厂,1号机组,Guangdong,990.0,78.88,75.57,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
岭澳核电厂,2号机组,Guangdong,990.0,73.21,70.07,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
岭澳核电厂,3号机组,Guangdong,1086.0,80.34,75.43,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
岭澳核电厂,4号机组,Guangdong,1086.0,78.09,73.34,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
秦山第三核电厂,1号机组,Zhejiang,728.0,60.68,56.15,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
秦山第三核电厂,2号机组,Zhejiang,728.0,55.96,51.61,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
田湾核电站,1号机组,Jiangsu,1060.0,79.96,74.14,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
田湾核电站,2号机组,Jiangsu,1060.0,83.7,77.87,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
田湾核电站,3号机组,Jiangsu,1126.0,77.41,71.65,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
田湾核电站,4号机组,Jiangsu,1126.0,83.37,77.0,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
田湾核电站,5号机组,Jiangsu,1118.0,30.95,28.79,2020,2020-08-08,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
红沿河核电厂,1号机组,Liaoning,1118.79,84.41,79.04,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
红沿河核电厂,2号机组,Liaoning,1118.79,83.07,77.93,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
红沿河核电厂,3号机组,Liaoning,1118.79,74.33,69.64,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
红沿河核电厂,4号机组,Liaoning,1118.79,85.22,79.89,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
宁德核电厂,1号机组,Fujian,1089.0,79.61,74.49,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
宁德核电厂,2号机组,Fujian,1089.0,86.4,80.79,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
宁德核电厂,3号机组,Fujian,1089.0,83.59,78.1,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
宁德核电厂,4号机组,Fujian,1089.0,77.92,73.01,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
福清核电厂,1号机组,Fujian,1089.0,89.55,83.3,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
福清核电厂,2号机组,Fujian,1089.0,83.78,78.11,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
福清核电厂,3号机组,Fujian,1089.0,78.5,73.31,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
福清核电厂,4号机组,Fujian,1089.0,71.74,67.11,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
福清核电厂,5号机组,Fujian,1150.0,1.46,1.27,2020,2020-11-27,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
阳江核电厂,1号机组,Guangdong,1086.0,86.66,81.23,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
阳江核电厂,2号机组,Guangdong,1086.0,69.55,65.4,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
阳江核电厂,3号机组,Guangdong,1086.0,70.33,66.0,2020,,"first-fuel-loaded operating fleet, not commercial-only fleet",manual transcription of visually reviewed official table image
