plant,unit,rated_MWe,gross_generation_100million_kWh,net_generation_100million_kWh,utilization_hours,capability_factor_percent,province,year,scope
秦山核电厂,1号机组,330.0,27.45,25.6,8317.75,90.72,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
大亚湾核电厂,1号机组,984.0,77.59,74.22,7885.16,88.92,Guangdong,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
大亚湾核电厂,2号机组,984.0,87.08,83.21,8849.59,99.98,Guangdong,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
秦山第二核电厂,1号机组,650.0,53.41,50.24,8216.58,92.15,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
秦山第二核电厂,2号机组,650.0,57.73,54.07,8880.97,99.91,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
秦山第二核电厂,3号机组,660.0,51.06,47.88,7736.65,88.18,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
秦山第二核电厂,4号机组,660.0,52.09,48.83,7892.15,89.13,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
岭澳核电厂,1号机组,990.0,77.63,74.42,7841.41,89.67,Guangdong,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
岭澳核电厂,2号机组,990.0,85.02,81.43,8587.88,99.98,Guangdong,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
岭澳核电厂,3号机组,1086.0,77.69,73.12,7153.78,83.4,Guangdong,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
岭澳核电厂,4号机组,1086.0,78.33,73.71,7212.71,86.11,Guangdong,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
秦山第三核电厂,1号机组,728.0,54.87,50.74,7537.47,89.52,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
秦山第三核电厂,2号机组,728.0,60.84,56.08,8356.81,98.61,Zhejiang,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
田湾核电站,1号机组,1060.0,81.29,75.96,7669.23,90.13,Jiangsu,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
田湾核电站,2号机组,1060.0,85.59,79.72,8074.81,93.5,Jiangsu,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
田湾核电站,3号机组,1126.0,85.89,79.96,7628.08,93.38,Jiangsu,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
田湾核电站,4号机组,1126.0,93.0,86.1,8259.09,95.87,Jiangsu,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
田湾核电站,5号机组,1118.0,80.48,75.38,7198.65,85.95,Jiangsu,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
田湾核电站,6号机组,1118.0,58.9,55.31,5268.26,99.99,Jiangsu,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
红沿河核电厂,1号机组,1118.79,95.65,89.81,8549.01,99.99,Liaoning,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
红沿河核电厂,2号机组,1118.79,87.12,81.95,7787.19,91.26,Liaoning,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
红沿河核电厂,3号机组,1118.79,84.6,79.44,7561.9,88.16,Liaoning,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
红沿河核电厂,4号机组,1118.79,88.59,83.28,7918.61,92.9,Liaoning,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
红沿河核电厂,5号机组,1118.79,40.28,37.79,3600.58,99.97,Liaoning,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
宁德核电厂,1号机组,1089.0,85.92,80.57,7889.38,92.56,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
宁德核电厂,2号机组,1089.0,85.64,80.57,7864.37,90.7,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
宁德核电厂,3号机组,1089.0,86.39,81.29,7933.37,95.06,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
宁德核电厂,4号机组,1089.0,94.99,89.12,8722.82,99.99,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
福清核电厂,1号机组,1089.0,86.77,81.27,7967.88,92.54,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
福清核电厂,2号机组,1089.0,81.48,76.32,7482.49,88.15,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
福清核电厂,3号机组,1089.0,77.25,72.27,7093.91,90.99,Fujian,2021,"first-fuel-loaded operating fleet, not commercial-only fleet"
