province,province_zh,electricity_2019_100million_kWh,electricity_2020_100million_kWh,official_2020_TWh,source_model_2020_TWh,source_minus_official_TWh,source_relative_difference_pct,annual_scaling_factor,adjusted_annual_TWh,source_peak_hourly_average_MW,adjusted_peak_hourly_average_MW,hourly_shape_status,source_url,source_table
Anhui,安徽,2301,2428,242.8,238.60061199999862,-4.199388000001392,-1.7295667215821209,1.0176000722077,242.80000000000194,46026.128582704,46836.19176920048,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Beijing,北京,1166,1140,114.0,117.9544026999998,3.954402699999804,3.468774298245436,0.9664751581163337,114.00000000000027,23757.637009285143,22961.165985019317,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Chongqing,重庆,1160,1186,118.6,119.56381280000016,0.96381280000017,0.812658347386308,0.9919389255207812,118.59999999999984,26850.93924515022,26634.49182405809,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Fujian,福建,2402,2483,248.3,245.51589069999974,-2.7841093000002672,-1.1212683447443639,1.0113398334098147,248.30000000000027,39284.34308565963,39729.82099186502,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Gansu,甘肃,1288,1376,137.6,131.96065509999957,-5.639344900000424,-4.098361119186356,1.042735047774103,137.6000000000005,18872.76226659215,19679.290663684256,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Guangdong,广东,6696,6926,692.6,681.5122845999979,-11.08771540000214,-1.6008829627493726,1.0162692817877963,692.6000000000033,119230.16301804912,121169.95213779465,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Guangxi,广西,1907,2029,202.9,196.81205089999986,-6.087949100000145,-3.0004677673731606,1.0309328065642354,202.89999999999947,35214.9079818288,36304.20391860806,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Guizhou,贵州,1541,1586,158.6,158.72939680000002,0.1293968000000234,0.08158688524591007,0.9991847962468914,158.60000000000008,31280.60889202608,31255.10882225778,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Hainan,海南,355,363,36.3,36.6292017200001,0.32920172000009984,0.9068917906338791,0.9910125881935246,36.29999999999991,6093.561972474845,6038.796621659934,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Hebei,河北,3856,3934,393.4,410.07095760000124,16.67095760000126,4.237660803254006,0.95934616365526,393.3999999999997,64585.99520010185,61960.32672107474,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Heilongjiang,黑龙江,996,1014,101.4,102.23607889999951,0.8360788999995066,0.8245354043387554,0.9918220758366789,101.40000000000042,16053.53518893236,15922.250595604064,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Henan,河南,3364,3392,339.2,368.23099579999945,29.03099579999946,8.558666214622491,0.9211609122232411,339.2000000000007,72518.3677838987,66801.08582075663,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Hubei,湖北,2214,2144,214.4,238.41316710000032,24.013167100000317,11.200171222015065,0.8992791908597556,214.40000000000026,45111.4076937423,40567.75020937313,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Hunan,湖南,1864,1929,192.9,189.99301110000056,-2.9069888999994475,-1.5069926905129316,1.015300504387866,192.89999999999907,37638.37331889728,38214.2594150152,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
InnerMongolia,内蒙古,3653,3900,390.0,378.79548370000015,-11.204516299999852,-2.8729528974358542,1.0295793291687545,390.0000000000005,51098.93151413851,52610.403629566856,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Jiangsu,江苏,6264,6374,637.4,637.1579065,-0.24209350000000995,-0.037981408848453135,1.0003799584020385,637.3999999999982,109786.26860389876,109827.98281908326,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Jiangxi,江西,1536,1627,162.7,159.43209640000026,-3.267903599999727,-2.00854554394575,1.0204971500330828,162.6999999999996,28655.927353870557,29243.292196179962,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Jilin,吉林,780,805,80.5,78.74752779000013,-1.7524722099998655,-2.1769841118010724,1.022254313997936,80.49999999999967,12497.231533012031,12775.348847652589,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Liaoning,辽宁,2401,2423,242.3,257.4624730000008,15.162473000000773,6.2577271976891335,0.9411080270327368,242.29999999999913,36798.972275366876,34631.8081949029,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Ningxia,宁夏,1084,1038,103.8,111.99379620000006,8.193796200000065,7.893830635838217,0.9268370527831071,103.79999999999981,15339.574594851983,14217.286108439237,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Qinghai,青海,716,742,74.2,73.97238515999994,-0.22761484000005794,-0.3067585444744725,1.0030770244802534,74.20000000000037,9473.76355435903,9502.914556735925,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Shaanxi,陕西,1912,1741,174.1,198.3117353000008,24.21173530000081,13.906797989661591,0.8779107284630739,174.09999999999906,33856.83742996619,29723.280811597484,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
Shandong,山东,6219,6940,694.0,701.666775299999,7.666775299999017,1.104722665705915,0.9890734810740881,694.000000000001,118094.07317577257,116803.71605017947,reconstructed_2018_shape_reused_in_source_2020_not_observed_2020,https://www.stats.gov.cn/sj/ndsj/2021/html/C09-14.jpg,"China Statistical Yearbook 2021, table 9-14; underlying source CEC"
