province,code,official_2020_TWh,anchored_peak_MW,load_anchor_abs_dev_pct,wind_MW_archive,solar_MW_archive,re_over_peak,coal_MW_archive,gas_MW_archive,nuclear_MW_archive_2021vintage,other_hydro_MW_archive,large_dam_MW_archive,hydro_share_of_firm,interconnection_MW_rebuilt_unverified,interconnection_over_peak,transmission_conflict_flag,compute_hub,grid_note,archetype
Guizhou,GZ,158.6,31255,0.08,5800.0,10570.0,0.52,35600.0,0.0,0.0,11385.0,11385.0,0.39,11640,0.37,False,贵州枢纽（贵安集群）,,C_hydro-mixed_hub
Sichuan,SC,286.5,52619,5.52,4260.0,1910.0,0.12,15959.999999998,700.0,0.0,67185.0,67185.0,0.89,56300,1.07,False,成渝枢纽（天府集群）,,C_hydro-mixed_hub
Jiangsu,JS,637.4,109828,0.04,15470.0,16840.0,0.29,100790.0,6034.0,6608.0,0.0,0.0,0.0,39500,0.36,False,长三角枢纽,,B_load-centre_hub
Zhejiang,ZJ,483.0,85376,0.78,1860.0,15170.0,0.2,63580.00002,4310.0,9086.0,0.0,0.0,0.0,44000,0.52,False,长三角枢纽,,B_load-centre_hub
Guangdong,GD,692.6,121170,1.6,5650.0,7970.0,0.11,95820.0,28517.0,16136.0,0.0,0.0,0.0,51900,0.43,False,粤港澳大湾区枢纽（韶关集群）,,B_load-centre_hub
InnerMongolia,NM,390.0,52610,2.87,37860.0,12370.0,0.95,93740.0,300.0,0.0,0.0,0.0,0.0,62950,1.2,False,内蒙古枢纽（和林格尔集群）,蒙西电网独立运行，蒙东属东北电网；省级建模需拆分,A_RE-rich_hub_low_hydro
Gansu,GS,137.6,19679,4.1,13730.0,9820.0,1.2,23080.0,0.0,0.0,0.0,0.0,0.0,29300,1.49,False,甘肃枢纽（庆阳集群）,,A_RE-rich_hub_low_hydro
Hebei,HE,393.4,61960,4.24,22740.0,21900.0,0.72,53910.0,800.0,0.0,0.0,0.0,0.0,22350,0.36,False,京津冀枢纽（张家口集群）,,A_RE-rich_hub_low_hydro
Ningxia,NX,103.8,14217,7.89,13770.0,11970.0,1.81,33259.999998,0.0,0.0,0.0,0.0,0.0,19000,1.34,False,宁夏枢纽（中卫集群）,,A_RE-rich_hub_low_hydro
Shanghai,SH,157.6,30579,0.06,820.0,1370.0,0.07,24500.0,11022.0,0.0,0.0,0.0,0.0,34900,1.14,False,长三角枢纽,,
Qinghai,QH,74.2,9503,0.31,8430.0,16010.0,2.57,4277.0,300.0,0.0,8917.0,8917.0,0.8,12900,1.36,False,,,
Chongqing,CQ,118.6,26634,0.81,970.0,670.0,0.06,15450.0,940.0,0.0,0.0,0.0,0.0,13640,0.51,False,成渝枢纽（重庆集群）,,
Heilongjiang,HL,101.4,15922,0.82,6860.0,3180.0,0.63,41663.32,0.0,0.0,0.0,0.0,0.0,3200,0.2,True,,,
Hainan,HI,36.3,6039,0.91,290.0,1430.0,0.28,5460.0,2364.0,1300.0,0.0,0.0,0.0,1200,0.2,False,,海南通过联网工程与广东相连,
Shandong,SD,694.0,116804,1.1,17950.0,22720.0,0.35,111350.0,0.0,2717.0,0.0,0.0,0.0,67500,0.58,False,,,
Fujian,FJ,248.3,39730,1.12,4860.0,2020.0,0.17,34780.0,3740.0,11034.0,0.0,0.0,0.0,10500,0.26,False,,,
Xinjiang,XJ,309.9,40142,1.12,23610.0,12660.0,0.9,63370.0,0.0,0.0,0.0,0.0,0.0,35000,0.87,False,,新疆主要经哈密—郑州特高压外送,
Hunan,HN,192.9,38214,1.51,6690.0,3910.0,0.28,22690.0,0.0,0.0,1200.0,1200.0,0.1,12400,0.32,True,,,
Anhui,AH,242.8,46836,1.73,4120.0,13700.0,0.38,55610.0,0.0,0.0,0.0,0.0,0.0,34000,0.73,False,长三角枢纽（芜湖集群）,,
Jiangxi,JX,162.7,29243,2.01,5100.0,7760.0,0.44,24550.0,0.0,0.0,0.0,0.0,0.0,11000,0.38,False,,,
Jilin,JL,80.5,12775,2.18,5770.0,3380.0,0.72,21085.4,0.0,0.0,0.0,0.0,0.0,16900,1.32,False,,,
Shanxi,SX,234.2,36032,2.44,19740.0,13090.0,0.91,68780.0,0.0,0.0,0.0,0.0,0.0,49300,1.37,False,,,
Guangxi,GX,202.9,36304,3.0,6530.0,2050.0,0.24,23440.0,0.0,2172.0,630.0,630.0,0.05,6900,0.19,False,,,
Beijing,BJ,114.0,22961,3.47,190.0,620.0,0.04,11359.999998,9458.0,0.0,0.0,0.0,0.0,56700,2.47,False,,,
Liaoning,LN,242.3,34632,6.26,9810.0,4000.0,0.4,45939.45,0.0,5594.0,0.0,0.0,0.0,18700,0.54,False,,,
Tibet,XZ,8.2,1728,7.17,10.0,1370.0,0.8,430.0,284.0,0.0,0.0,0.0,0.0,2300,1.33,False,,西藏电网与西南主网弱联,
Yunnan,YN,202.5,30510,7.89,8810.0,3880.0,0.42,15170.0,0.0,0.0,23930.0,23930.0,0.76,42000,1.38,False,,,
Henan,HA,339.2,66801,8.56,15180.0,11750.0,0.4,70680.0,3060.0,0.0,0.0,0.0,0.0,22110,0.33,True,,,
Hubei,HB,214.4,40568,11.2,5020.0,6980.0,0.3,33160.0,0.0,0.0,27075.0,27075.0,0.62,43600,1.07,True,,,
Tianjin,TJ,87.5,15767,11.53,850.0,1640.0,0.16,16680.0,3327.0,0.0,0.0,0.0,0.0,11000,0.7,False,,,
Shaanxi,SN,174.1,29723,13.91,8920.0,10890.0,0.67,49930.0,0.0,0.0,0.0,0.0,0.0,30210,1.02,False,,,
