province,export,ai_share,slack_mult,slack_base_h,cost_S0,cost_S0e,cost_S1,cost_S2,cost_S3,cost_S1rt,gap_S0e_S2_pct,gap_S1rt_S2_pct,red_S0_S2_pct,red_S0_S0e_pct,share_S0e,share_S1,share_S3,share_S1rt,timing_share_S1,timing_share_S1rt,permwh_S0,permwh_S2,ai_mwh_S0,ai_mwh_S2,gap_S0_S2_pct,gap_S1_S2_pct,gap_S3_S2_pct,co2_S0,co2_S0e,co2_S1,co2_S1rt,co2_S2,co2_S3,curtail_NOAI,curtail_S2,inv_S0,inv_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2,new_solar_S0,new_solar_S2,s3_system_saving_vs_S1,s3_compensation_floor,s3_mean_commitment_mw,peak_2030
Gansu,False,0.05,1.0,6.0,4716345.959,4081179.19,4101238.265,4075821.245,4101238.265,4077055.095,0.131,0.03,13.581,13.467,0.992,0.96,0.96,0.998,-3.744,0.77,27.376,27.174,172281.795,149991.878,15.715,0.624,0.624,172072.948,148879.065,149604.986,148693.878,148646.419,149604.986,0.012,0.001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.05,3.0,24.0,4716345.959,3757311.489,3781838.298,3753117.229,3781838.298,3753656.164,0.112,0.014,20.423,20.334,0.996,0.97,0.97,0.999,-5.848,0.872,27.376,27.088,172281.795,138554.696,25.665,0.765,0.765,172072.948,137061.741,137953.049,136875.959,136854.591,137953.049,0.012,0.001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.1,1.0,6.0,9391522.107,8113526.868,8157286.218,8106915.971,8157286.218,8110766.994,0.082,0.048,13.678,13.608,0.995,0.961,0.961,0.997,-6.619,0.417,27.256,27.06,344563.591,299589.54,15.846,0.621,0.621,342573.51,295891.712,297483.292,295748.501,295604.381,297483.292,0.025,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.1,3.0,24.0,9391522.107,7461038.02,7510091.638,7453211.473,7510091.638,7459867.58,0.105,0.089,20.639,20.556,0.996,0.971,0.971,0.997,-6.268,0.15,27.256,26.963,344563.591,276420.944,26.006,0.763,0.763,342573.51,272074.642,273857.257,271968.841,271717.576,273857.257,0.025,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.2,1.0,6.0,18494779.71,15929656.365,16017523.573,15917783.142,16017523.573,15924102.525,0.075,0.04,13.934,13.869,0.995,0.961,0.961,0.998,-7.4,0.468,26.838,26.606,689127.181,598274.139,16.189,0.627,0.627,674239.419,580525.332,583721.867,580294.152,580049.308,583721.867,0.068,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.2,3.0,24.0,18494779.71,14606453.685,14705016.216,14592949.874,14705016.216,14604649.451,0.093,0.08,21.097,21.024,0.997,0.971,0.971,0.997,-7.299,0.134,26.838,26.469,689127.181,551318.998,26.738,0.768,0.768,674239.419,532191.774,535774.476,532083.745,531639.025,535774.476,0.068,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,True,0.05,1.0,6.0,5093787.956,4419541.618,4439699.778,4416168.096,4439699.778,4416253.46,0.076,0.002,13.303,13.237,0.995,0.965,0.965,1.0,-5.975,0.975,29.567,29.527,172281.795,149563.953,15.344,0.533,0.533,125794.834,121986.608,116864.646,116850.543,115977.879,116864.646,0.0,0.0,1329154.974,963260.883,0.0,0.0,-0.0,-0.0,1812.007,1313.192,0.0,0.0,0.0,24971.916
Gansu,True,0.05,3.0,24.0,5093787.956,4070915.93,4095626.257,4068155.846,4095626.257,4068187.569,0.068,0.001,20.135,20.081,0.997,0.973,0.973,1.0,-8.953,0.989,29.567,29.541,172281.795,137710.042,25.211,0.675,0.675,125794.834,111502.67,112536.645,111539.442,111539.113,112536.645,0.0,-0.0,1329154.974,754155.673,0.0,0.0,-0.0,-0.0,1812.007,1028.123,0.0,0.0,0.0,24971.916
Gansu,True,0.1,1.0,6.0,10184504.573,8834451.734,8875171.011,8828312.677,8875171.011,8828408.605,0.07,0.001,13.316,13.256,0.995,0.965,0.965,1.0,-6.633,0.984,29.558,29.523,344563.591,299028.392,15.362,0.531,0.531,251639.919,244048.993,241108.372,239330.656,239331.189,241108.372,0.0,0.0,2658309.948,1722161.204,0.0,0.0,-0.0,-0.0,3624.014,2347.783,0.0,0.0,0.0,24971.916
Gansu,True,0.1,3.0,24.0,10184504.573,8137468.824,8185936.062,8131208.178,8185936.062,8131902.08,0.077,0.009,20.161,20.1,0.997,0.973,0.973,1.0,-7.742,0.889,29.558,29.528,344563.591,275371.611,25.252,0.673,0.673,251639.919,223076.724,225160.272,217770.911,223169.654,225160.272,0.0,0.0,2658309.948,1508311.346,0.0,0.0,-0.0,-0.0,3624.014,2056.247,0.0,0.0,0.0,24971.916
