province,export,ai_share,slack_mult,slack_base_h,cost_S0,cost_S0e,cost_S1,cost_S2,cost_S3,cost_S1rt,gap_S0e_S2_pct,gap_S1rt_S2_pct,red_S0_S2_pct,red_S0_S0e_pct,share_S0e,share_S1,share_S3,share_S1rt,timing_share_S1,timing_share_S1rt,permwh_S0,permwh_S2,ai_mwh_S0,ai_mwh_S2,gap_S0_S2_pct,gap_S1_S2_pct,gap_S3_S2_pct,co2_S0,co2_S0e,co2_S1,co2_S1rt,co2_S2,co2_S3,curtail_NOAI,curtail_S2,inv_S0,inv_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2,new_solar_S0,new_solar_S2,s3_system_saving_vs_S1,s3_compensation_floor,s3_mean_commitment_mw,peak_2030
Gansu,False,0.05,1.0,6.0,4716345.959,4081179.19,4101238.265,4075821.245,4101238.265,4077055.095,0.131,0.03,13.581,13.467,0.992,0.96,0.96,0.998,-3.744,0.77,27.376,27.174,172281.795,149991.878,15.715,0.624,0.624,172072.948,148879.065,149604.986,148693.878,148646.419,149604.986,0.012,0.001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.05,3.0,24.0,4716345.959,3757311.489,3781838.298,3753117.229,3781838.298,3753656.164,0.112,0.014,20.423,20.334,0.996,0.97,0.97,0.999,-5.848,0.872,27.376,27.088,172281.795,138554.696,25.665,0.765,0.765,172072.948,137061.741,137953.049,136875.959,136854.591,137953.049,0.012,0.001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.1,1.0,6.0,9391522.107,8113526.868,8157286.218,8106915.971,8157286.218,8110766.994,0.082,0.048,13.678,13.608,0.995,0.961,0.961,0.997,-6.619,0.417,27.256,27.06,344563.591,299589.54,15.846,0.621,0.621,342573.51,295891.712,297483.292,295748.501,295604.381,297483.292,0.025,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.1,3.0,24.0,9391522.107,7461038.02,7510091.638,7453211.473,7510091.638,7459867.58,0.105,0.089,20.639,20.556,0.996,0.971,0.971,0.997,-6.268,0.15,27.256,26.963,344563.591,276420.944,26.006,0.763,0.763,342573.51,272074.642,273857.257,271968.841,271717.576,273857.257,0.025,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.2,1.0,6.0,18494779.71,15929656.365,16017523.573,15917783.142,16017523.573,15924102.525,0.075,0.04,13.934,13.869,0.995,0.961,0.961,0.998,-7.4,0.468,26.838,26.606,689127.181,598274.139,16.189,0.627,0.627,674239.419,580525.332,583721.867,580294.152,580049.308,583721.867,0.068,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,False,0.2,3.0,24.0,18494779.71,14606453.685,14705016.216,14592949.874,14705016.216,14604649.451,0.093,0.08,21.097,21.024,0.997,0.971,0.971,0.997,-7.299,0.134,26.838,26.469,689127.181,551318.998,26.738,0.768,0.768,674239.419,532191.774,535774.476,532083.745,531639.025,535774.476,0.068,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,True,0.05,1.0,6.0,4790242.944,4160773.138,4179564.507,4155343.687,4179564.507,4155355.649,0.131,0.0,13.254,13.141,0.991,0.962,0.962,1.0,-3.461,0.998,27.805,27.727,172281.795,149863.732,15.279,0.583,0.583,120826.938,121677.109,122354.304,121448.232,121447.795,122354.304,0.003,0.0,1482863.721,829664.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,True,0.05,3.0,24.0,4790242.944,3836905.436,3864009.609,3832843.195,3864009.609,3832843.195,0.106,0.0,19.986,19.902,0.996,0.967,0.967,1.0,-6.672,1.0,27.805,27.689,172281.795,138426.55,24.979,0.813,0.813,120826.938,109859.785,110850.158,109663.79,109663.79,110850.158,0.003,0.0,1482863.721,829664.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,True,0.1,1.0,6.0,9578732.183,8319780.651,8357807.222,8309365.399,8357807.222,8311059.023,0.125,0.02,13.252,13.143,0.992,0.962,0.962,0.999,-3.651,0.837,27.8,27.722,344563.591,299742.873,15.276,0.583,0.583,242134.064,243834.407,245205.638,228156.592,240243.238,245205.638,0.004,0.0,2950790.87,1730707.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24971.916
Gansu,True,0.1,3.0,24.0,9578732.183,7672037.854,7726246.2,7663934.41,7726246.2,7663942.268,0.106,0.0,19.99,19.905,0.996,0.967,0.967,1.0,-6.69,0.999,27.8,27.684,344563.591,276837.622,24.985,0.813,0.813,242134.064,220199.759,222180.505,219810.418,219808.663,222180.505,0.004,0.0,2950790.87,1644391.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24971.916
