province,export,ai_share,slack_mult,slack_base_h,case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh,s3_compensation_floor_expweek,s3_mean_commitment_mw,peak_2030
Gansu,True,0.05,1.0,6.0,NOAI,485936732.29130226,22645421.976340964,0.0,0.0,0.0,-0.0,16855907.09212322,0.0029035379086653364,0.0,685.654118370657,4734.114877602962,0.0,0.0,24971.915675619126
Gansu,True,0.05,1.0,6.0,S0,490490230.26350766,23598320.493537474,0.0,0.0,0.0,-0.0,16987439.59866748,0.0013624196903309594,163380.2023878943,1990.8537122035168,953.0112901772444,0.0,0.0,24971.915675619126
Gansu,True,0.05,1.0,6.0,S1,489839787.3902982,23475086.207079526,0.0,0.0,0.0,-0.0,16968164.54253819,0.0007963583619314805,140369.3937135431,1714.4119672839327,1278.486929918237,0.0,0.0,24971.915675619126
Gansu,True,0.05,1.0,6.0,S2,489808658.85240096,23475086.207079526,0.0,0.0,0.0,-0.0,16966998.96805963,0.0003541137062481109,139800.67097614973,2056.499796330871,1208.5137536261964,0.0,0.0,24971.915675619126
Gansu,True,0.05,1.0,6.0,S1rt,489808669.31096107,23475086.207079526,0.0,0.0,0.0,-0.0,16966999.350205615,0.00035411370624811005,139800.6709761498,2056.499796330872,1220.877299808015,0.0,0.0,24971.915675619126
Gansu,True,0.05,1.0,6.0,S3,489839787.3902982,23475086.207079526,0.0,0.0,0.0,-0.0,16968164.54253819,0.0007963583619314805,140369.3937135431,1714.4119672839327,1278.486929918237,0.0,0.0,24971.915675619126
Gansu,True,0.05,3.0,24.0,NOAI,485936732.29130226,22645421.976340964,0.0,0.0,0.0,-0.0,16855907.09212322,0.0029035379086653364,0.0,685.654118370657,4734.114877602962,0.0,0.0,24971.915675619126
Gansu,True,0.05,3.0,24.0,S0,490490230.26350766,23598320.493537474,0.0,0.0,0.0,-0.0,16987439.59866748,0.0013624196903309646,163380.2023878943,1990.8537122035166,953.0112901772446,0.0,0.0,24971.915675619126
Gansu,True,0.05,3.0,24.0,S1,489629908.05439687,23475086.207079526,0.0,0.0,0.0,-0.0,16960515.067330807,0.0013187341335788086,132557.12204093096,1591.007685796345,1211.9665067335254,0.0,0.0,24971.915675619126
Gansu,True,0.05,3.0,24.0,S2,489618072.6244252,23475086.207079526,0.0,0.0,0.0,-0.0,16960035.043557838,0.0003541137062481109,133041.76586560294,2056.4997963308706,1201.9110074787855,0.0,0.0,24971.915675619126
