province,idle,weather_year,cost_S0,cost_S0e,cost_S1,cost_S1rt,cost_S2,red_S0_S2_pct,red_S0_S0e_pct,gap_S0e_S2_pct,timing_share_S1,gap_S0_S2_pct,gap_S1_S2_pct,gap_S1rt_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0
Gansu,0.41,2015,9116289.829908848,7908279.141931891,7938202.012994319,7896548.807143539,7887036.408566982,13.484141512360814,13.251122008140836,0.26933733108973623,-1.4086167984321774,15.585745489987058,0.6487304201076238,0.12060802161664164,332347.44116740115,287382.1955112582,0.05765072723195633,0.011417299578784406,0.0,0.0,0.0
Gansu,0.41,2016,9034311.410348535,7816231.885974288,7825380.441653371,7778279.924934417,7769704.196773827,13.997826244135636,13.482815336418142,0.598834756409139,-0.19662604862379976,16.27613074510357,0.716581268340466,0.11037393372261839,329292.58952706866,282931.1033465564,0.06906131011664593,0.014034874794467455,0.0,0.0,0.0
Gansu,0.41,2017,8455600.444844514,7308213.9403473735,7328388.27852121,7285519.82191354,7269869.58189106,14.023023801655732,13.569544965865987,0.5274421779426053,-0.5261357598881578,16.310208176320806,0.8049483690315107,0.215275389003744,306770.6930294791,263344.4465506803,0.10472773665834338,0.03056386540078204,0.0,0.0,0.0
Gansu,0.41,2018,8929354.762958199,7704134.99979949,7735058.380563021,7690173.25906679,7685023.241059393,13.93529045413996,13.721257534097642,0.24868836619760248,-1.618029046099884,16.191642925041737,0.6510733661324597,0.06701369463506524,324959.69932771474,279485.79241564684,0.05188045863988473,0.006605074985223237,0.0,0.0,-0.0
Gansu,0.41,2019,9256588.62631774,7992991.101774752,8028080.135226071,7973772.943531305,7969049.7380339205,13.909431868055266,13.650790540160852,0.3004293426174254,-1.4656238396092265,16.156743032218458,0.740745749275673,0.059269369029557595,337462.4800928617,290334.3529472528,0.03594200207615506,0.0012393858380305937,0.0,0.0,-0.0
Gansu,0.41,2020,9222214.245734125,7959351.5069107115,8001564.443181962,7951991.992235482,7951060.609465092,13.783605568012302,13.69370419265168,0.10427410697573247,-5.091479727994402,15.987221060242307,0.6351836087973961,0.011713943788582704,336174.09617235046,289754.8577548815,0.038578737041502234,0.0074187254090606605,0.0,0.0,-0.0
Gansu,0.41,2021,9002125.217950791,7759061.886442274,7796737.035343736,7747694.098460734,7742988.390594423,13.987106342906364,13.808554107087655,0.20758775600613344,-2.343929986238779,16.26163909642264,0.6941589220849531,0.0607737946763276,327831.8257619422,281707.2201810833,0.05691435619388699,0.012408748947427268,0.0,0.0,-0.0
Gansu,0.41,2022,9279062.675056458,8017984.713585526,8058981.657668024,8010866.172891706,8009795.830690354,13.678826071280747,13.590574884906237,0.10223585055433304,-5.006414746347309,15.846431934042272,0.6140709203748873,0.013362914910408641,338286.5130470339,291880.45134180505,0.037926972086672325,0.0034584281109454394,0.0,0.0,-0.0
Gansu,0.41,2023,8783183.488051862,7627435.30481571,7637077.204779714,7588826.508037746,7583471.475442171,13.659193323715824,13.158647827503156,0.579732244209108,-0.21931437960243164,15.820090000928477,0.7068758616833648,0.07061452809462576,319372.3075365061,275496.16638446413,0.07271718332672893,0.021772560679299304,0.0,0.0,-0.0
Gansu,0.41,2024,8985881.553463131,7753162.68777594,7752837.762324542,7708210.824079901,7700422.171895146,14.305323010546168,13.718396557454128,0.6849042130869787,0.00616083187605347,16.693362427057966,0.6806846333789363,0.10114578150248743,327047.27565072663,279981.58056198154,0.05312554847940679,0.009778129706357603,0.0,0.0,-0.0
Gansu,0.25,2015,8581976.971737295,7329182.697920442,7345864.878064871,7303962.113290787,7275651.452790529,15.221731813646667,14.597968253033478,0.7357587904981644,-0.3116344501971477,17.954756731037946,0.9650465766527727,0.3891151285071448,312876.6802043682,265072.5622898489,0.05765072723195633,0.012639773447739476,0.0,0.0,0.0
Gansu,0.25,2016,8494702.660918295,7220628.37652874,7224549.773009658,7156877.820462376,7143958.366518259,15.90101912118037,14.998456511623504,1.073214681230672,-0.05114641931547773,18.90750512671795,1.1281057693324215,0.18084447418769134,309603.1605443638,260068.8968753945,0.06906131011664593,0.014121531152218975,0.0,0.0,0.0
Gansu,0.25,2017,7914527.65263018,6730536.620425284,6754896.325475544,6669983.608276784,6659279.108482331,15.860056332366224,14.95971818117824,1.0700484359063456,-0.34185455520481334,18.849616057524333,1.435849368010711,0.1607456245649619,287059.24617196806,241065.62067708373,0.10472773665834338,0.031543913527211025,0.0,0.0,0.0
Gansu,0.25,2018,8362098.406177521,7097139.177495837,7151001.795700043,7073628.3370346725,7069071.218734205,15.46295109954804,15.127294217767062,0.3970529917317611,-1.9190073158377963,18.291330606722145,1.1590005876402687,0.06446558762047694,304243.4088613661,256994.71511911973,0.05188045863988473,0.0070906295501489535,0.0,0.0,-0.0
Gansu,0.25,2019,8709014.594863713,7399720.659597129,7453472.718466938,7379346.979644626,7371102.989647478,15.362376427814128,15.03377817323629,0.38824135261499304,-1.878282157994658,18.150765320947173,1.1174681582274193,0.11184201345073586,317501.5359339835,268511.62438245025,0.03594200207615506,0.0022158679265037715,0.0,0.0,-0.0
Gansu,0.25,2020,8659071.3825984,7352899.078621328,7419063.090352565,7350406.02054593,7342377.064221561,15.205952927272525,15.08443857619659,0.14330528530113185,-6.2881506541848875,17.932807139433326,1.0444305088155303,0.10935091257424645,315610.0861586882,267521.3939945828,0.038578737041502234,0.007687181132398541,0.0,0.0,-0.0
