province,ext_mode,export,peak_adjusted,ai_share,case,inc_cost,cost_per_ai_mwh,co2_per_ai_mwh,new_ocgt,new_batt,curtail_NOAI,peak_2030
Gansu,price,False,False,0.1,S0,9391522.107318193,27.256281173387258,0.9942243432266484,0.0,-0.0,0.02461485890479624,24971.915675619126
Gansu,price,False,False,0.1,S0e,8113526.8676273525,27.140941329002693,0.9898013180461768,0.0,-0.0,0.02461485890479624,24971.915675619126
Gansu,price,False,False,0.1,S1,8157286.21775955,27.13355967482481,0.9895178902296786,0.0,-0.0,0.02461485890479624,24971.915675619126
Gansu,price,False,False,0.1,S1rt,8110766.994231671,27.066532067782575,0.9869456615575806,0.0,-0.0,0.02461485890479624,24971.915675619126
Gansu,price,False,False,0.1,S2,8106915.970558047,27.060076825816587,0.9866979354707192,0.0,-0.0,0.02461485890479624,24971.915675619126
Gansu,price,False,False,0.1,S3,8157286.21775955,27.13355967482481,0.9895178902296786,0.0,-0.0,0.02461485890479624,24971.915675619126
Gansu,price,False,False,0.2,S0,18494779.709614187,26.8379773930517,0.9783962046507335,0.0,-0.0,0.06837785949706476,24971.915675619126
Gansu,price,False,False,0.2,S0e,15929656.364775538,26.64352234492437,0.9709713317722058,0.0,-0.0,0.06837785949706476,24971.915675619126
Gansu,price,False,False,0.2,S1,16017523.573218256,26.639523250429708,0.9708162543213933,0.0,-0.0,0.06837785949706476,24971.915675619126
Gansu,price,False,False,0.2,S1rt,15924102.524980426,26.618729591054308,0.9700196973816708,0.0,-0.0,0.06837785949706476,24971.915675619126
Gansu,price,False,False,0.2,S2,15917783.141798556,26.606169469493633,0.969537657702618,0.0,-0.0,0.06837785949706476,24971.915675619126
Gansu,price,False,False,0.2,S3,16017523.573218256,26.639523250429708,0.9708162543213933,0.0,-0.0,0.06837785949706476,24971.915675619126
Gansu,price,False,True,0.1,S0,8488611.33942759,27.452759536215652,1.001787401733639,0.0,-0.0,0.017165877620261567,22409.549122888522
Gansu,price,False,True,0.1,S0e,7340650.217204809,27.363301709065883,0.9983611321277156,0.0,-0.0,0.017165877620261567,22409.549122888522
Gansu,price,False,True,0.1,S1,7381484.211812377,27.360467161124014,0.9982520597899451,0.0,-0.0,0.017165877620261567,22409.549122888522
Gansu,price,False,True,0.1,S1rt,7338515.240492463,27.32802770612153,0.9970073742176274,0.0,-0.0,0.017165877620261567,22409.549122888522
Gansu,price,False,True,0.1,S2,7336706.354341745,27.308749798223808,0.9962675244903433,0.0,-0.0,0.017165877620261567,22409.549122888522
Gansu,price,False,True,0.1,S3,7381484.211812377,27.360467161124014,0.9982520597899451,0.0,-0.0,0.017165877620261567,22409.549122888522
Gansu,price,False,True,0.2,S0,16718273.49302736,27.034029696529682,0.9858708762268417,0.0,0.0,0.05215288793118648,22409.549122888522
