province,export,ai_share,cost_S0,cost_S0b,cost_S1,cost_S2,gap_S0_S2_pct,gap_S1_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2
Gansu,False,0.05,25.901,25.777,25.722,24.124,7.368,6.622,0.942,0.874,0.059,0.033,0.0,0.0,-0.0,-0.0
Gansu,False,0.2,26.695,26.351,26.313,25.858,3.238,1.759,0.972,0.94,0.059,0.001,0.0,0.0,-0.0,-0.0
Gansu,True,0.05,30.084,30.083,30.083,30.083,0.003,0.0,0.999,0.999,0.0,0.0,0.0,0.0,-0.0,-0.0
Gansu,True,0.2,30.086,30.085,30.085,30.085,0.001,0.0,0.999,0.999,0.0,0.0,0.0,0.0,-0.0,-0.0
Guizhou,False,0.05,-29.711,-29.859,-28.199,-42.067,-29.373,-32.966,0.095,0.093,0.954,0.945,0.0,0.0,1390.657,1039.037
Guizhou,False,0.2,-9.275,-16.338,-14.75,-16.502,-43.796,-10.618,0.158,0.113,0.954,0.895,0.0,0.0,-0.0,-0.0
Guizhou,True,0.05,12.845,12.426,11.291,9.177,39.962,23.034,0.467,0.331,0.604,0.509,0.0,0.0,-0.0,-0.0
Guizhou,True,0.2,15.989,14.723,14.166,13.612,17.463,4.065,0.582,0.494,0.604,0.399,0.0,0.0,-0.0,-0.0
Jiangsu,False,0.05,28.197,28.197,28.197,28.197,-0.0,0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,False,0.2,29.08,28.235,28.275,28.197,3.132,0.277,1.019,1.03,0.0,0.0,1241.29,0.0,-0.0,-0.0
Jiangsu,True,0.05,28.646,28.616,28.584,28.575,0.249,0.032,1.023,1.024,0.0,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,True,0.2,28.953,28.799,28.792,28.777,0.612,0.051,1.02,1.021,0.0,0.0,0.0,0.0,-0.0,-0.0
