province,export,ai_share,cost_S0,cost_S0b,cost_S1,cost_S2,gap_S0_S2_pct,gap_S1_S2_pct,co2_S0,co2_S2,curtail_NOAI,curtail_S2,new_ocgt_S0,new_ocgt_S2,new_batt_S0,new_batt_S2
Gansu,False,0.05,28.197,28.197,28.197,28.197,-0.0,-0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,0.0
Gansu,False,0.2,28.197,28.197,28.197,28.197,-0.0,0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,-0.0
Gansu,True,0.05,30.084,30.084,30.084,30.084,0.002,0.0,0.999,0.999,0.0,0.0,0.0,0.0,-0.0,-0.0
Gansu,True,0.2,30.086,30.086,30.086,30.085,0.0,0.0,0.999,0.999,0.0,0.0,0.0,0.0,-0.0,-0.0
Guizhou,False,0.05,20.623,20.623,21.659,20.241,1.89,7.008,0.753,0.74,0.397,0.393,0.0,0.0,-0.0,-0.0
Guizhou,False,0.2,21.852,21.852,22.027,20.552,6.325,7.179,0.797,0.75,0.397,0.222,0.0,0.0,-0.0,-0.0
Guizhou,True,0.05,26.402,26.402,26.346,25.589,3.175,2.956,0.962,0.93,0.066,0.016,0.0,0.0,-0.0,-0.0
Guizhou,True,0.2,27.538,27.538,27.379,27.316,0.81,0.231,1.005,0.997,0.066,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,False,0.05,28.197,28.197,28.197,28.197,-0.0,0.0,1.03,1.03,0.0,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,False,0.2,30.957,30.957,28.273,28.274,9.491,-0.003,1.01,1.029,0.0,0.0,5962.654,0.0,-0.0,-0.0
Jiangsu,True,0.05,28.665,28.665,28.561,28.553,0.393,0.029,1.023,1.024,0.0,0.0,0.0,0.0,-0.0,-0.0
Jiangsu,True,0.2,29.076,29.076,28.848,28.85,0.784,-0.006,1.02,1.02,0.0,0.0,0.0,0.0,-0.0,-0.0
