province,export,ai_share,W,case,total_cost,investment,new_coal,new_ocgt,new_batt_mw,emissions_t,curtail_rate,ai_mwh,export_mwh,import_mwh
Gansu,True,0.05,6,NOAI,147963758.5480307,0.0,0.0,0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0
Gansu,True,0.05,6,S0,151817914.077996,0.0,0.0,0.0,-0.0,5393000.758818234,0.0,128112.18222058451,1645873.103668881,0.0
Gansu,True,0.05,6,S0b,150576035.7886399,0.0,0.0,0.0,-0.0,5351748.376548257,0.0,86834.7833452319,1687150.5025442336,0.0
Gansu,True,0.05,6,S1,150655646.48786995,0.0,0.0,0.0,-0.0,5354392.863552799,0.0,89480.87404109344,1684504.4118483723,0.0
Gansu,True,0.05,6,S2,150523538.117435,0.0,0.0,0.0,-0.0,5350004.522887728,0.0,85089.87216276416,1688895.4137267016,0.0
Gansu,True,0.05,24,NOAI,147963758.5480307,0.0,0.0,0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0
Gansu,True,0.05,24,S0,151817914.077996,0.0,0.0,0.0,-0.0,5393000.758818234,0.0,128112.18222058451,1645873.103668881,0.0
Gansu,True,0.05,24,S0b,150576035.78863987,0.0,0.0,0.0,-0.0,5351748.376548258,0.0,86834.7833452319,1687150.5025442336,0.0
Gansu,True,0.05,24,S1,150655646.48786998,0.0,0.0,0.0,-0.0,5354392.863552802,0.0,89480.87404109344,1684504.4118483723,0.0
Gansu,True,0.05,24,S2,150523538.1174351,0.0,0.0,0.0,-0.0,5350004.522887728,0.0,85089.87216276415,1688895.4137267014,0.0
Gansu,True,0.05,72,NOAI,147963758.5480307,0.0,0.0,0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0
Gansu,True,0.05,72,S0,151817914.077996,0.0,0.0,0.0,-0.0,5393000.758818234,0.0,128112.18222058451,1645873.103668881,0.0
Gansu,True,0.05,72,S0b,150576035.7886399,0.0,0.0,0.0,-0.0,5351748.376548257,0.0,86834.7833452319,1687150.5025442336,0.0
Gansu,True,0.05,72,S1,150655646.48786995,0.0,0.0,0.0,-0.0,5354392.8635528,0.0,89480.87404109344,1684504.4118483723,0.0
Gansu,True,0.05,72,S2,150523538.1174348,0.0,0.0,0.0,-0.0,5350004.522887726,0.0,85089.87216276415,1688895.4137267016,0.0
Gansu,True,0.2,6,NOAI,147963758.5480307,0.0,0.0,0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0
Gansu,True,0.2,6,S0,163381123.63358676,0.0,0.0,0.0,-0.0,5777104.374239586,0.0,512448.72888233804,1261536.557007128,0.0
Gansu,True,0.2,6,S0b,158413610.4761616,0.0,0.0,0.0,-0.0,5612094.845159703,0.0,347339.1333809276,1426646.152508538,0.0
Gansu,True,0.2,6,S1,158732053.27308095,0.0,0.0,0.0,-0.0,5622672.793177829,0.0,357923.4961643737,1416061.789725092,0.0
Gansu,True,0.2,6,S2,158203619.79134056,0.0,0.0,0.0,-0.0,5605119.430517548,0.0,340359.4886510566,1433625.7972384093,0.0
Gansu,True,0.2,24,NOAI,147963758.5480307,0.0,0.0,0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0
Gansu,True,0.2,24,S0,163381123.63358676,0.0,0.0,0.0,-0.0,5777104.374239586,0.0,512448.72888233804,1261536.557007128,0.0
Gansu,True,0.2,24,S0b,158413610.4761616,0.0,0.0,0.0,-0.0,5612094.845159703,0.0,347339.1333809276,1426646.1525085382,0.0
Gansu,True,0.2,24,S1,158732053.27308106,0.0,0.0,0.0,-0.0,5622672.793177828,0.0,357923.49616437376,1416061.789725092,0.0
Gansu,True,0.2,24,S2,158203619.79134065,0.0,0.0,0.0,-0.0,5605119.430517539,0.0,340359.4886510566,1433625.7972384093,0.0
Gansu,True,0.2,72,NOAI,147963758.5480307,0.0,0.0,0.0,-0.0,5264962.168443723,0.0,0.0,1773854.1949835652,0.0
Gansu,True,0.2,72,S0,163381123.63358676,0.0,0.0,0.0,-0.0,5777104.374239586,0.0,512448.72888233804,1261536.557007128,0.0
Gansu,True,0.2,72,S0b,158413610.4761616,0.0,0.0,0.0,-0.0,5612094.845159703,0.0,347339.1333809276,1426646.152508538,0.0
Gansu,True,0.2,72,S1,158732053.273081,0.0,0.0,0.0,-0.0,5622672.793177828,0.0,357923.49616437376,1416061.789725092,0.0
Gansu,True,0.2,72,S2,158203619.79134068,0.0,0.0,0.0,-0.0,5605119.430517543,0.0,340359.4886510566,1433625.797238409,0.0
Gansu,False,0.05,6,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
Gansu,False,0.05,6,S0,154927276.09922245,0.0,0.0,0.0,-0.0,5342128.317431988,0.0,128112.18222058451,0.0,0.0
Gansu,False,0.05,6,S0b,153763378.53396404,0.0,0.0,0.0,-0.0,5299600.088287686,0.0,86834.78334523192,0.0,0.0
Gansu,False,0.05,6,S1,153837990.2731307,0.0,0.0,0.0,-0.0,5302326.363550087,0.0,89480.87404109343,0.0,0.0
Gansu,False,0.05,6,S2,153714177.32622832,0.0,0.0,0.0,0.0,5297802.301008782,0.0,85089.87216276415,0.0,0.0
Gansu,False,0.05,24,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
Gansu,False,0.05,24,S0,154927276.09922245,0.0,0.0,0.0,-0.0,5342128.317431988,0.0,128112.18222058451,0.0,0.0
Gansu,False,0.05,24,S0b,153763378.53396404,0.0,0.0,0.0,-0.0,5299600.088287686,0.0,86834.7833452319,0.0,0.0
Gansu,False,0.05,24,S1,153837990.2731307,0.0,0.0,0.0,-0.0,5302326.3635500865,0.0,89480.87404109344,0.0,0.0
Gansu,False,0.05,24,S2,153714177.32622832,0.0,0.0,0.0,0.0,5297802.301008777,0.0,85089.87216276415,0.0,0.0
Gansu,False,0.05,72,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
Gansu,False,0.05,72,S0,154927276.09922245,0.0,0.0,0.0,-0.0,5342128.317431988,0.0,128112.18222058451,0.0,0.0
Gansu,False,0.05,72,S0b,153763378.53396404,0.0,0.0,0.0,-0.0,5299600.088287686,0.0,86834.7833452319,0.0,0.0
Gansu,False,0.05,72,S1,153837990.2731307,0.0,0.0,0.0,-0.0,5302326.3635500865,0.0,89480.87404109344,0.0,0.0
Gansu,False,0.05,72,S2,153714177.32622832,0.0,0.0,0.0,0.0,5297802.301008777,0.0,85089.87216276415,0.0,0.0
Gansu,False,0.2,6,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
Gansu,False,0.2,6,S0,165764402.0588819,0.0,0.0,0.0,-0.0,5738111.426113792,0.0,512448.72888233804,0.0,0.0
Gansu,False,0.2,6,S0b,161108811.79784963,0.0,0.0,0.0,-0.0,5567998.509536583,0.0,347339.13338092767,0.0,0.0
Gansu,False,0.2,6,S1,161407258.75451612,0.0,0.0,0.0,-0.0,5578903.610586191,0.0,357923.49616437376,0.0,0.0
Gansu,False,0.2,6,S2,160912006.96690583,0.0,0.0,0.0,-0.0,5560807.3604209535,0.0,340359.48865105666,0.0,0.0
Gansu,False,0.2,24,NOAI,151314900.77933595,0.0,0.0,0.0,0.0,5210133.947871386,0.0,0.0,0.0,0.0
Gansu,False,0.2,24,S0,165764402.0588819,0.0,0.0,0.0,-0.0,5738111.426113792,0.0,512448.72888233804,0.0,0.0
Gansu,False,0.2,24,S0b,161108811.79784963,0.0,0.0,0.0,-0.0,5567998.509536583,0.0,347339.1333809276,0.0,0.0
Gansu,False,0.2,24,S1,161407258.75451615,0.0,0.0,0.0,-0.0,5578903.610586191,0.0,357923.49616437376,0.0,0.0
