workload,tariff_assumption,deadline_window_h_assumption,utilization_assumption,idle_power_ratio_assumption,max_response_fraction,commitment_MW,minimum_cost_CNY_scenario,outside_option_cost_CNY_scenario,opportunity_cost_CNY_scenario,marginal_cost_CNY_per_MW_event_scenario,is_measured_tariff,is_market_equilibrium,maximum_work_error
ft_llama_8b_dolly,flat,1,0.9,0.2,0.0,0.0,69.70583798424133,69.70583798424133,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,flat,1,0.9,0.2,0.25,0.0009115436014258209,69.70583798424133,69.70583798424133,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,flat,1,0.9,0.2,0.5,0.0018230872028516419,69.70583798424133,69.70583798424133,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,flat,1,0.9,0.2,0.75,0.002734630804277463,69.70583798424133,69.70583798424133,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,flat,1,0.9,0.2,1.0,0.0036461744057032838,69.70583798424133,69.70583798424133,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,flat,4,0.9,0.2,0.0,0.0,69.70583798424134,69.70583798424134,0.0,-0.0,False,False,4.440892098500626e-16
ft_llama_8b_dolly,flat,4,0.9,0.2,0.25,0.0016129127038731171,69.70583798424134,69.70583798424134,0.0,-0.0,False,False,4.440892098500626e-16
ft_llama_8b_dolly,flat,4,0.9,0.2,0.5,0.0032258254077462342,69.70583798424134,69.70583798424134,0.0,-0.0,False,False,4.440892098500626e-16
ft_llama_8b_dolly,flat,4,0.9,0.2,0.75,0.004838738111619351,71.12813920539921,69.70583798424134,1.4223012211578663,1386.8004892019355,False,False,6.661338147750939e-16
ft_llama_8b_dolly,flat,4,0.9,0.2,1.0,0.0064516508154924684,77.93127983376004,69.70583798424134,8.225441849518702,9699.187427270303,False,False,3.552713678800501e-15
ft_llama_8b_dolly,flat,8,0.9,0.2,0.0,0.0,69.70583798424133,69.70583798424136,-2.842170943040401e-14,-0.0,False,False,1.887379141862766e-15
ft_llama_8b_dolly,flat,8,0.9,0.2,0.25,0.0016129127038731178,69.70583798424133,69.70583798424136,-2.842170943040401e-14,-0.0,False,False,1.887379141862766e-15
ft_llama_8b_dolly,flat,8,0.9,0.2,0.5,0.0032258254077462355,69.70583798424133,69.70583798424136,-2.842170943040401e-14,-0.0,False,False,1.887379141862766e-15
ft_llama_8b_dolly,flat,8,0.9,0.2,0.75,0.004838738111619353,71.12813920539917,69.70583798424136,1.4223012211578094,1386.800489201876,False,False,6.772360450213455e-15
ft_llama_8b_dolly,flat,8,0.9,0.2,1.0,0.006451650815492471,77.93127983376004,69.70583798424136,8.225441849518688,9699.187427270048,False,False,3.3306690738754696e-16
ft_llama_8b_dolly,event_cheap,1,0.9,0.2,0.0,0.0,78.9999497154735,78.9999497154735,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_cheap,1,0.9,0.2,0.25,0.0009115436014258209,78.9999497154735,78.9999497154735,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_cheap,1,0.9,0.2,0.5,0.0018230872028516419,78.9999497154735,78.9999497154735,0.0,-0.0,False,False,0.0
ft_llama_8b_dolly,event_cheap,1,0.9,0.2,0.75,0.002734630804277463,78.9999497154735,78.9999497154735,0.0,-0.0,False,False,0.0
