province,province_zh,electricity_2019_100million_kWh,electricity_2020_100million_kWh
Beijing,北京,1166,1140
Tianjin,天津,878,875
Hebei,河北,3856,3934
Shanxi,山西,2262,2342
InnerMongolia,内蒙古,3653,3900
Liaoning,辽宁,2401,2423
Jilin,吉林,780,805
Heilongjiang,黑龙江,996,1014
Shanghai,上海,1569,1576
Jiangsu,江苏,6264,6374
Zhejiang,浙江,4706,4830
Anhui,安徽,2301,2428
Fujian,福建,2402,2483
Jiangxi,江西,1536,1627
Shandong,山东,6219,6940
Henan,河南,3364,3392
Hubei,湖北,2214,2144
Hunan,湖南,1864,1929
Guangdong,广东,6696,6926
Guangxi,广西,1907,2029
Hainan,海南,355,363
Chongqing,重庆,1160,1186
Sichuan,四川,2636,2865
Guizhou,贵州,1541,1586
Yunnan,云南,1812,2025
Tibet,西藏,78,82
Shaanxi,陕西,1912,1741
Gansu,甘肃,1288,1376
Qinghai,青海,716,742
Ningxia,宁夏,1084,1038
Xinjiang,新疆,2868,3099
